"","V1"
"-0RPYr8vygU.txt",3
"-JRURYTfBXQ.txt",3
"-snNdO4mbk4.txt",2
"0qORlGQKJC8.txt",2
"0STgfjSA6T8.txt",3
"14vivxGejpE.txt",2
"17ZywM8P8E0.txt",2
"1YbPmkChcbo.txt",4
"2Hgj2x8sImI.txt",1
"2RBfxRyFKHE.txt",1
"2TVqFGu1vhw.txt",4
"2W7wYa3xMFU.txt",4
"2YL-WX95MIg.txt",3
"3s9tlYwqK1c.txt",4
"5pqUjJelIcU.txt",5
"6bCtKUNPhSU.txt",2
"6uyMDXj7G9s.txt",1
"6YTqQbzkC5k.txt",4
"70FrKqe0S3k.txt",2
"76oGpeCxZQY.txt",2
"89BGjQYA0uE.txt",4
"8qlf7b3WDv8.txt",4
"8sWfwQTTQ3Q.txt",2
"92duAC-0m2Q.txt",2
"97YPNNArWEQ.txt",2
"98wwbatoDUA.txt",5
"9WDtuCVZUp8.txt",3
"aA7iBboCHq0.txt",4
"aeguUsaIHuA.txt",3
"Ajz5FPUx70g.txt",5
"aRjAyN2ctL0.txt",2
"ASC2jcetj_g.txt",3
"BaT5DXDIGVI.txt",4
"BFJJL49WnCc.txt",5
"BmflOuwNfyQ.txt",4
"bmjamLZ3v8A.txt",4
"bT9m1nujFGY.txt",2
"bxU6yHNUVns.txt",1
"ByufmnMOZf0.txt",4
"C_jrY5Z_RBQ.txt",2
"CE_SfAW79xo.txt",3
"CiPdALrNEjU.txt",3
"CPnm8XJaTQQ.txt",2
"cPZoP640ZhY.txt",5
"Cq3_zA90yzM.txt",3
"cYxFLJzTxoY.txt",4
"d2bIhv9ExTs.txt",4
"D2zf0SgNdUw.txt",2
"D8B2yMd0g74.txt",3
"DbpJ6wTM5vQ.txt",4
"dkcVIBl3PbA.txt",5
"dLBjLlCzE2g.txt",5
"dlsitOmfadk.txt",3
"DyjySsR-4XQ.txt",5
"e9CR4botWdU.txt",2
"F-cetzHWYOs.txt",4
"fASGU7Og5_4.txt",2
"fCxp_lHo5ek.txt",4
"FE9ko2wtyeQ.txt",3
"FICABF2pVIg.txt",5
"G11FbachiOY.txt",2
"Gd9pVx5QxhM.txt",4
"GQpW-YkXCgA.txt",1
"GW_bAdEr1UI.txt",3
"H-iQ7ZeJAH4.txt",3
"H2f6lcyh58s.txt",3
"Hef2xUzTbZI.txt",1
"IATv0m5U5z8.txt",5
"J4kaoYwDl58.txt",2
"JmuZcVAtLKY.txt",4
"KgC2WxKyYlE.txt",2
"kLEDdmfH388.txt",3
"kNQEIcAnXO0.txt",4
"L8QEQV_cgmk.txt",1
"LAaqltphxsQ.txt",3
"LlsqbQamEOY.txt",4
"LujOOvT5U9E.txt",4
"m17IgaHaoTI.txt",4
"Mafi2mQ0EpM.txt",4
"MhNcWxUs-PQ.txt",4
"mLdqLLzfaNc.txt",3
"mN9QASw-O1s.txt",4
"N5SOk5IgvRM.txt",2
"NCqklI0yFD4.txt",3
"niqHmQz9bKs.txt",5
"Nj6CV5cFE-I.txt",5
"NMjvK2H-Tzg.txt",3
"nNgHIU7oMaA.txt",4
"nTs6CEU2QaM.txt",5
"NvG2WPSFGEI.txt",3
"O_l9qtJ_CeU.txt",3
"o0_RhJzFn-0.txt",4
"o4nnVClAckw.txt",4
"OcmvMs4AMbM.txt",3
"OkgbJnJ-Q98.txt",3
"ONtqTyHfA_k.txt",2
"P2GyJYb9FOc.txt",1
"P5BqsJ9uusA.txt",3
"Pc-Jf2sE3M8.txt",2
"PmEYejFlHwY.txt",2
"pT19VwBAqKA.txt",1
"qNEuXy1TQok.txt",4
"qnqm1h1gUKs.txt",4
"qwrLuqnuiqI.txt",4
"r7QZDu6etd0.txt",3
"Reyw-rTg0F8.txt",2
"rOhfOgqmeUw.txt",4
"s_rrV1jThRU.txt",2
"S4fv0wLWd4k.txt",3
"SZK7Y_4p_TM.txt",5
"TkNcJ6YLpkQ.txt",3
"tmC9JdKc3sA.txt",5
"TMMHL-6ezkg.txt",5
"tnSoI33ZF28.txt",3
"tRbgxKAbDR8.txt",2
"tvDSnIN7-Ek.txt",2
"u-Vjw9pxF_M.txt",5
"U7MguCDa9dU.txt",4
"UEECKh6PLhI.txt",4
"uuyBSm3WyS8.txt",1
"UvN_ukWBD0s.txt",5
"vOmmv_TufO8.txt",4
"vUzvmHT-pH4.txt",4
"W1T-gDRPe1Q.txt",1
"We5-Wqh30l4.txt",5
"WeHOUFDw1lw.txt",4
"WnCKlNE52tc.txt",2
"Wo4b2TLUjwY.txt",3
"wUIvHZdQ9Y0.txt",5
"WZaIfyvERcA.txt",3
"X7OM2N0NuBA.txt",4
"xDv3UCbBqK8.txt",5
"xsvWZ9ot0YA.txt",3
"Xvp56xeNZo4.txt",5
"yE1_IXQSElE.txt",5
"yKae6Waw82A.txt",3
"YPx_lk92dTk.txt",5
"yX3Sldn2Gbo.txt",5
"yxpF2TR507I.txt",2
"yzeGAz6VZnQ.txt",4
"zNm6efQI0h8.txt",5
