"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abl",0.00316079322399006,3.62330655709788e-06,0.00370542011288276,0.00196468122975966,2.62721638542315e-06,-9.76876407023452
"2","access",0.00182873105855174,0.000655818486834716,0.00168170623364586,0.00116857306140553,2.62721638542315e-06,-1.47947444596269
"3","accur",0.000116079702988196,0.0017065773883931,2.0237138792369e-06,2.84324345840761e-06,2.62721638542315e-06,3.87791819977776
"4","across",0.00148620078743903,3.98563721280767e-05,0.0014590977069298,2.84324345840761e-06,2.62721638542315e-06,-5.22067483177682
"5","activ",0.00348429403559651,3.62330655709788e-06,2.0237138792369e-06,0.000742086542644387,2.62721638542315e-06,-9.90934378806948
"6","actual",0.00302758700744623,0.00504001942092315,0.00702431087483127,0.00503538416483988,0.00197303950545279,0.735260871939051
"7","advanc",0.00144814186842651,3.62330655709788e-06,8.29722690487128e-05,5.97081126265598e-05,2.88993802396547e-05,-8.64268035577568
"8","air",0.000154138622000719,0.00192397578181897,2.0237138792369e-06,2.84324345840761e-06,0.000738247804303906,3.64179033564739
"9","aircraft",1.90294595062616e-06,0.00398926051936476,2.0237138792369e-06,2.84324345840761e-06,2.62721638542315e-06,11.0336710412922
"10","airlin",1.90294595062616e-06,0.00192397578181897,2.0237138792369e-06,2.84324345840761e-06,2.62721638542315e-06,9.98164033853201
"11","alban",0.00192387835608305,3.62330655709788e-06,2.0237138792369e-06,2.84324345840761e-06,2.62721638542315e-06,-9.05249499417515
"12","alli",1.90294595062616e-06,0.00308343388009029,2.0237138792369e-06,2.84324345840761e-06,2.62721638542315e-06,10.6620876094138
"13","allow",0.00163843646348913,0.000692051552405694,0.000406766489726616,0.00247646505227303,2.62721638542315e-06,-1.24336831163324
"14","along",0.00112464105682006,3.62330655709788e-06,0.000447240767311354,0.000315600023883245,0.000580614821178517,-8.27794203244967
"15","alreadi",0.00198096673460184,0.00185150965067701,4.24979914639749e-05,0.00185095149142336,0.00063315914888698,-0.0975025846339356
"16","amount",0.00074405186669483,0.00148917899496723,2.0237138792369e-06,0.000770518977228463,2.62721638542315e-06,1.00104207410219
"17","analysi",0.00142911240892025,3.62330655709788e-06,2.0237138792369e-06,2.84324345840761e-06,2.62721638542315e-06,-8.62359680978641
"18","analyt",0.00161940700398287,3.62330655709788e-06,2.0237138792369e-06,2.84324345840761e-06,2.62721638542315e-06,-8.8039430339581
"19","analyz",0.00129590619237642,3.62330655709788e-06,2.0237138792369e-06,2.84324345840761e-06,2.62721638542315e-06,-8.48243870028421
"20","angl",1.90294595062616e-06,0.0017065773883931,2.0237138792369e-06,2.84324345840761e-06,2.88993802396547e-05,9.80865553734064
"21","ann",1.90294595062616e-06,0.00279356935552246,2.0237138792369e-06,3.12756780424837e-05,2.62721638542315e-06,10.5196593376429
"22","anoth",0.000953375921263708,0.00301096774894834,0.00188407762156955,0.00199311366434374,0.000501798329615822,1.659110161303
"23","app",0.00112464105682006,0.000402187027837864,2.0237138792369e-06,0.0016803568839189,2.62721638542315e-06,-1.48352616609957
"24","appli",0.0013529945708952,3.62330655709788e-06,0.000507952183688462,8.81405472106361e-05,2.62721638542315e-06,-8.54463346189155
"25","applic",0.00354138241411529,0.00177904351953506,2.0237138792369e-06,3.12756780424837e-05,2.62721638542315e-06,-0.993210838016598
"26","approach",0.00156231862546408,3.62330655709788e-06,0.000366292212141879,2.84324345840761e-06,2.62721638542315e-06,-8.75216612404994
"27","architectur",0.00101046429978249,3.62330655709788e-06,2.0237138792369e-06,2.84324345840761e-06,2.62721638542315e-06,-8.12349576307629
"28","area",0.000553757271632214,0.00355446373251302,0.00162099481726875,0.000713654108060311,2.62721638542315e-06,2.68230627103881
"29","aspect",0.00141008294941399,3.62330655709788e-06,2.0237138792369e-06,2.84324345840761e-06,2.62721638542315e-06,-8.60425744457797
"30","asset",0.00165746592299539,0.000148555568841013,2.0237138792369e-06,0.000543059500555854,2.62721638542315e-06,-3.47990461625292
"31","assum",1.90294595062616e-06,0.0010181491425445,0.000204395101802927,2.84324345840761e-06,2.62721638542315e-06,9.06349860794879
