"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abil",0.000321151687108016,0.00106953583211755,0.00185349602611525,2.21645049557818e-05,0.00159811814113277,1.73565803669891
"2","abl",0.00180747354479801,0.000536101501884357,2.68233867744609e-06,0.00421327089659452,0.00624960545420112,-1.75339644931455
"3","access",0.00276296616759871,0.000509429785372697,0.0009951476493325,0.000525903253950823,3.32249093790596e-06,-2.43926267774508
"4","account",0.000772356536763905,0.00128290956421082,0.00070009039481343,2.01495499598016e-06,3.32249093790596e-06,0.732080588380346
"5","accur",0.000241527301874623,0.00314992972002699,2.68233867744609e-06,2.01495499598016e-06,3.32249093790596e-06,3.70506145671705
"6","accuraci",2.65414617444641e-06,0.00483024786026154,2.68233867744609e-06,2.01495499598016e-06,3.32249093790596e-06,10.8296336784688
"7","across",0.00276296616759871,0.00152295501281576,0.00142432183772387,2.01495499598016e-06,0.00109974450044688,-0.859344570417986
"8","action",0.00109085407769747,0.000696131800954314,0.000431856527068821,2.21645049557818e-05,0.00109974450044688,-0.64802573959321
"9","actual",2.65414617444641e-06,0.00488359129328486,0.000431856527068821,0.017572422519943,3.32249093790596e-06,10.8454789233159
"10","add",0.000427317534085872,0.00122956613118751,0.000297739593196516,0.000304258204393005,3.32249093790596e-06,1.52476890983331
"11","addit",0.00154205892735336,0.00114955098165253,0.000431856527068821,2.01495499598016e-06,0.000102997219075085,-0.423787446796843
"12","affect",0.000135361454896767,0.00101619239909423,0.00040503314029436,0.000284108654433203,3.32249093790596e-06,2.90828469304041
"13","age",2.65414617444641e-06,0.00213640449258393,0.00070009039481343,2.01495499598016e-06,3.32249093790596e-06,9.6527212799273
"14","algorithm",2.65414617444641e-06,0.00269651053932878,0.00281913794999584,2.01495499598016e-06,0.00927307220769556,9.9886301294216
"15","allow",0.00337341978772139,5.6010604674485e-05,0.0016120855451451,2.01495499598016e-06,0.00126586904734217,-5.91236804470761
"16","alreadi",0.00270988324410979,0.000909505533047591,0.00104879442288142,0.00137218435226249,0.000302346675349443,-1.57507637433504
"17","amount",0.00106431261595301,2.66717165116595e-06,2.68233867744609e-06,2.01495499598016e-06,0.00299356433505328,-8.64039557893633
"18","analysi",0.00156860038909783,0.000829490383512612,2.9505725451907e-05,2.01495499598016e-06,0.000800720316035338,-0.919180702528342
"19","analyt",0.0022586783944539,2.66717165116595e-06,2.68233867744609e-06,0.000263959104473402,3.65474003169656e-05,-9.72595247416738
"20","announc",0.00106431261595301,2.66717165116595e-06,0.00010997588577529,6.24636048753851e-05,3.32249093790596e-06,-8.64039557893633
"21","anoth",0.00101122969246408,0.00181634389444401,0.00010997588577529,0.00227891410045357,0.00153166832237465,0.844926648037336
"22","api",0.00223213693270943,2.66717165116595e-06,2.68233867744609e-06,2.01495499598016e-06,3.32249093790596e-06,-9.70889914273656
"23","app",0.0011439370011864,2.66717165116595e-06,2.68233867744609e-06,0.00111024020278507,3.32249093790596e-06,-8.74448121157051
"24","appli",0.000851980921997298,0.00104286411560589,2.68233867744609e-06,0.0014527825521017,0.00266131524126268,0.291658157703637
"25","applic",0.00385116609912174,0.000536101501884357,2.68233867744609e-06,0.00100949245298606,0.00259486542250456,-2.84471726536923
"26","approach",2.65414617444641e-06,0.00117622269816419,0.00169255570546848,2.01495499598016e-06,0.00342548815698105,8.79169769307611
"27","area",0.00143589308037551,8.26823211861445e-05,0.00104879442288142,0.00252070869997119,0.00129909395672123,-4.11822562592135
"28","aspect",0.00156860038909783,2.66717165116595e-06,0.000244092819647595,0.000646800553709633,6.97723096960253e-05,-9.19995147265894
"29","assess",0.000560024842808193,0.00101619239909423,0.000861030715460195,2.01495499598016e-06,0.000235896856591324,0.859610846304724
"30","attack",5.57370696633746e-05,0.00114955098165253,2.68233867744609e-06,2.01495499598016e-06,3.32249093790596e-06,4.36628948382893
"31","attribut",0.0004804004575748,0.00210973277607227,2.68233867744609e-06,2.01495499598016e-06,3.32249093790596e-06,2.13475084490817
"32","autom",0.003293795402488,2.66717165116595e-06,0.00300690165741707,2.01495499598016e-06,0.00063459576914004,-10.2702245526118
"33","automat",0.00154205892735336,2.66717165116595e-06,2.68233867744609e-06,2.01495499598016e-06,0.000767495406656278,-9.17533150588594
"34","automl",0.00125010284816426,2.66717165116595e-06,2.68233867744609e-06,2.01495499598016e-06,3.32249093790596e-06,-8.8725204020942
"35","avail",0.00406349779307745,2.66717165116595e-06,2.68233867744609e-06,2.01495499598016e-06,0.00163134305051183,-10.5731957199812
"36","averag",2.65414617444641e-06,0.00109620754862921,0.00010997588577529,2.01495499598016e-06,0.000169447037833204,8.69005743120027
"37","azur",0.000772356536763905,0.0013629247137458,2.68233867744609e-06,2.01495499598016e-06,3.32249093790596e-06,0.819366985547925
"38","bank",0.00175439062130908,2.66717165116595e-06,0.000914677489009118,2.21645049557818e-05,3.32249093790596e-06,-9.3614436139891
"39","base",0.00175439062130908,0.00245646509072384,0.00153161538482172,2.01495499598016e-06,0.00425611089145754,0.485613732102232
"40","basic",2.65414617444641e-06,0.00106953583211755,0.0016120855451451,0.00205726905089575,0.0028938896069161,8.65452127397351
"41","behavior",2.65414617444641e-06,0.00157629844583908,2.68233867744609e-06,0.00109009065282527,0.000900395044172517,9.21407716769612
"42","best",0.00228521985619836,0.000509429785372697,0.000270916206422055,0.00229906365041337,0.000468471222244741,-2.16537775184251
"43","better",0.0011439370011864,0.0017630004614207,0.00110244119643034,0.00483790694534837,3.32249093790596e-06,0.624025249937181
"44","bias",2.65414617444641e-06,0.00528366704095975,0.00389207342097428,2.01495499598016e-06,0.000169447037833204,10.9590760124081
"45","bigqueri",0.00172784915956461,2.66717165116595e-06,2.68233867744609e-06,2.01495499598016e-06,3.32249093790596e-06,-9.33945088564705
"46","bit",0.000506941919319265,0.00122956613118751,0.000512326687392204,0.0039714762970769,0.00109974450044688,1.27825695991218
"47","black",2.65414617444641e-06,0.00266983882281712,0.000726913781587891,0.000626651003749831,3.32249093790596e-06,9.97428910635458
"48","boost",2.91956079189105e-05,0.00133625299723414,2.68233867744609e-06,2.01495499598016e-06,3.32249093790596e-06,5.5162980220765
"49","box",0.00135626869514212,0.00320327315305031,8.31524990008288e-05,0.000828146503347848,3.65474003169656e-05,1.2399038022866
"50","break",0.00103777115420855,2.66717165116595e-06,2.9505725451907e-05,0.000384856404232212,3.32249093790596e-06,-8.60396194978876
"51","bring",0.0012235613864198,2.66717165116595e-06,0.00129020490385157,0.00169457715161932,3.32249093790596e-06,-8.84156009291075
"52","build",0.00923908283324796,0.000642788367930995,2.68233867744609e-06,0.00465656099571016,3.32249093790596e-06,-3.84533391497513
"53","built",0.00313454663202121,2.66717165116595e-06,2.9505725451907e-05,0.000848296053307649,6.97723096960253e-05,-10.1987304018786
"54","busi",0.00655839519705708,2.66717165116595e-06,0.000619620234490047,0.00123113750254388,3.32249093790596e-06,-11.2638164478102
"55","call",0.00268334178236532,0.00245646509072384,2.68233867744609e-06,0.00330654114840345,0.00226261632871396,-0.127447088293092
"56","capabl",0.00419620510179978,2.66717165116595e-06,2.68233867744609e-06,2.21645049557818e-05,3.65474003169656e-05,-10.6195588048398
"57","card",0.00132972723339765,2.66717165116595e-06,0.000458679913843282,2.01495499598016e-06,3.32249093790596e-06,-8.96160394567662
"58","care",2.65414617444641e-06,0.00285654083839874,2.68233867744609e-06,0.00296399879908682,3.32249093790596e-06,10.0718056122688
"59","case",0.00403695633133299,0.00664392458305439,0.0011292645832048,2.01495499598016e-06,0.0027277650600208,0.718767716034927
"60","categori",2.65414617444641e-06,0.00104286411560589,2.9505725451907e-05,2.01495499598016e-06,0.00063459576914004,8.61808764482594
"61","chang",0.00154205892735336,0.00210973277607227,0.00375795648710197,0.00213786725073495,3.32249093790596e-06,0.45220237858685
"62","check",0.00186055646828693,0.00122956613118751,0.000324562979970977,2.01495499598016e-06,3.32249093790596e-06,-0.597584846062698
"63","choo",0.000135361454896767,0.00125623784769916,0.000914677489009118,2.01495499598016e-06,3.32249093790596e-06,3.21422075515987
"64","click",0.0022586783944539,0.000562773218396016,2.68233867744609e-06,2.01495499598016e-06,3.32249093790596e-06,-2.00485328546019
"65","client",0.00125010284816426,0.000136025754209464,2.68233867744609e-06,2.01495499598016e-06,3.32249093790596e-06,-3.2000950601227
"66","clinic",5.57370696633746e-05,0.00282986912188708,8.31524990008288e-05,2.01495499598016e-06,3.32249093790596e-06,5.66595436565459
"67","cloud",0.00692997566147958,2.66717165116595e-06,2.68233867744609e-06,2.01495499598016e-06,3.32249093790596e-06,-11.3433238947943
"68","cluster",0.00127664430990872,2.66717165116595e-06,2.68233867744609e-06,2.01495499598016e-06,0.00183069250678619,-8.90283023625145
"69","code",0.00387770756086621,2.66717165116595e-06,2.68233867744609e-06,0.00157367985186051,0.000501696131623801,-10.5056776152849
"70","collabor",0.00117047846293087,2.66717165116595e-06,2.68233867744609e-06,0.00104979155290567,0.00060137085976098,-8.77757199803893
"71","collect",2.65414617444641e-06,0.00125623784769916,0.000941500875783578,2.01495499598016e-06,0.00119941922858405,8.88664609713137
"72","communiti",0.000241527301874623,0.00154962672932742,2.68233867744609e-06,0.00133188525234289,0.000734270497277219,2.68166256072442
"73","compani",0.00167476623607569,2.66717165116595e-06,0.00426760083581673,0.00312519519876523,3.32249093790596e-06,-9.29443334746396
"74","compar",0.000108819993152303,0.00250980852374716,2.68233867744609e-06,2.01495499598016e-06,0.000102997219075085,4.52756175562904
"75","compon",0.00119701992467533,2.93388881628255e-05,2.68233867744609e-06,2.01495499598016e-06,0.000734270497277219,-5.3504891570995
"76","condit",2.65414617444641e-06,0.00112287926514087,0.000539150074166664,2.01495499598016e-06,0.000767495406656278,8.72473927058498
"77","connect",0.00146243454211997,2.93388881628255e-05,5.6329112226368e-05,0.000465454604071418,0.00063459576914004,-5.63941404241527
"78","consid",0.000560024842808193,0.00173632874490904,0.000780560555136813,2.01495499598016e-06,3.32249093790596e-06,1.63247739197704
"79","contain",0.00125010284816426,2.66717165116595e-06,2.68233867744609e-06,2.01495499598016e-06,3.32249093790596e-06,-8.8725204020942
"80","continu",0.00241792716492068,2.66717165116595e-06,0.000861030715460195,0.000223660004553798,0.00136554377547935,-9.82424439628346
"81","contribut",2.91956079189105e-05,0.0017630004614207,2.68233867744609e-06,2.01495499598016e-06,0.000269121765970383,5.91613769038898
"82","core",0.00109085407769747,0.000269384336767761,0.000458679913843282,2.01495499598016e-06,3.32249093790596e-06,-2.0177202534113
"83","correct",2.65414617444641e-06,0.00112287926514087,2.68233867744609e-06,0.000465454604071418,0.000701045587898159,8.72473927058498
"84","cost",0.00130318577165319,2.66717165116595e-06,0.000941500875783578,2.01495499598016e-06,3.32249093790596e-06,-8.93251636679611
"85","covid",0.000188444378385695,0.00130958128072248,2.68233867744609e-06,4.23140549155835e-05,3.32249093790596e-06,2.7968949423286
"86","creat",0.00544365380378959,0.000882833816535931,0.00330195891193614,0.000566202353870426,0.00216294160057678,-2.62436152215405
"87","credit",2.65414617444641e-06,0.00224309135863057,2.68233867744609e-06,0.00048560415403122,3.32249093790596e-06,9.72302483777373
"88","custom",0.0123178923956058,2.66717165116595e-06,2.68233867744609e-06,2.01495499598016e-06,3.32249093790596e-06,-12.1731571346516
"89","dashboard",0.000984688230719619,0.00117622269816419,2.68233867744609e-06,2.01495499598016e-06,3.32249093790596e-06,0.256422316455305
"90","data",0.0309765400019641,0.015685636480507,0.000136799272549751,0.00330654114840345,0.0188418461088647,-0.981731936871543
"91","databa",0.00109085407769747,0.000402742919326059,2.68233867744609e-06,2.01495499598016e-06,3.32249093790596e-06,-1.43752699683802
"92","dataset",2.65414617444641e-06,0.00178967217793235,2.68233867744609e-06,2.01495499598016e-06,0.000933619953551577,9.39723180371877
"93","debug",2.65414617444641e-06,0.00154962672932742,2.68233867744609e-06,2.01495499598016e-06,3.32249093790596e-06,9.18945720092312
"94","deci",0.00180747354479801,0.00443017211258665,0.00732546692810528,2.01495499598016e-06,0.000667820678519099,1.29338821746889
"95","decid",2.65414617444641e-06,0.00141626814676912,0.00166573231869402,2.01495499598016e-06,3.32249093790596e-06,9.05963089832274
"96","defin",0.000506941919319265,0.00122956613118751,0.000726913781587891,2.01495499598016e-06,0.000136222128454145,1.27825695991218
"97","definit",2.65414617444641e-06,0.00157629844583908,2.68233867744609e-06,0.00199682040101634,6.97723096960253e-05,9.21407716769612
"98","deliv",0.00159514185084229,2.66717165116595e-06,5.6329112226368e-05,2.01495499598016e-06,3.32249093790596e-06,-9.2241583331926
"99","demo",0.00284259055283211,2.66717165116595e-06,2.68233867744609e-06,2.01495499598016e-06,3.32249093790596e-06,-10.0576799172317
"100","depend",0.000108819993152303,0.00114955098165253,0.000807383941911273,2.01495499598016e-06,0.00113296940982594,3.4010549019896
"101","deploy",0.00446161971924442,0.00320327315305031,2.68233867744609e-06,0.000787847403428245,3.32249093790596e-06,-0.478020726011945
"102","design",0.00159514185084229,0.00114955098165253,0.00491136211840379,2.01495499598016e-06,0.000269121765970383,-0.472614274103501
"103","detail",0.00140935161863104,0.000562773218396016,2.68233867744609e-06,2.01495499598016e-06,0.000933619953551577,-1.32440601457838
"104","detect",0.00125010284816426,0.000909505533047591,2.68233867744609e-06,0.00213786725073495,0.000102997219075085,-0.458892473070023
"105","develop",0.00435545387226656,0.00221641964211891,0.00397254358129766,2.01495499598016e-06,0.00193036723492337,-0.974592009224781
"106","differ",0.00533748795681174,0.0114981769881764,2.68233867744609e-06,0.00685286194132854,0.00412321125394131,1.10717232839173
"107","digit",0.00130318577165319,2.66717165116595e-06,0.0022290234409577,2.01495499598016e-06,0.000302346675349443,-8.93251636679611
"108","discuss",2.65414617444641e-06,0.00101619239909423,0.0020949065070854,2.01495499598016e-06,0.000202671947212264,8.58071003501191
"109","disea",2.65414617444641e-06,0.00122956613118751,2.68233867744609e-06,2.01495499598016e-06,3.32249093790596e-06,8.85568578794792
"110","dispar",2.65414617444641e-06,0.00104286411560589,2.68233867744609e-06,2.01495499598016e-06,3.32249093790596e-06,8.61808764482594
"111","distribut",0.000453858995830336,0.00128290956421082,0.000297739593196516,2.01495499598016e-06,0.00063459576914004,1.49910341640273
"112","doctor",2.65414617444641e-06,0.00280319740537542,2.68233867744609e-06,0.000727398753548839,3.32249093790596e-06,10.0446098014808
"113","document",0.002550634473643,2.66717165116595e-06,0.000270916206422055,2.01495499598016e-06,0.000833945225414398,-9.90132977325516
"114","drive",0.00143589308037551,2.66717165116595e-06,0.00158526215837064,2.01495499598016e-06,0.000335571584728502,-9.07242193630823
"115","easi",0.00209942962398711,2.66717165116595e-06,2.68233867744609e-06,0.00106994110286547,3.32249093790596e-06,-9.6204710369542
"116","easili",0.00204634670049818,5.6010604674485e-05,2.68233867744609e-06,2.01495499598016e-06,6.97723096960253e-05,-5.19120677961769
"117","effect",2.65414617444641e-06,0.0026164953897938,0.00228267021450662,2.01495499598016e-06,3.32249093790596e-06,9.94517217373783
"118","enabl",0.00316108809376568,2.93388881628255e-05,0.000565973460941125,2.01495499598016e-06,0.000102997219075085,-6.75146323170823
"119","end",0.00345304417295478,0.00181634389444401,0.000297739593196516,0.00211771770077515,0.000269121765970383,-0.926831411187137
"120","engin",0.00212597108573157,2.66717165116595e-06,2.68233867744609e-06,0.00548269254406203,3.32249093790596e-06,-9.63859558489012
"121","ensur",0.0022586783944539,2.66717165116595e-06,0.000297739593196516,2.01495499598016e-06,3.32249093790596e-06,-9.72595247416738
"122","enterpri",0.00249755155015407,2.66717165116595e-06,2.68233867744609e-06,2.01495499598016e-06,3.32249093790596e-06,-9.87098806520995
"123","environ",0.00294875639980996,2.93388881628255e-05,0.00241678714837893,2.01495499598016e-06,3.32249093790596e-06,-6.65114863523321
"124","evalu",0.00135626869514212,0.00154962672932742,2.68233867744609e-06,2.01495499598016e-06,3.32249093790596e-06,0.192277719985494
"125","everi",0.00191363939177586,0.00194970247700231,0.00306054843096599,2.01495499598016e-06,0.000102997219075085,0.0269349942302024
"126","everyon",0.00191363939177586,2.66717165116595e-06,0.000431856527068821,0.00129158615242329,3.32249093790596e-06,-9.48679260172223
"127","exact",0.000639649228041585,0.00104286411560589,2.68233867744609e-06,0.00165427805169971,3.32249093790596e-06,0.705198308595978
"128","exampl",0.00342650271121032,0.00835091443980061,0.00370430971355305,2.01495499598016e-06,0.00528608308220839,1.28519735535007
"129","execut",0.00178093208305354,2.93388881628255e-05,0.000297739593196516,2.01495499598016e-06,3.32249093790596e-06,-5.9236744900443
"130","experi",0.00610719034740119,0.00160297016235074,0.0016120855451451,0.000102762704794988,6.97723096960253e-05,-1.92976123999432
"131","explain",0.00127664430990872,0.0135518991595742,0.00010997588577529,0.00286325104928781,3.32249093790596e-06,3.40806651254626
"132","explan",2.65414617444641e-06,0.00915106593515039,2.9505725451907e-05,2.01495499598016e-06,3.32249093790596e-06,11.7514762580762
"133","explor",0.000719273613274978,0.00106953583211755,2.68233867744609e-06,2.01495499598016e-06,0.00116619431920499,0.572372232619636
"134","extract",0.00111739553944194,2.66717165116595e-06,2.68233867744609e-06,2.01495499598016e-06,0.000767495406656278,-8.71061357554781
