"","V1"
"Youtube Corpus-4WXuI0vVnY.txt",1
"Youtube Corpus-6Xn4nKm-Qw.txt",1
"Youtube Corpus-7muEt_a4CA.txt",1
"Youtube Corpus-8hfnlxEPn4.txt",4
"Youtube Corpus-AnCi33dhdc.txt",1
"Youtube Corpus-eBjweSRgFc.txt",4
"Youtube Corpus-rFMXTsla-8.txt",1
"Youtube Corpus0QOnLwphHwg.txt",3
"Youtube Corpus0RonhTzHHtY.txt",4
"Youtube Corpus0VH1Lim8gL8.txt",3
"Youtube Corpus1CT-kxjYbFU.txt",4
"Youtube Corpus1uBiS8rh-uI.txt",5
"Youtube Corpus3_WoXgATM3o.txt",1
"Youtube Corpus3CjffEb3xXA.txt",1
"Youtube Corpus3ZiFHCuTveE.txt",5
"Youtube Corpus4cD4Evfv_Dc.txt",5
"Youtube Corpus4qeK-b3_7ms.txt",1
"Youtube Corpus4VfdmX_hgeo.txt",2
"Youtube Corpus6oQ0Obi14rM.txt",1
"Youtube Corpus6qo27qbCOVc.txt",2
"Youtube Corpus7Pcvdo4EJeo.txt",4
"Youtube Corpus86QU7_SF16Q.txt",1
"Youtube Corpus87kLfzmYBy8.txt",5
"Youtube Corpus88I7gLR5v_A.txt",4
"Youtube Corpus8ez1Utr-Q0c.txt",5
"Youtube Corpus8psgEDhT1MM.txt",1
"Youtube Corpus95Ta4DvEmIk.txt",1
"Youtube Corpusa0Up_RpHkXk.txt",2
"Youtube CorpusagntVByjfEA.txt",1
"Youtube CorpusAzIMlTgoieQ.txt",1
"Youtube CorpusbeM47gciEtU.txt",1
"Youtube CorpusBQQxNa6U6X4.txt",1
"Youtube CorpusBvHmRx14HQ8.txt",1
"Youtube Corpusc2Ja_9I9g-I.txt",2
"Youtube CorpusCEECirtF190.txt",1
"Youtube CorpuscVxJzyHj7cU.txt",2
"Youtube CorpuscX30jxMNBUw.txt",1
"Youtube CorpuscZUdaqTC1TA.txt",5
"Youtube CorpusD9PZiXuDnCs.txt",5
"Youtube CorpusDCERuwn2IaI.txt",3
"Youtube CorpusDLw-wC4zntw.txt",5
"Youtube CorpusDv-58oxUNQE.txt",5
"Youtube CorpusE1K9U_Sd6Iw.txt",2
"Youtube CorpusE5-3Ui7oO8U.txt",1
"Youtube CorpuseAEb40b0N5g.txt",5
"Youtube CorpusEsxJjjDjZX4.txt",2
"Youtube CorpusesZFB_8epNs.txt",1
"Youtube CorpuseVUb0Y2xB8E.txt",2
"Youtube CorpusEWKAgwgqXB4.txt",1
"Youtube CorpusfgDauLJ7LWc.txt",2
"Youtube CorpusFnnT9iRQVn8.txt",3
"Youtube CorpusfOOQxW9UVoA.txt",2
"Youtube CorpusFVWgUUicz_c.txt",4
"Youtube CorpusGniyQkgGlUA.txt",1
"Youtube CorpushAVJljtapj4.txt",5
"Youtube CorpushOMZebDXQsU.txt",5
"Youtube CorpushzjOxKKBQtM.txt",3
"Youtube CorpusI-EIVlHvHRM.txt",5
"Youtube CorpusiyEOk8KCRUw.txt",4
"Youtube CorpusJBb5sSC0JoY.txt",4
"Youtube CorpusjtIndAU8O4o.txt",1
"Youtube CorpusJwvuHsmyEF0.txt",2
"Youtube CorpusJYpD4iyqhJs.txt",5
"Youtube Corpusk1WvyzuEWM8.txt",1
"Youtube CorpusKGI7K_ehHsU.txt",5
"Youtube CorpuskJXGTyWxSsY.txt",4
"Youtube CorpuskkklXwxn44g.txt",2
"Youtube Corpusl82PxsKHxYc.txt",5
"Youtube CorpusLhJyqHVPgso.txt",3
"Youtube CorpuslmUTWV8FgIc.txt",2
"Youtube CorpuslPERfjRaZug.txt",3
"Youtube CorpusmBu_LmD69tc.txt",5
"Youtube CorpusMeRy8GzhWjk.txt",3
"Youtube CorpusMPdj8KGZHa0.txt",1
"Youtube CorpusMrIbQ0pIFOg.txt",1
"Youtube CorpusmwdPXRPH_oQ.txt",1
"Youtube CorpusMWRboYReMsM.txt",2
"Youtube Corpusn5IAH49Wa14.txt",1
"Youtube CorpusNGxNDI2bRf0.txt",1
"Youtube CorpusnLLcT6k_j4o.txt",2
"Youtube CorpusnlTtMulF8ug.txt",4
"Youtube Corpusnp33yiesC_E.txt",1
"Youtube Corpusnt63k3bfXS0.txt",4
"Youtube CorpusnZRM2gUKCfA.txt",2
"Youtube CorpusOTdjgC_tqiU.txt",4
