"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abl",0.00190453980099502,0.00279478560613996,0.00274814976055725,0.000409273925932481,0.00321717716539723,0.553295177555218
"2","actual",4.31868435599779e-06,0.0079685511234689,0.0163033799026398,3.68715248587821e-06,0.0040888932474693,10.8495098389494
"3","adversari",0.00933267689331122,0.000318995972080711,0.0013629437606364,3.68715248587821e-06,2.72411275647522e-06,-4.87068083639905
"4","alway",9.06923714759536e-05,0.00128709320078337,0.00111558554636482,3.68715248587821e-06,0.00139202161855884,3.82699151072004
"5","anim",0.00294102404643449,1.58704463721747e-06,2.4735821427158e-06,3.68715248587821e-06,2.72411275647522e-06,-10.8557601587305
"6","anoth",0.00250915561083472,0.00236628355409124,0.00274814976055725,0.00144167662197838,0.00139202161855884,-0.0845789818395569
"7","answer",4.31868435599779e-06,0.00104903650520074,0.000299303439268611,3.68715248587821e-06,0.00141926274612359,7.92425729078922
"8","appear",0.00121355030403538,0.000207902847475488,2.4735821427158e-06,0.000556760025367609,8.44474954507318e-05,-2.54525248940195
"9","appli",0.000479373963515755,0.00154102034273816,2.4735821427158e-06,0.0011835759479669,0.00180063853203012,1.68466244835062
"10","approxim",4.31868435599779e-06,0.00144579766450511,2.4735821427158e-06,0.00177352034570742,2.72411275647522e-06,8.38705807308358
"11","architectur",0.000522560807075732,0.00335025122916607,0.00153609451062651,3.68715248587821e-06,2.72411275647522e-06,2.68059845535409
"12","art",0.00522992675511332,1.74574910093921e-05,0.00131347211778209,3.68715248587821e-06,0.00210029093524239,-8.2268007017755
"13","artist",0.00540267412935323,1.58704463721747e-06,2.4735821427158e-06,3.68715248587821e-06,0.000710993429440032,-11.7331152448843
"14","attent",4.31868435599779e-06,0.00116012962980597,2.4735821427158e-06,0.000114301727062224,2.72411275647522e-06,8.06947842523397
"15","authent",0.00104080292979547,1.58704463721747e-06,2.4735821427158e-06,3.68715248587821e-06,2.72411275647522e-06,-9.35713850694843
