"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","network","network","secur","game","level"
"2","wan","think","cloud","guy","standard"
"3","connect","work","data","bob","use"
"4","azur","realli","realli","time","solut"
"5","let","custom","access","bomb","tic"
"6","use","peopl","center","old","servic"
"7","servic","now","user","someth","agenc"
"8","now","applic","now","man","qualif"
"9","traffic","compani","servic","play","apprenticeship"
"10","rout","wan","use","think","case"
"11","applianc","cloud","talk","buy","manag"
"12","access","busi","applic","now","term"
"13","branch","solut","need","use","now"
"14","layer","year","enterpri","good","support"
"15","virtual","need","differ","brown","slide"
"16","firew","home","sassi","second","framework"
"17","internet","talk","provid","day","time"
"18","deploy","technolog","actual","bodi","number"
"19","custom","point","abl","issu","busi"
"20","vnet","softwar","work","quick","requir"
"21","configur","don","devic","end","document"
"22","differ","virtual","network","server","program"
"23","gateway","time","threat","realli","avail"
"24","site","world","organ","bullet","provid"
"25","provid","edg","give","citi","year"
"26","support","deliv","dns","effect","focus"
"27","abl","vmware","platform","pretti","within"
"28","control","mean","protect","readi","assess"
"29","end","help","manag","tell","end"
"30","integr","thank","find","big","job"
"31","hub","part","trust","move","replac"
"32","need","big","capabl","need","trust"
"33","video","offic","attack","year","connect"
"34","cisco","transform","base","case","contract"
"35","point","mani","polici","health","market"
"36","edg","market","infrastructur","jump","plea"
"37","call","product","togeth","line","architectur"
"38","session","area","experi","write","current"
"39","basic","bit","across","mani","creat"
"40","global","call","littl","bad","digit"
"41","box","littl","zero","first","show"
"42","circuit","mayb","happen","money","engin"
"43","tabl","comput","model","block","sase"
"44","vpn","actual","today","bar","develop"
"45","set","differ","edg","bond","knowledg"
"46","uag","infrastructur","start","call","next"
"47","workspac","servic","system","care","pearson"
"48","manag","start","type","crazi","relea"
"49","server","deploy","web","door","endpoint"
"50","base","industri","detect","hous","let"
"51","secur","chang","tri","live","may"
"52","anoth","remot","import","shock","offer"
"53","devic","build","product","yet","point"
"54","privat","mention","allow","lead","team"
"55","singl","alway","architectur","stop","contact"
"56","solut","connect","sort","act","group"
"57","creat","manag","think","problem","pilot"
"58","third","bring","bit","shot","administr"
"59","first","cour","segment","whole","recogn"
"60","model","nfv","level","actual","sector"
"61","authent","interest","particular","car","differ"
"62","capabl","use","thank","happen","multipl"
"63","default","certain","custom","hell","defin"
"64","featur","load","build","home","provi"
"65","horizon","vendor","question","keep","inform"
"66","monitor","abl","chang","nice","node"
"67","name","balanc","address","today","employ"
"68","data","control","ident","weapon","first"
"69","entir","obvious","log","anyth","guidanc"
"70","environ","valu","command","mean","nkn"
"71","multipl","autom","googl","miss","refer"
"72","perform","cisco","team","anoth","cisa"
"73","final","everyth","hand","check","continu"
"74","load","someth","help","doesn","move"
"75","packet","good","might","light","august"
"76","top","data","coupl","may","base"
"77","tunnel","key","environ","respond","deci"
"78","user","move","exampl","studi","direct"
"79","share","forward","place","top","masergi"
"80","within","done","resourc","bright","skill"
"81","mpls","function","mobil","life","updat"
"82","parti","citrix","open","noth","environ"
"83","type","case","abil","room","inaud"
"84","full","place","addit","branch","financ"
"85","defin","develop","built","fine","includ"
"86","scale","optim","tool","ground","intent"
"87","link","implement","understand","idea","last"
"88","element","locat","internet","littl","meet"
"89","router","tell","within","long","role"
"90","add","definit","continu","never","transit"
"91","give","today","distribut","probabl","area"
"92","someth","end","driven","read","custom"
"93","step","everyon","high","real","demand"
"94","allow","multi","avail","sell","independ"
"95","applic","oper","first","set","mention"
"96","don","fact","good","team","network"
"97","region","import","respon","weird","plan"
"98","talk","piec","set","whenev","review"
"99","enabl","ask","stack","battl","behavior"
"100","side","better","digit","behind","certif"
