"","x"
"peopl",1581
"think",1502
"use",1174
"work",1086
"realli",1049
"time",982
"now",940
"technolog",861
"question",773
"need",697
"thank",653
"don",622
"actual",579
"talk",568
"data",510
"help",502
"differ",493
"health",481
"compani",477
"social",455
"year",452
"student",408
"start",404
"chang",397
"good",387
"first",382
"mani",379
"abl",361
"littl",358
"tri",357
"team",356
"onlin",347
"import",346
"someth",346
"video",331
"mean",328
"inform",327
"let",327
"access",324
"busi",324
"ask",320
"call",319
"live",314
"system",313
"care",311
"space",310
"day",309
"app",305
"might",298
"today",298
"person",297
"digit",295
"give",295
"googl",294
"face",293
"place",293
"provid",291
"distanc",289
"world",284
"home",283
"product",280
"share",278
"build",272
"bit",270
"learn",266
"may",265
"servic",265
"covid",264
"hear",264
"thei",264
"experi",258
"understand",257
"part",252
"happen",249
"issu",245
"exampl",244
"point",243
"term",243
"find",242
"keep",242
"big",241
"done",240
"sort",239
"week",237
"mayb",232
"connect",228
"set",228
"interest",227
"develop",223
"last",222
"move",222
"pandem",222
"yes",222
"anoth",220
"remot",216
"everi",214
"school",214
"creat",212
"show",212
"state",212
"project",211
"number",209
"market",208
"amazon",207
"case",206
"togeth",206
"platform",204
"manag",202
"can",201
"focus",201
"continu",197
"allow",194
"solut",190
"support",189
"plan",187
"communic",186
"patient",186
"public",186
"open",185
"design",184
"end",184
"challeng",183
"user",182
"area",181
"feel",181
"opportun",180
"better",179
"famili",179
"base",178
"idea",177
"long",177
"type",175
"answer",173
"research",173
"room",173
"facebook",172
"option",172
"everyon",171
"program",170
"includ",167
"countri",166
"futur",164
"hope",164
"within",164
"meet",163
"custom",162
"fact",162
"group",162
"problem",162
"quit",162
"relat",161
"zoom",161
"devic",160
"cour",159
"report",159
"communiti",158
"particular",158
"concern",157
"store",157
"virtual",157
"alway",156
"bring",155
"member",155
"process",155
"high",151
"forward",150
"just",150
"one",150
"real",150
"certain",148
"practic",148
"quick",148
"collect",147
"plea",147
"becom",146
"organ",146
"direct",145
"love",145
"stay",145
"like",144
"tool",144
"air",143
"hand",143
"safe",142
"avail",141
"best",141
"test",141
"virus",141
"without",141
"activ",139
"increa",139
"industri",139
"make",139
"possibl",138
"requir",138
"alreadi",137
"environ",137
"global",137
"impact",137
"phone",137
"power",136
"across",135
"leader",135
"resourc",135
"websit",135
"check",133
"small",133
"coupl",131
"doesn",131
"effect",131
"want",131
"discuss",130
"believ",129
"minut",129
"play",128
"specif",128
"retail",127
"tell",127
"evalu",126
"free",126
"govern",126
"new",126
"clear",125
"made",125
"mention",125
"million",124
"secur",124
"close",123
"content",123
"mask",122
"month",122
"well",122
"individu",121
"offic",121
"order",120
"respon",120
"engag",119
"get",119
"lead",119
"control",118
"job",118
"join",118
"offer",118
"someon",118
"center",117
"contact",117
"didn",117
"hard",117
"obvious",117
"present",117
"sinc",117
"thought",117
"turn",117
"class",116
"consid",116
"polici",116
"appl",115
"follow",115
"innov",115
"risk",115
"staff",115
"level",114
"probabl",114
"recogn",113
"situat",113
"webinar",113
"everybodi",112
"general",111
"larg",111
"screen",111
"second",111
"everyth",110
"human",110
"kid",110
"sen",110
"found",109
"older",109
"univ",109
"campus",108
"major",108
"privaci",108
"tech",108
"watch",108
"stori",106
"will",106
"chat",105
"cover",105
"four",105
"heard",105
"applic",104
"protect",104
"slide",104
"reason",103
"correct",102
"internet",102
"monitor",102
"particip",102
"read",102
"local",101
"model",101
"music",101
"educ",100
"especi",100
"interact",99
"moment",99
"scienc",99
"third",99
"away",98
"competit",98
"normal",98
"approach",97
"basic",97
"governor",97
"medic",97
"take",97
"colleg",96
"life",96
"messag",96
"whole",96
"congressman",95
"never",95
"pretti",95
"american",94
"consum",94
"hour",94
"posit",94
"measur",93
"nation",93
"current",92
"either",92
"right",91
"sever",91
"speak",91
"studi",90
"coronavirus",89
"list",89
"anyth",88
"car",88
"comput",88
"ever",88
"know",88
"side",88
"success",88
"citi",87
"event",87
"percent",87
"physic",87
"view",87
"address",86
"colleagu",86
"final",86
"friend",86
"lab",86
"oper",86
"walk",86
"exact",85
"land",85
"leav",85
"less",85
"often",85
"potenti",85
"step",85
"todai",85
"ani",84
"key",84
"site",84
"addit",83
"definit",83
"improv",83
"mobil",83
"choic",82
"hous",82
"isn",82
"visit",82
"classroom",81
"cost",81
