"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","accentur","servic","servic","manag","affect"
"2","share","group","client","busi","solut"
"3","plc","industri","may","develop","includ"
"4","hold","oper","result","improv","tax"
"5","compani","technolog","oper","perform","contract"
"6","class","client","busi","resourc","addit"
"7","ordinari","provid","profit","process","adver"
"8","serv","help","cost","cost","demand"
"9","public","solut","abil","integr","market"
"10","holder","product","materi","serv","chang"
"11","exchang","includ","technolog","financ","offer"
"12","approxim","capabl","provid","area","abl"
"13","financ","revenu","increa","compani","depend"
"14","canada","digit","signif","design","competit"
"15","inc","innov","work","public","develop"
"16","ltd","market","time","work","negat"
"17","common","organ","econom","profess","condit"
"18","interest","fiscal","retain","growth","need"
"19","vote","custom","employ","outsourc","rate"
"20","leadership","global","competitor","end","futur"
"21","sharehold","health","industri","strategi","serv"
"22","global","deliv","revenu","effici","law"
"23","receiv","offer","price","effect","unabl"
"24","peopl","deliveri","success","servic","effect"
"25","resourc","valu","data","implement","subject"
"26","differenti","busi","effect","inform","might"
"27","consolid","net","continu","model","personnel"
"28","model","media","number","consult","certain"
"29","irish","transform","impact","key","compani"
"30","number","strategi","skill","enabl","factor"
"31","limit","applic","global","network","liabil"
"32","transfer","repr","reduc","suppli","suffici"
"33","corpor","world","current","chang","perform"
"34","entitl","consult","lower","use","breach"
"35","agenc","high","larg","electron","damag"
"36","august","platform","risk","mobil","delay"
"37","invest","competit","high","chain","expect"
"38","subsidiari","rang","requir","sustain","system"
"39","director","function","termin","content","volatil"
"40","primari","across","attract","risk","anticip"
"41","tabl","asset","growth","system","expand"
"42","redempt","enterpri","compet","sale","suffer"
"43","advantag","research","complex","address","less"
"44","capit","consum","currenc","skill","jurisdict"
"45","depart","commun","engag","firm","meet"
"46","held","sca","level","build","plan"
"47","intellectu","softwar","use","invest","countri"
"48","lead","creat","resourc","merger","state"
"49","general","properti","deliveri","life","manag"
"50","ireland","enhanc","particular","manufactur","obtain"
"51","redeem","follow","consolid","market","skill"
"52","issu","govern","regul","client","term"
"53","part","base","spend","infrastructur","action"
"54","basi","compri","locat","natur","limit"
"55","offic","experti","type","optim","financ"
"56","patent","focus","hire","profit","geograph"
"57","commit","increa","profess","addit","uncertainti"
"58","digit","specif","util","execut","mani"
"59","artifici","develop","ongo","industri","project"
"60","bring","partner","balanc","need","rapid"
"61","certain","approxim","parti","enterpri","evolv"
"62","control","bank","talent","social","favor"
"63","ecosystem","chemic","lead","trade","inform"
"64","enhanc","cloud","chang","standard","similar"
"65","senior","equip","environ","leverag","strategi"
"66","author","work","exampl","major","third"
"67","feder","energi","compen","parti","accur"
"68","repr","intellig","scale","statement","protect"
"69","respect","qualiti","secur","strateg","effort"
"70","incorpor","allianc","period","support","lose"
"71","merger","price","valu","adapt","often"
"72","partner","non","activ","among","area"
"73","subject","operat","contractu","capit","greater"
"74","allianc","relationship","general","drive","person"
"75","compet","retail","peopl","organiz","difficult"
"76","current","report","caus","reduc","respond"
"77","duti","talent","challeng","cover","softwar"
"78","human","channel","keep","insur","tabl"
"79","law","combin","subcontractor","corpor","amount"
"80","million","segment","grow","direct","differ"
"81","time","tabl","innov","similar","control"
"82","equal","insur","altern","util","margin"
"83","execut","scale","among","varieti","reput"
"84","member","wide","respon","commerci","dollar"
"85","outstand","entertain","vendor","comput","enforc"
"86","ownership","infrastructur","appropri","depart","exist"
"87","term","trademark","initi","unit","integr"
"88","enabl","analyt","legal","human","necessari"
"89","infrastructur","larg","polit","issu","posit"
"90","statement","marketplac","set","measur","relat"
"91","aggreg","engag","emerg","satisfact","deploy"
"92","associ","good","exchang","settlement","estim"
"93","competit","insight","invest","account","leadership"
"94","connect","secur","therefor","care","maintain"
"95","continu","broad","commit","deci","reli"
"96","creat","travel","deliv","environ","cyberattack"
"97","former","center","product","offic","numer"
"98","applic","communic","stock","transport","uncertain"
"99","believ","design","upon","allianc","due"
"100","consist","experi","world","although","european"
