"","V1"
"0000796343-11-000003_Business.txt",5
"0000796343-11-000003_Risk.txt",2
"0000796343-12-000003_Business.txt",5
"0000796343-12-000003_Risk.txt",2
"0000796343-13-000008_Business.txt",5
"0000796343-13-000008_Risk.txt",2
"0000796343-14-000004_Business.txt",5
"0000796343-14-000004_Risk.txt",2
"0000796343-15-000022_Business.txt",3
"0000796343-15-000022_Risk.txt",2
"0000796343-16-000224_Business.txt",3
"0000796343-16-000224_Risk.txt",2
"0000796343-17-000031_Business.txt",3
"0000796343-17-000031_Risk.txt",1
"0000796343-18-000015_Business.txt",3
"0000796343-18-000015_Risk.txt",1
"0000796343-19-000019_Business.txt",3
"0000796343-19-000019_Risk.txt",1
"0000796343-20-000013_Business.txt",3
"0000796343-20-000013_Risk.txt",4
"0000796343-21-000004_Business.txt",3
"0000796343-21-000004_Risk.txt",1
