"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","compani","simul","million","product","tax"
"2","provid","design","year","softwar","decemb"
"3","develop","product","revenu","technolog","end"
"4","revenu","engin","increa","ansi","compani"
"5","perform","custom","incom","system","asc"
"6","comput","develop","end","includ","year"
"7","high","use","decemb","suit","cost"
"8","result","electron","expen","licen","currenc"
"9","activ","integr","licen","direct","foreign"
"10","futur","process","relat","partner","revenu"
"11","base","solut","tax","fluid","constant"
"12","design","ansi","cost","applic","incom"
"13","manag","support","mainten","physic","statement"
"14","organ","sale","acquisit","industri","amount"
"15","addit","provid","impact","agreement","million"
"16","capabl","enabl","net","channel","servic"
"17","decemb","optim","compar","platform","increa"
"18","major","capabl","amount","market","reform"
"19","simul","tool","result","may","tabl"
"20","analysi","user","gaap","cad","translat"
"21","global","analysi","due","enhanc","base"
"22","believ","data","financ","increa","net"
"23","certain","advanc","primarili","model","sale"
"24","solut","time","rate","deliv","licen"
"25","support","environ","non","power","mainten"
"26","backlog","materi","adjust","servic","continu"
"27","form","qualiti","oper","total","thousand"
"28","agreement","cloud","softwar","function","effect"
"29","continu","autom","follow","relea","provi"
"30","file","offer","sale","current","provid"
"31","innov","manag","share","structur","complet"
"32","ansi","cost","total","technic","invest"
"33","avail","tabl","contract","complex","earn"
"34","inform","comprehen","measur","protect","feder"
"35","lead","across","decrea","secret","transit"
"36","expand","distribut","combin","relationship","deduct"
"37","facilit","lead","respect","rang","inclus"
"38","trade","access","report","special","period"
"39","balanc","multiphi","busi","world","certain"
"40","busi","oper","research","term","present"
"41","jurisdict","allow","account","employ","previous"
"42","model","emb","acquir","patent","estim"
"43","spaceclaim","portfolio","tabl","proprietari","compen"
"44","technic","comput","defer","requir","part"
"45","consult","hpc","perpetu","workbench","chang"
"46","target","mechan","amort","mesh","growth"
"47","enabl","within","per","level","limit"
"48","flow","creat","includ","prototyp","rate"
"49","offic","geometri","compen","research","subsidiari"
"50","parti","reliabl","servic","interact","support"
"51","quarter","work","interest","network","gilti"
"52","claim","solver","lea","entir","materi"
"53","composit","compon","repr","relat","opti"
"54","employ","exist","amortiz","project","adopt"
"55","royalti","accel","period","wide","percent"
"56","approxim","broad","dilut","dynam","price"
"57","order","real","develop","annual","determin"
"58","measur","deploy","profit","combin","discuss"
"59","month","leverag","thousand","complet","due"
"60","power","open","activ","expand","sell"
"61","reli","sourc","earn","trade","time"
"62","typic","architectur","associ","multipl","account"
"63","critic","effici","stock","sale","allow"
"64","ongo","enterpri","growth","mainten","basi"
"65","expect","problem","percentag","obtain","global"
"66","januari","test","except","continu","separ"
"67","primarili","acquisit","general","predict","accord"
"68","repr","respect","administr","singl","averag"
"69","accord","signif","effect","invest","consolid"
"70","associ","improv","base","plm","corpor"
"71","channel","interfac","ofrevenu","properti","domest"
"72","electron","strateg","operat","purcha","gross"
"73","factor","built","apach","trademark","guidanc"
"74","period","hardwar","salari","competit","market"
"75","rapid","maintain","esterel","copyright","provis"
"76","consolid","packag","foreign","coupl","restructur"
"77","dure","perform","asset","report","dure"
"78","mean","experi","valu","consist","factor"
"79","similar","flexibl","headcount","enforc","fluctuat"
"80","affect","help","reflect","strategi","industri"
"81","committ","specif","record","plan","purcha"
"82","esterel","subject","averag","scade","record"
"83","financ","approach","benefit","student","repatri"
"84","lower","class","custom","effect","weaker"
"85","reaction","cycl","date","supplier","enact"
"86","type","electromagnet","sold","academ","less"
"87","area","establish","prior","address","offset"
"88","end","manufactur","sell","automot","post"
"89","indirect","number","reduct","corpor","annual"
"90","transport","condit","provi","establish","content"
"91","code","connect","credit","focus","creat"
"92","deci","partnership","histor","transfer","fulli"
"93","even","virtual","chang","center","indirect"
"94","line","circuit","use","communic","larger"
"95","low","complex","annual","event","may"
"96","offset","dyna","currenc","line","percentag"
"97","particular","employ","intang","greater","reason"
"98","potenti","multi","japan","instal","reduc"
"99","state","util","transact","third","current"
"100","subsidiari","easili","gross","aerospac","excess"
