"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","compani","may","adver","oper","increa"
"2","revenu","servic","impact","busi","includ"
"3","valu","product","addit","affect","addit"
"4","asset","result","law","event","contract"
"5","account","client","failur","competit","tax"
"6","million","condit","govern","risk","busi"
"7","total","market","chang","success","requir"
"8","consolid","inform","abil","financ","relat"
"9","year","futur","secur","subject","financ"
"10","estim","signif","disrupt","compet","rate"
"11","incom","effect","qualiti","protect","research"
"12","statement","materi","personnel","agreement","time"
"13","compar","negat","maintain","consult","provid"
"14","client","continu","potenti","face","cost"
"15","note","need","term","price","stock"
"16","base","develop","substanti","intellectu","acquisit"
"17","report","exist","compani","intern","revenu"
"18","expen","state","credit","foreign","use"
"19","confer","employ","harm","posit","cash"
"20","recogn","data","debt","system","decemb"
"21","intang","non","renew","countri","sale"
"22","oper","arrang","ani","outsid","amount"
"23","asu","oper","attack","sale","chang"
"24","fair","generat","depend","agenc","futur"
"25","perform","offer","internet","brand","period"
"26","lea","critic","properti","numer","signif"
"27","polici","growth","local","locat","loss"
"28","repr","invest","damag","activ","consult"
"29","acquir","user","reput","global","current"
"30","compen","caus","challeng","abl","general"
"31","impact","econom","currenc","comput","manag"
"32","segment","common","claim","trade","factor"
"33","basi","credit","privaci","complianc","flow"
"34","determin","termin","brand","subscript","result"
"35","retent","attend","collect","competitor","deliv"
"36","assess","million","mani","demand","engag"
"37","measur","retain","various","time","applic"
"38","annual","believ","econom","person","number"
"39","exclud","resourc","effort","revenu","decrea"
"40","fee","expect","limit","agent","unit"
"41","net","high","evolv","parti","avail"
"42","adopt","proprietari","gartner","rapid","custom"
"43","calcul","analysi","author","control","regard"
"44","due","maintain","cyber","coven","certain"
"45","goodwil","reli","enhanc","reput","date"
"46","impair","abil","fund","act","technolog"
"47","currenc","enforc","intern","compani","capit"
"48","judgment","respect","disast","continu","oblig"
"49","adjust","impact","electron","fail","respect"
"50","assumpt","jurisdict","indebt","major","base"
"51","benefit","portion","oper","prospect","ceb"
"52","allow","reason","qualifi","provi","share"
"53","billion","anticip","replac","symposia","gartner"
"54","charg","confer","appropri","deliveri","involv"
"55","defer","delay","firm","litig","uncertainti"
"56","end","difficulti","advanc","manner","improv"
"57","evalu","economi","assur","natur","meet"
"58","receiv","foreign","declin","otherwi","deriv"
"59","record","varieti","defend","particular","earn"
"60","billabl","profess","earn","stockhold","experi"
"61","differ","facil","howev","approv","initi"
"62","standard","furthermor","incur","concern","organ"
"63","balanc","given","key","emerg","function"
"64","circumst","loan","train","infrastructur","posit"
"65","divest","region","abl","practic","accrual"
"66","liabil","restrict","accommod","seek","critic"
"67","primarili","third","attract","technolog","debt"
"68","reflect","address","budget","terrorist","foreign"
"69","project","amount","catastroph","unauthor","industri"
"70","averag","appropri","conveni","acquir","interest"
"71","award","chang","creat","adver","profit"
"72","higher","consum","expo","avail","spend"
"73","indic","hire","fluctuat","base","lead"
"74","inform","legal","implement","complex","method"
"75","present","must","indirect","confidenti","realiz"
"76","specif","system","opportun","outstand","sourc"
"77","action","imp","rate","plan","accord"
"78","busi","promot","virus","polit","expen"
"79","consid","public","accept","respond","upon"
"80","januari","recent","adequ","attempt","util"
"81","sheet","risk","choo","compli","access"
"82","appropri","secret","compli","direct","achiev"
"83","certain","senior","environ","expand","basi"
"84","percentag","abl","interpret","properti","limit"
"85","prior","associ","made","regul","outstand"
"86","recognit","complet","occurr","retent","process"
"87","destin","contract","often","signif","strategi"
"88","discount","cost","pay","approxim","analysi"
"89","fasb","cyber","pose","constitut","enhanc"
"90","global","former","pursu","extent","favor"
"91","growth","greater","revolv","market","histor"
"92","headcount","print","analyst","substanti","incur"
"93","inher","revenu","audit","websit","local"
"94","insight","threat","breach","attract","reduc"
"95","select","without","center","barrier","reduct"
"96","singl","affirm","compromi","beyond","typic"
"97","consist","busi","contain","complet","advic"
"98","enterpri","capabl","day","govern","corpor"
"99","event","conduct","desir","negoti","entiti"
"100","gross","control","deter","shutdown","lea"
