"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","financ","hpe","custom","gaap","may"
"2","servic","edg","product","non","product"
"3","result","provid","busi","net","affect"
"4","busi","transform","includ","earn","compon"
"5","oper","storag","servic","revenu","supplier"
"6","market","intellig","offer","relat","adver"
"7","condit","cloud","solut","cost","price"
"8","addit","comput","manag","fiscal","cost"
"9","revenu","global","compani","profit","qualiti"
"10","perform","team","model","oper","margin"
"11","increa","technolog","invest","estim","develop"
"12","competitor","work","segment","charg","manufactur"
"13","signif","industri","softwar","measur","issu"
"14","competit","report","high","billion","sale"
"15","demand","data","base","discuss","distribut"
"16","term","portfolio","innov","margin","rate"
"17","time","enabl","support","amount","disrupt"
"18","chang","focus","expect","compar","effect"
"19","certain","talent","hardwar","gross","address"
"20","expen","consumpt","sale","per","limit"
"21","impact","drive","develop","tax","abil"
"22","currenc","deliv","oper","share","failur"
"23","gross","enterpri","financ","analysi","solut"
"24","period","flexibl","infrastructur","operat","profit"
"25","inventori","help","process","consid","locat"
"26","unit","hpc","tabl","consolid","harm"
"27","area","mcs","account","decrea","delay"
"28","success","year","strategi","contract","must"
"29","associ","member","execut","direct","suffer"
"30","continu","partner","partner","perform","abl"
"31","due","avail","secur","acquisit","futur"
"32","order","believ","comput","adjust","market"
"33","third","experi","data","base","particular"
"34","depend","manufactur","fiscal","basi","singl"
"35","channel","program","govern","covid","sourc"
"36","face","accel","relat","impact","ani"
"37","exist","capabl","cost","packard","geograph"
"38","suppli","digit","factor","price","shortag"
"39","technolog","hewlett","futur","dilut","distributor"
"40","parti","separ","implement","note","manag"
"41","quarter","distribut","across","oblig","requir"
"42","resourc","purpo","commit","restructur","state"
"43","trend","server","design","softwar","countri"
"44","exchang","solut","larg","statement","effort"
"45","lower","valu","portfolio","cash","fluctuat"
"46","pressur","within","sell","exclud","accur"
"47","mani","workload","sourc","percentag","compet"
"48","polici","build","critic","challeng","flow"
"49","risk","cultur","asset","contentshewlett","activ"
"50","foreign","network","direct","continu","anticip"
"51","reduc","engag","incur","determin","obtain"
"52","strateg","inclus","world","employ","vari"
"53","transit","leadership","cloud","enterpris","variat"
"54","allianc","now","differ","loss","caus"
"55","avail","outcom","experi","offin","favor"
"56","relat","system","workforc","partial","research"
"57","challeng","uniqu","optim","plan","worker"
"58","potenti","best","order","recogn","cont"
"59","uncertainti","contract","part","subsidiariesmanag","demand"
"60","weak","corpor","upon","account","forecast"
"61","excess","entiti","align","asset","risk"
"62","constraint","fulfil","creat","benefit","therefor"
"63","execut","real","employ","corpor","declin"
"64","fund","role","period","disposit","indirect"
"65","given","simplifi","requir","follow","unabl"
"66","lead","agil","combin","goodwil","volatil"
"67","use","artifici","enterpri","implement","deliv"
"68","long","built","key","improv","econom"
"69","need","commerci","number","initi","factor"
"70","replac","complet","use","item","hedg"
"71","ship","covid","volum","need","industri"
"72","action","differenti","act","octob","law"
"73","capac","diver","center","primarili","predict"
"74","greater","experti","effici","program","problem"
"75","growth","greenlak","lead","provid","relationship"
"76","system","grow","purcha","pts","fail"
"77","various","initi","suppli","restrict","purcha"
"78","higher","leader","brand","transfer","appropri"
"79","may","multi","econom","accept","follow"
"80","meet","need","opportun","amort","complex"
"81","alloc","next","power","distinct","contractu"
"82","among","over","rang","growth","exampl"
"83","cloud","posit","capabl","histor","interest"
"84","intern","price","certain","impair","local"
"85","less","vendor","current","licen","loss"
"86","materi","advanc","general","pandem","quantiti"
"87","spend","aruba","integr","post","structur"
"88","accord","captur","technic","repr","cash"
"89","custom","close","achiev","variabl","difficult"
"90","difficulti","compen","acquir","allow","polit"
"91","econom","connect","applic","america","reput"
"92","maintain","consist","first","assumpt","adjust"
"93","protect","direct","labor","believ","agreement"
"94","receiv","driven","packard","capit","deliveri"
"95","reli","ear","wide","certain","moreov"
"96","respect","environ","abil","constant","natur"
"97","cycl","estat","configur","contain","materi"
"98","enter","good","diver","control","method"
"99","environ","improv","event","due","mix"
"100","major","insight","goal","end","negat"
