"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","solut","oper","product","million","may"
"2","custom","result","tax","cash","busi"
"3","supplier","financ","regul","note","addit"
"4","acquisit","properti","effect","senior","market"
"5","reduc","manufactur","requir","tax","adver"
"6","increa","signif","cost","use","condit"
"7","limit","servic","law","commit","affect"
"8","industri","chang","liabil","net","intellectu"
"9","strateg","includ","state","plan","abil"
"10","restrict","impact","agil","purcha","technolog"
"11","debt","due","caus","stock","custom"
"12","invest","increa","employ","increa","futur"
"13","trade","time","depend","term","price"
"14","depend","revenu","facil","interest","harm"
"15","market","risk","incent","octob","time"
"16","polit","demand","various","year","materi"
"17","suppli","intern","key","benefit","term"
"18","favor","outsourc","system","payment","parti"
"19","acquir","relat","contamin","relat","develop"
"20","accept","perform","control","amount","differ"
"21","adver","compani","expen","expen","econom"
"22","outstand","requir","fail","provid","contract"
"23","consolid","capac","environ","activ","third"
"24","flow","order","separ","credit","certain"
"25","fund","anticip","unit","facil","competit"
"26","innov","inform","amount","non","subject"
"27","negat","licen","standard","compar","demand"
"28","partner","limit","report","issu","rate"
"29","polici","content","although","issuanc","avail"
"30","global","lead","hedg","aggreg","chang"
"31","trademark","incom","oblig","common","process"
"32","exist","complex","outsid","incom","general"
"33","less","success","local","payabl","design"
"34","unit","suffer","remedi","retir","among"
"35","access","cost","subject","liabil","competitor"
"36","difficult","excess","govern","offset","expect"
"37","may","posit","site","partial","countri"
"38","need","protect","consolid","proceed","manag"
"39","allianc","patent","examin","respect","uncertainti"
"40","impair","product","loss","tabl","currenc"
"41","interest","foreign","retain","defer","continu"
"42","upturn","larg","agreement","long","failur"
"43","becaus","purcha","locat","percent","jurisdict"
"44","given","enforc","fiscal","primarili","manner"
"45","lower","meet","catastroph","receiv","part"
"46","order","unabl","fulfil","settlement","cyclic"
"47","reason","inventori","outcom","unsecur","season"
"48","function","stock","personnel","account","abl"
"49","provi","valu","acquisit","adjust","delay"
"50","econom","account","allow","april","secur"
"51","entiti","varieti","involv","author","transact"
"52","liquid","ani","becom","capit","cancel"
"53","china","function","difficult","expir","resourc"
"54","corpor","declin","expect","factor","type"
"55","growth","difficulti","insur","inventori","portion"
"56","mani","pressur","arrang","period","sale"
"57","newli","reput","brand","princip","sell"
"58","spend","close","cash","revolv","copyright"
"59","vendor","grow","continu","share","counterparti"
"60","borrow","litig","distribut","amort","experi"
"61","coven","compon","number","compani","incur"
"62","leverag","obsolet","sale","contribut","factor"
"63","network","part","factor","debt","sever"
"64","synergi","singapor","greater","employ","associ"
"65","complet","case","polici","incur","margin"
"66","european","infr","specif","lea","success"
"67","inabl","offer","activ","manufactur","disrupt"
"68","malaysia","adjust","address","paid","substanti"
"69","nation","area","cea","rate","quarter"
"70","opposit","claim","claim","supplier","level"
"71","receiv","decrea","competit","test","rapid"
"72","suffici","earn","maintain","annual","trademark"
"73","union","provid","suffer","approv","applic"
"74","without","abl","tabl","base","consum"
"75","compet","administr","vari","bear","damag"
"76","effici","base","benefit","california","exampl"
"77","failur","measur","feder","cancel","exchang"
"78","indebt","custom","furthermor","collect","infr"
"79","infr","enhanc","past","compen","negat"
"80","month","event","rule","connect","potenti"
"81","record","interrupt","violat","contract","compli"
"82","relationship","profit","agr","contractu","estim"
"83","tabl","proprietari","allianc","date","expen"
"84","volatil","replac","author","decrea","integr"
"85","analyz","acquir","bring","defin","realiz"
"86","asia","assur","connect","divestitur","within"
"87","attack","ensur","grant","equiti","effort"
"88","central","impo","indemnifi","goodwil","howev"
"89","conduct","jurisdict","regard","matur","order"
"90","credit","pay","satisfi","month","action"
"91","critic","subject","subsurfac","northern","negoti"
"92","depress","use","suffici","oblig","obtain"
"93","dilut","breach","ani","post","often"
"94","disput","cash","carri","program","ongo"
"95","establish","current","geograph","repurcha","period"
"96","injuri","export","hire","short","sanction"
"97","oper","indemnif","howev","time","post"
"98","registr","industri","need","total","program"
"99","revolv","infrastructur","upturn","wildfir","shipment"
"100","secret","maintain","complianc","acquir","work"
