"","V1"
"0000319201-12-000008_Business.txt",1
"0000319201-12-000008_Risk.txt",3
"0000319201-13-000033_Business.txt",1
"0000319201-13-000033_Risk.txt",3
"0000319201-14-000038_Business.txt",1
"0000319201-14-000038_Risk.txt",3
"0000319201-15-000053_Business.txt",1
"0000319201-15-000053_Risk.txt",3
"0000319201-16-000090_Business.txt",1
"0000319201-16-000090_Risk.txt",3
"0000319201-17-000034_Business.txt",1
"0000319201-17-000034_Risk.txt",3
"0000319201-18-000045_Business.txt",1
"0000319201-18-000045_Risk.txt",4
"0000319201-19-000031_Business.txt",1
"0000319201-19-000031_Risk.txt",4
"0000319201-20-000047_Business.txt",1
"0000319201-20-000047_Risk.txt",4
"0001445305-11-002394_Business.txt",1
"0001445305-11-002394_Risk.txt",3
