"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","tax","million","product","may","currenc"
"2","oper","amount","sale","materi","dollar"
"3","includ","agreement","increa","oper","chang"
"4","net","oblig","cost","product","exchang"
"5","busi","cap","due","result","rate"
"6","condit","call","nand","affect","hedg"
"7","unit","approxim","primarili","manufactur","liabil"
"8","asset","purcha","incom","adver","asset"
"9","year","inotera","price","financ","cash"
"10","effect","note","market","time","foreign"
"11","provi","reduc","result","addit","oper"
"12","arrang","follow","compar","loss","yen"
"13","period","aggreg","declin","signif","exposur"
"14","state","price","expen","custom","financ"
"15","benefit","see","offset","supplier","risk"
"16","continu","share","decrea","condit","util"
"17","employ","futur","volum","limit","contract"
"18","certain","time","higher","disrupt","forward"
"19","respect","condit","manufactur","process","expenditur"
"20","allow","flash","partial","requir","general"
"21","defer","includ","develop","cost","capit"
"22","advanc","initi","reduct","abil","monetari"
"23","manag","servic","sell","equip","program"
"24","per","suppli","revenu","japan","flow"
"25","capit","contractu","sbu","busi","matur"
"26","interest","facil","strong","joint","result"
"27","lower","good","demand","raw","billion"
"28","perform","potenti","dram","subject","substanti"
"29","acquisit","upon","averag","obtain","august"
"30","agreement","may","approxim","ventur","million"
"31","mmj","minimum","technolog","increa","within"
"32","valuat","base","improv","counterparti","denomin"
"33","associ","certain","act","foreign","septemb"
"34","feder","common","ebu","regul","adver"
"35","incent","current","million","various","payment"
"36","incom","dilut","xpoint","action","euro"
"37","rate","expir","cnbu","compani","transact"
"38","consum","remain","mbu","default","new"
"39","deliv","subject","quarter","develop","taiwan"
"40","outsid","adjust","share","futur","estim"
"41","imft","commit","margin","incur","factor"
"42","jurisdict","contract","complet","meet","impact"
"43","part","contribut","execut","proceed","loss"
"44","process","level","foreign","risk","month"
"45","ramp","per","equip","technolog","singapor"
"46","trade","portion","high","difficulti","certain"
"47","govern","report","rate","intern","elpida"
"48","legal","singapor","estim","suppli","function"
"49","reduc","stock","impact","carryforward","incur"
"50","singapor","subsidiari","intel","court","purcha"
"51","date","total","percentag","licen","deriv"
"52","mix","close","begin","locat","instrument"
"53","revenu","intel","cloud","use","base"
"54","activ","manag","gross","event","expo"
"55","covid","quantiti","memori","inform","versus"
"56","dilut","record","valu","law","balanc"
"57","gain","signif","driven","lead","debt"
"58","research","similar","combin","mmj","option"
"59","earn","term","compen","network","valu"
"60","global","acquir","mobil","partner","entir"
"61","number","author","repatri","unabl","establish"
"62","plan","connect","use","implement","fluctuat"
"63","polici","conver","wafer","relat","major"
"64","posit","creditor","across","semiconductor","statement"
"65","reason","defer","earn","abl","volatil"
"66","relea","distribut","enabl","act","alway"
"67","restrict","live","growth","august","elimin"
"68","strateg","long","industri","billion","fair"
"69","uncertain","made","layer","invest","instal"
"70","adjust","measur","qualif","natur","movement"
"71","charg","memori","reimbur","relationship","purpo"
"72","connect","offer","ssd","system","reduc"
"73","consist","paid","suppli","avail","roll"
"74","declin","pay","decemb","control","signif"
"75","depend","payabl","depreci","credit","specul"
"76","elect","statement","transit","date","strategi"
"77","expir","suffici","enterpri","econom","approxim"
"78","facil","tabl","equiti","maintain","caus"
"79","favor","tool","operat","number","consolid"
"80","fund","cancel","over","numer","howev"
"81","impo","cover","server","recent","trade"
"82","made","depend","signif","restructur","use"
"83","method","differ","total","secur","affect"
"84","necessari","dure","automot","sever","compani"
"85","noncontrol","equal","custom","caus","due"
"86","sold","expect","end","complianc","enter"
"87","statutori","increa","graphic","comput","equiv"
"88","term","intend","joint","conflict","forecast"
"89","use","juli","loss","delay","item"
"90","account","penalti","sold","dodd","sheet"
"91","challeng","prior","attribut","experi","yuan"
"92","effectiv","realiz","compon","experienc","accur"
"93","effort","strategi","non","export","among"
"94","exist","strike","provis","factor","day"
"95","expect","transact","revi","govern","primari"
"96","followingfor","various","smartphon","industri","remain"
"97","home","year","team","involv","upon"
"98","issu","adver","underutil","key","data"
"99","matter","alter","capac","miner","depend"
"100","mobil","anti","enact","payment","end"
