"","x"
"servic",544
"product",524
"busi",332
"may",329
"custom",269
"devic",269
"develop",257
"cloud",228
"includ",228
"secur",215
"oper",209
"softwar",206
"window",202
"applic",187
"revenu",185
"user",180
"platform",177
"provid",174
"solut",169
"system",160
"base",157
"use",150
"offer",145
"technolog",144
"compet",142
"data",141
"comput",138
"increa",138
"server",131
"competit",127
"continu",125
"market",124
"offic",121
"licen",120
"microsoft",117
"game",110
"intellig",106
"manag",102
"signif",102
"affect",101
"content",98
"person",95
"compani",91
"cost",89
"enterpri",87
"enabl",84
"inform",82
"design",77
"experi",77
"part",77
"protect",77
"azur",75
"hardwar",75
"xbox",74
"parti",73
"creat",72
"linkedin",71
"infrastructur",69
"result",69
"growth",67
"commerci",66
"sale",65
"across",64
"adverti",64
"consum",64
"abil",62
"access",62
"chang",62
"opportun",61
"invest",60
"item",60
"sourc",59
"support",59
"competitor",57
"organ",57
"third",57
"dynam",56
"expect",56
"onlin",56
"segment",56
"subscript",56
"innov",55
"model",55
"network",55
"grow",54
"margin",54
"resourc",54
"datac",53
"reput",53
"help",52
"impact",52
"larg",52
"tool",51
"financ",50
"peopl",50
"edg",49
"integr",49
"intellectu",49
"mani",49
"properti",49
"partner",48
"requir",48
"consol",47
"depend",47
"adver",46
"learn",46
"live",46
"oem",46
"valu",46
"benefit",45
"deploy",45
"harm",45
"iot",45
"lead",45
"reduc",45
"communic",44
"employ",44
"engag",44
"premi",44
"profess",43
"rang",43
"work",43
"build",42
"risk",42
"global",40
"liabil",40
"manufactur",40
"posit",40
"sell",40
"talent",40
"varieti",40
"world",40
"addit",39
"ecosystem",39
"law",39
"deliv",38
"digit",38
"evolv",38
"patent",38
"strategi",38
"surfac",38
"fail",37
"number",37
"power",37
"price",37
"achiev",36
"action",36
"face",36
"ibm",36
"scale",36
"time",36
"acquisit",35
"connect",35
"govern",35
"regulatori",35
"vendor",35
"claim",34
"demand",34
"drive",34
"open",34
"process",34
"transform",34
"code",33
"exist",33
"generat",33
"legal",33
"main",33
"oracl",33
"limit",32
"maintain",32
"success",32
"asset",31
"consist",31
"distribut",31
"effect",31
"factor",31
"futur",31
"relat",31
"threat",31
"account",30
"impair",30
"research",30
"empow",29
"intang",29
"volum",29
"avail",28
"certain",28
"environ",28
"focus",28
"member",28
"mobil",28
"purcha",28
"vulner",28
"accel",27
"compri",27
"improv",27
"perform",27
"small",27
"tablet",27
"togeth",27
"wide",27
"bring",26
"effort",26
"end",26
"enhanc",26
"need",26
"qualiti",26
"activ",25
"adopt",25
"collabor",25
"function",25
"high",25
"negat",25
"premium",25
"share",25
"skype",25
"advanc",24
"attract",24
"commit",24
"disclosur",24
"firm",24
"goodwil",24
"practic",24
"reliabl",24
"shift",24
"entertain",23
"host",23
"intern",23
"internet",23
"marketplac",23
"search",23
"becom",22
"believ",22
"challeng",22
"form",22
"industri",22
"instal",22
"program",22
"public",22
"sever",22
"social",22
"attack",21
"delay",21
"describ",21
"individu",21
"lower",21
"rapid",21
"relea",21
"subject",21
"substanti",21
"web",21
"area",20
"arrang",20
"broad",20
"cal",20
"capabl",20
"categori",20
"complex",20
"contain",20
"control",20
"ident",20
"linux",20
"mix",20
"pcs",20
"potenti",20
"set",20
"storag",20
"util",20
"various",20
"version",20
"com",19
"complianc",19
"effici",19
"ensur",19
"first",19
"googl",19
"hybrid",19
"measur",19
"monet",19
"uniqu",19
"vertic",19
"address",18
"establish",18
"everi",18
"prevent",18
"report",18
"sql",18
"store",18
"team",18
"technic",18
"term",18
"video",18
"year",18
"bing",17
"caus",17
"complet",17
"core",17
"current",17
"disrupt",17
"expand",17
"featur",17
"interact",17
"issu",17
"loss",17
"object",17
"portion",17
"recruit",17
"size",17
"span",17
"unauthor",17
"amortiz",16
"appl",16
"compat",16
"consult",16
"countri",16
"damag",16
"databa",16
"element",16
"group",16
"organiz",16
"perceiv",16
"phone",16
"realiz",16
"royalti",16
"statement",16
"strateg",16
"suppli",16
"transact",16
"unlock",16
"advantag",15
"compon",15
"equip",15
"local",15
"long",15
"modern",15
"play",15
"acquir",14
"ambit",14
"author",14
"comprehen",14
"crm",14
"earn",14
"execut",14
"flexibl",14
"github",14
"hire",14
"import",14
"interfac",14
"machin",14
"medium",14
"meet",14
"plan",14
"primarili",14
"succeed",14
"updat",14
"view",14
"voic",14
"act",13
"agreement",13
"allow",13
"amount",13
"approach",13
"array",13
"compel",13
"concern",13
"coordin",13
"deci",13
"difficult",13
"exposur",13
"human",13
"longer",13
"method",13
"misus",13
"must",13
"onedriv",13
"period",13
"reach",13
"record",13
"sap",13
"state",13
"test",13
"vision",13
"abl",12
"accessori",12
"billion",12
"charg",12
"choic",12
"circumst",12
"combin",12
"commiss",12
"consolid",12
"copi",12
"corrupt",12
"critic",12
"diver",12
"elimin",12
"erp",12
"full",12
"gain",12
"geograph",12
"insight",12
"largest",12
"middlewar",12
"move",12
"outlook",12
"per",12
"portfolio",12
"provi",12
"relationship",12
"respon",12
"return",12
"singl",12
"sponsor",12
"suit",12
"sustain",12
"trade",12
"traffic",12
"unifi",12
"virtual",12
"whose",12
"adequ",11
"anti",11
"associ",11
"built",11
"carri",11
"center",11
"collect",11
"communiti",11
"compromi",11
"constraint",11
"defend",11
"detect",11
"determin",11
"driven",11
"educ",11
"expen",11
"health",11
"incur",11
"latest",11
"line",11
"natur",11
"numer",11
"order",11
"origin",11
"rule",11
"supplier",11
"teamwork",11
"workplac",11
"analyt",10
"appeal",10
"best",10
"confidenti",10
"decrea",10
"difficulti",10
"econom",10
"engin",10
"enter",10
"fuel",10
"gamer",10
"ink",10
"multi",10
"non",10
"pre",10
"present",10
"privaci",10
"produc",10
"profit",10
"realiti",10
"receiv",10
"regul",10
"relev",10
"smartphon",10
"sold",10
"sometim",10
"train",10
"understand",10
"undertak",10
"among",9
"buy",9
"cohe",9
"condit",9
"creativ",9
"devot",9
"diminish",9
"emerg",9
"era",9
"event",9
"free",9
"give",9
"handl",9
"inadequ",9
"incom",9
