"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","servic","softwar","custom","product","enterpri"
"2","product","solut","public","broadband","mhz"
"3","base","video","system","mobil","patent"
"4","sale","agenc","includ","deploy","spectrum"
"5","standard","first","safeti","develop","competit"
"6","provid","integrat","govern","spectrum","manufactur"
"7","support","net","segment","oper","may"
"8","global","inc","network","applic","use"
"9","commerci","busi","sale","portfolio","busi"
"10","net","commerci","communic","integr","comput"
"11","technolog","oper","devic","partner","licen"
"12","innov","command","offer","posit","technolog"
"13","repr","repr","manag","opportun","addit"
"14","digit","across","motorola","result","band"
"15","enhanc","acquisit","radio","includ","design"
"16","invest","radio","applic","alloc","approxim"
"17","mobil","accessori","continu","avail","continu"
"18","safeti","drive","term","certain","firstnet"
"19","believ","help","addit","law","decemb"
"20","featur","span","industri","solut","intern"
"21","iii","tetra","infrastructur","growth","regulatori"
"22","long","analyt","contract","provid","resel"
"23","follow","dealer","data","wireless","competitor"
"24","consolid","hardwar","serv","market","creat"
"25","focus","workflow","critic","meet","current"
"26","core","expan","requir","area","nationwid"
"27","iden","mani","market","captur","wlan"
"28","generat","secur","need","local","backlog"
"29","strategi","state","organ","strong","ear"
"30","use","suit","respond","telecommun","fcc"
"31","experi","center","improv","financ","imag"
"32","lead","monitor","vertic","compani","larg"
"33","voic","procur","world","help","product"
"34","feder","branch","countri","portion","rang"
"35","geograph","end","independ","data","televi"
"36","america","execut","implement","equip","ten"
"37","region","januari","oper","exten","voic"
"38","forc","million","state","factor","agenc"
"39","dmr","repair","workforc","deliv","hospit"
"40","smart","risk","center","digit","key"
"41","apco","standardsindustri","effici","vendor","order"
"42","effect","technic","chang","exist","plan"
"43","princip","today","partner","program","relationship"
"44","deliv","comprehen","channel","rfid","success"
"45","east","tend","distributor","technolog","believ"
"46","billion","compani","portfolio","time","deliveri"
"47","illinoi","life","privat","complement","establish"
"48","leadership","multi","relat","number","regul"
"49","program","natur","mainten","signif","segment"
"50","upgrad","servic","mission","use","various"
"51","incorpor","account","revenu","focus","wide"
"52","maintain","allow","util","industri","wrc"
"53","multipl","built","complet","leadership","entiti"
"54","system","camera","extend","loss","narrowband"
"55","asia","corpor","largest","perform","north"
"56","complex","deci","model","reach","part"
"57","municip","dedic","vendor","channel","qualiti"
"58","primari","inorgan","address","commun","retail"
"59","agenc","level","instal","compri","specif"
"60","begin","lmr","materi","employ","warranti"
"61","build","price","direct","feder","worker"
"62","cancel","princip","lte","general","alreadi"
"63","locat","report","enabl","price","breadth"
"64","opportun","unit","line","sever","commerci"
"65","process","year","offic","within","converg"
"66","set","africa","subject","worldwid","day"
"67","adver","call","year","associ","futur"
"68","evolut","communic","expand","author","increa"
"69","futur","fragment","increa","benefit","long"
"70","growth","increment","quarter","billion","manag"
"71","respect","innov","secur","canada","nation"
"72","transport","law","consid","distribut","primarili"
"73","trunk","middl","etsi","effici","standard"
"74","access","premi","rang","govern","tablet"
"75","assist","saa","advanc","histori","wareh"
"76","discuss","talk","analog","invest","asset"
"77","expand","arm","hous","lte","capabl"
"78","full","belief","migrat","ongo","enabl"
"79","pcr","chicago","purcha","pursu","energi"
"80","platform","continuum","vehicl","reliabl","environ"
"81","profess","control","widespread","substanc","firm"
"82","refer","facil","counti","valu","grow"
"83","reflect","follow","earn","activ","harri"
"84","successor","home","expect","best","high"
"85","terrestri","inform","mount","depend","informat"
"86","uniqu","institut","specif","educ","laser"
"87","account","kingdom","conveni","effect","research"
"88","adjac","latin","delawar","engag","seek"
"89","bodi","market","effect","howev","superior"
"90","depart","monro","exist","infrastructur","administr"
"91","foundat","often","name","interop","affect"
"92","introduct","point","portabl","invoic","broadcast"
"93","latin","present","consist","logist","commit"
"94","maker","project","demand","offici","competitionth"
"95","thought","refresh","feder","optim","date"
"96","user","repeat","field","pursuant","depend"
"97","becom","safetygovern","leverag","rug","dividend"
"98","cost","sinc","may","shift","dure"
"99","deep","solv","primarili","sold","educ"
"100","definitionth","territori","sell","special","effici"
