"","V1"
"0000883241-14-000008_Business.txt",1
"0000883241-14-000008_Risk.txt",3
"0000883241-15-000014_Business.txt",2
"0000883241-15-000014_Risk.txt",3
"0000883241-16-000027_Business.txt",2
"0000883241-16-000027_Risk.txt",3
"0000883241-17-000014_Business.txt",2
"0000883241-17-000014_Risk.txt",3
"0000883241-18-000012_Business.txt",2
"0000883241-18-000012_Risk.txt",5
"0000883241-19-000019_Business.txt",2
"0000883241-19-000019_Risk.txt",3
"0000883241-20-000015_Business.txt",2
"0000883241-20-000015_Risk.txt",3
