"","x"
"connect",5
"fiscal",5
"covid",4
"result",4
"septemb",4
"week",4
"compani",3
"oper",3
"swiss",3
"affect",2
"busi",2
"condit",2
"end",2
"financ",2
"futur",2
"impact",2
"industri",2
"law",2
"may",2
"near",2
"organiz",2
"pandem",2
"period",2
"technolog",2
"world",2
"year",2
"advanc",1
"applic",1
"area",1
"articl",1
"associ",1
"becam",1
"broad",1
"businessgeneralt",1
"china",1
"communic",1
"continu",1
"coronavirus",1
"creat",1
"data",1
"date",1
"decemb",1
"declar",1
"enabl",1
"energi",1
"environ",1
"expect",1
"first",1
"foundat",1
"fourth",1
"friday",1
"global",1
"govern",1
"harshest",1
"health",1
"holder",1
"home",1
"howev",1
"identifi",1
"includ",1
"independ",1
"last",1
"leader",1
"length",1
"liquid",1
"ltd",1
"materi",1
"medic",1
"negat",1
"novel",1
"occurr",1
"organ",1
"pandemica",1
"part",1
"place",1
"predecessor",1
"product",1
"proven",1
"public",1
"quarter",1
"rang",1
"refer",1
"region",1
"regul",1
"report",1
"respect",1
"restrict",1
"safer",1
"sale",1
"see",1
"sensor",1
"share",1
"shutdown",1
"slowdown",1
"solut",1
"strain",1
"subsequ",1
"surfac",1
"sustain",1
"switzerland",1
"term",1
"trace",1
"trade",1
"transport",1
"travel",1
