"","x"
"servic",556
"client",503
"softwar",436
"manag",426
"product",405
"may",403
"govern",387
"system",338
"revenu",309
"provid",308
"market",306
"solut",294
"includ",274
"inform",273
"local",260
"public",249
"oper",239
"busi",238
"result",225
"contract",221
"time",194
"data",187
"court",180
"financ",177
"requir",172
"increa",169
"process",162
"futur",161
"properti",160
"develop",158
"offer",155
"addit",152
"technolog",151
"base",148
"state",138
"support",137
"access",133
"sale",132
"integr",131
"licen",126
"signif",126
"tax",126
"mainten",125
"document",123
"secur",121
"adver",120
"affect",120
"counti",111
"offic",111
"risk",107
"general",105
"file",104
"continu",103
"sector",103
"record",102
"report",102
"stock",102
"term",100
"function",99
"fee",95
"relat",94
"perform",93
"law",92
"price",92
"apprai",91
"success",90
"agenc",89
"materi",88
"case",87
"intern",86
"acquisit",85
"implement",85
"applic",84
"exist",83
"allow",81
"electron",81
"transact",80
"tyler",80
"maintain",79
"enhanc",78
"mani",78
"arrang",74
"effect",74
"need",74
"util",74
"accept",73
"chang",72
"expand",72
"expect",71
"growth",71
"assur",68
"believ",68
"subscript",68
"cost",67
"bill",65
"compani",64
"current",64
"factor",64
"strateg",64
"internet",63
"year",63
"competitor",62
"fulli",62
"improv",62
"generat",61
"personnel",60
"achiev",59
"establish",59
"plan",59
"litig",58
"safeti",58
"depend",57
"enforc",57
"harm",57
"resourc",57
"autom",56
"citi",56
"condit",56
"abil",55
"parti",55
"track",55
"account",54
"annual",54
"control",54
"employ",54
"typic",54
"involv",52
"school",52
"fix",51
"grow",51
"competit",50
"entiti",50
"impact",50
"major",50
"upon",50
"third",49
"train",49
"administr",48
"assess",48
"basi",48
"bid",48
"billion",48
"design",48
"enabl",48
"high",48
"retain",48
"intellectu",47
"special",47
"project",46
"respon",46
"sell",46
"corpor",45
"expen",45
"liabil",45
"number",45
"primarili",45
"focus",44
"larg",44
"margin",44
"municip",44
"standard",44
"custom",43
"host",43
"part",43
"payment",43
"prospect",43
"share",43
"although",42
"center",42
"collect",42
"failur",42
"potenti",42
"statement",42
"unit",42
"microsoft",41
"relea",41
"due",40
"effici",39
"industri",39
"invest",39
"period",39
"saa",39
"use",39
"area",38
"enter",38
"relationship",38
"acquir",37
