"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","payment","payment","may","busi","payment"
"2","visa","visa","visa","regul","may"
"3","card","financ","financ","certain","increa"
"4","busi","transact","increa","network","client"
"5","consum","institut","regul","product","transact"
"6","servic","debit","card","requir","merchant"
"7","client","issuer","includ","interchang","product"
"8","program","data","litig","fee","data"
"9","merchant","includ","payment","govern","financ"
"10","network","servic","materi","countri","technolog"
"11","secur","settlement","rate","system","brand"
"12","platform","client","adver","rule","develop"
"13","solut","product","result","process","regulatori"
"14","manag","revenu","client","oper","harm"
"15","year","merchant","brand","servic","provid"
"16","transact","process","settlement","offer","cost"
"17","access","brand","addit","market","servic"
"18","valu","account","futur","reimbur","china"
"19","enabl","inform","agreement","use","compet"
"20","digit","state","act","consum","domest"
"21","global","electron","debit","revenu","institut"
"22","accept","network","issuer","number","competitor"
"23","provid","mobil","action","competit","acquir"
"24","use","report","merchant","protect","bank"
"25","process","secur","continu","global","process"
"26","help","card","law","industri","abil"
"27","technolog","provid","regulatori","jurisdict","effect"
"28","fraud","holder","affect","intern","tax"
"29","govern","unit","condit","risk","parti"
"30","partner","oper","retrospect","law","relationship"
"31","credit","enabl","subject","rout","exampl"
"32","continu","author","europ","result","altern"
"33","connect","develop","transact","impact","adopt"
"34","offer","feder","consolid","signif","includ"
"35","acquir","consist","frank","reduc","compani"
"36","addit","general","judgment","transact","impact"
"37","includ","rate","item","domest","differ"
"38","account","act","over","credit","litig"
"39","growth","issu","plan","addit","success"
"40","pay","prepaid","cover","payment","affect"
"41","capabl","primarili","incent","relat","chang"
"42","cardhold","receiv","dodd","author","processor"
"43","ecosystem","implement","tax","accept","support"
"44","market","inc","respon","complianc","investig"
"45","product","compani","cost","exist","licen"
"46","avail","ecommerc","see","potenti","particip"
"47","base","particip","case","practic","expand"
"48","enhanc","visanet","state","tabl","action"
"49","risk","manag","note","region","depend"
"50","world","reserv","charg","restrict","effort"
"51","border","set","unit","evolv","local"
"52","bank","support","report","volum","third"
"53","design","access","damag","factor","time"
"54","need","acquir","issu","mani","mandat"
"55","time","court","pressur","maintain","cap"
"56","cybersourc","see","revenu","privaci","practic"
"57","invest","typic","exampl","base","border"
"58","small","balanc","prospect","respect","close"
"59","support","earn","growth","cash","custom"
"60","work","relat","liabil","central","expen"
"61","atm","among","claim","program","larg"
"62","innov","corpor","statement","enforc","receiv"
"63","promot","dodd","effect","similar","card"
"64","center","final","feder","subject","competit"
"65","core","item","transfer","area","emerg"
"66","experi","volum","oblig","face","initi"
"67","non","consid","class","includ","within"
"68","devic","credit","account","type","addit"
"69","ensur","europ","legal","discount","digit"
"70","face","follow","oversight","failur","abl"
"71","fintech","purcha","chang","limit","continu"
"72","fiscal","amount","limit","pay","contractu"
"73","fund","charg","decrea","price","disintermedi"
"74","rang","exchang","becom","associ","end"
"75","territori","figur","oper","nation","standard"
"76","clear","form","order","russia","cross"
"77","cross","mastercard","bank","involv","impo"
"78","custom","system","higher","point","negat"
"79","deliv","continu","proceed","believ","perform"
"80","facilit","dollar","substanti","lead","incent"
"81","part","frank","volum","secur","liabil"
"82","prepaid","fraud","indemnifi","currenc","prevent"
"83","tabl","internet","lawsuit","loss","valu"
"84","acquisit","onlin","monetari","direct","emv"
"85","across","order","various","issu","influenc"
"86","direct","sec","court","posit","mobil"
"87","grow","transfer","matter","provid","unionpay"
"88","onlin","various","multidistrict","respon","allow"
"89","allow","fiscal","plaintiff","term","channel"
"90","brand","good","alleg","activ","complex"
"91","check","solut","ari","due","ecommerc"
"92","combin","specif","compli","note","enabl"
"93","integr","statement","less","polici","furthermor"
"94","sale","conveni","reput","wide","reput"
"95","token","file","acquir","exclus","basi"
"96","activ","innov","howev","prefer","form"
"97","billion","present","inten","world","oper"
"98","flow","refer","legisl","import","part"
"99","focus","reimbur","mdl","issuer","shift"
"100","infrastructur","varieti","pend","aspect","bcci"
