"","x"
"payment",1006
"visa",617
"may",544
"financ",447
"transact",436
"product",414
"busi",406
"regul",396
"servic",361
"client",355
"includ",342
"process",330
"merchant",327
"network",317
"card",301
"increa",276
"brand",261
"revenu",240
"issuer",222
"institut",220
"oper",216
"certain",215
"debit",214
"provid",213
"addit",210
"govern",208
"data",205
"interchang",201
"requir",197
"consum",191
"fee",191
"system",184
"result",179
"settlement",174
"offer",171
"countri",170
"litig",163
"law",162
"rule",160
"global",158
"secur",155
"use",155
"regulatori",152
"continu",147
"impact",145
"technolog",145
"domest",143
"market",142
"account",140
"acquir",138
"rate",138
"credit",134
"cost",132
"develop",131
"competit",130
"reimbur",128
"risk",125
"protect",124
"accept",120
"author",116
"state",114
"program",112
"bank",111
"action",109
"number",109
"tax",109
"act",108
"issu",107
"volum",107
"enabl",106
"affect",105
"subject",104
"report",102
"rout",102
"industri",101
"jurisdict",100
"materi",100
"exampl",98
"adver",97
"relat",95
"signif",93
"effect",92
"manag",91
"unit",91
"support",90
"tabl",90
"reduc",89
"competitor",88
"intern",88
"practic",88
"limit",86
"mobil",86
"access",85
"compet",85
"item",85
"harm",84
"respon",84
"abil",83
"europ",83
"incent",83
"compani",82
"futur",82
"inform",82
"agreement",81
"cash",81
"base",77
"note",77
"dodd",75
"frank",75
"growth",75
"statement",75
"holder",74
"feder",73
"particip",73
"plan",73
"mani",71
"solut",71
"see",70
"valu",70
"pay",69
"chang",68
"china",68
"digit",68
"charg",67
"relationship",67
"electron",66
"evolv",66
"exist",66
"matter",65
"case",64
"condit",64
"differ",64
"parti",64
"retrospect",63
"complianc",62
"direct",62
"potenti",62
"face",60
"restrict",60
"consolid",59
"legal",59
"region",59
"judgment",58
"receiv",58
"decrea",57
"fraud",57
"liabil",57
"activ",56
"among",56
"over",56
"platform",56
"world",56
"damag",55
"expand",55
"processor",55
"cover",54
"partner",54
"factor",53
"general",53
"set",53
"transfer",53
"year",53
"initi",52
"time",52
"allow",51
"altern",51
"connect",51
"custom",51
"ecommerc",51
"innov",51
"maintain",51
"respect",51
"border",50
"design",50
"privaci",50
"adopt",49
"nation",49
"point",49
"pressur",49
"substanti",49
"type",49
"central",48
"prepaid",48
"reserv",48
"court",47
"failur",47
"larg",47
"order",47
"area",46
"cap",46
"cross",46
"effort",46
"less",46
"term",46
"third",46
"visanet",46
"event",45
"impo",45
"local",45
"similar",45
"becom",44
"enforc",44
"final",44
"various",43
"capabl",42
"form",42
"fund",42
"help",42
"lead",42
"price",42
"creat",41
"discount",41
"involv",41
"loss",41
"prefer",41
"remain",41
"reput",41
"standard",41
"associ",40
"currenc",40
"enhanc",40
"investig",40
"russia",40
"claim",39
"implement",39
"mandat",39
"obtain",39
"success",39
"wide",39
"applic",38
"due",38
"money",38
"posit",38
"prevent",38
"prospect",38
"avail",37
"believ",37
"clear",37
"emerg",37
"file",37
"inc",37
"licen",37
"negat",37
"oblig",37
"review",37
"control",36
"extend",36
"onlin",36
"person",36
"sanction",36
"abl",35
"approach",35
"check",35
"european",35
"examin",35
"fiscal",35
"flow",35
"worldwid",35
"center",34
"consist",34
"econom",34
"legisl",34
"part",34
"polici",34
"strategi",34
"within",34
"class",33
"corpor",33
"depend",33
"resourc",33
"token",33
"work",33
"consid",32
"disput",32
"elsewh",32
"exclus",32
"expen",32
"profit",32
"purcha",32
"refer",32
"sale",32
"accord",31
"close",31
"default",31
"ecosystem",31
"experi",31
"focus",31
"non",31
"oversight",31
"although",30
"channel",30
"import",30
"interest",30
"need",30
"primarili",30
"proceed",30
"segment",30
"address",29
"amount",29
"aspect",29
"enter",29
"influenc",29
"internat",29
"invest",29
"lawsuit",29
"loop",29
"opportun",29
"appeal",28
"facilit",28
"billion",27
"cardhold",27
"caus",27
"current",27
"entiti",27
"higher",27
"howev",27
"indemnifi",27
"monetari",27
"multidistrict",27
"promot",27
"recent",27
"unionpay",27
"anti",26
"approv",26
"cybersourc",26
"establish",26
"grow",26
"histor",26
"infrastructur",26
"mark",26
"modifi",26
"supplementari",26
"attract",25
"india",25
"intellectu",25
"model",25
"option",25
"outsid",25
"plaintiff",25
"seek",25
"territori",25
"alleg",24
"anoth",24
"ari",24
"circumst",24
"complex",24
"ensur",24
"greater",24
"internet",24
"plus",24
"present",24
"prohibit",24
"reason",24
"typic",24
"benefit",23
"commerci",23
"compli",23
"contractu",23
"emv",23
"exchang",23
"function",23
"generat",23
"inten",23
"level",23
"otherwi",23
"portion",23
"properti",23
"real",23
"sole",23
"across",22
"adequ",22
"adjust",22
"australia",22
"balanc",22
"core",22
"disintermedi",22
"earn",22
"end",22
"estim",22
"mdl",22
"pend",22
"place",22
"provi",22
"rang",22
"sever",22
"agr",21
"antitrust",21
"arrang",21
"capit",21
"engag",21
"favor",21
"issuanc",21
"paid",21
"perform",21
"rapid",21
"reduct",21
"role",21
"shift",21
"small",21
"atm",20
"commit",20
"contract",20
"deposit",20
"express",20
"follow",20
"guarant",20
"individu",20
"open",20
"american",19
"basi",19
"challeng",19
"civil",19
"credenti",19
"describ",19
"devic",19
"dollar",19
"figur",19
"fintech",19
"found",19
"largest",19
"mastercard",19
"member",19
"organ",19
"procedur",19
"public",19
"specif",19
"surcharg",19
"accel",18
"appli",18
"canada",18
"commerc",18
"deliv",18
"discov",18
"fail",18
"furthermor",18
"good",18
"instanc",18
"insul",18
"march",18
"method",18
"octob",18
"particular",18
"sec",18
"travel",18
"win",18
"acquisit",17
"breach",17
"calcul",17
"conveni",17
"employ",17
"lower",17
"new",17
"regard",17
"russian",17
"termin",17
"util",17
"vari",17
"varieti",17
"advantag",16
"bcci",16
"better",16
"cent",16
"concentr",16
"consequ",16
"enact",16
"framework",16
"identifi",16
"incom",16
"integr",16
"launder",16
"multipl",16
"net",16
"partnership",16
"pin",16
"regardless",16
"reli",16
"reliabl",16
"repr",16
"retail",16
"scope",16
"space",16
"steer",16
"therebi",16
"amend",15
"asset",15
"combin",15
"concern",15
"contain",15
"covid",15
"day",15
"determin",15
"effici",15
"faster",15
"find",15
"fine",15
"kingdom",15
"locat",15
"maximum",15
"outcom",15
"propo",15
"quick",15
"revi",15
"spend",15
"therefor",15
"tradit",15
"union",15
"view",15
"violat",15
"virtual",15
"ani",14
"choic",14
"collat",14
"defend",14
"disclosur",14
"district",14
"drive",14
"fast",14
"handl",14
"insolv",14
"long",14
"meet",14
"must",14
"occur",14
"reach",14
"resid",14
"step",14
"trade",14
"uncertain",14
"adapt",13
"advanc",13
"alipay",13
"analyt",13
"call",13
"complet",13
"jcb",13
"measur",13
"period",13
"princip",13
"purpo",13
"rebat",13
"scrutini",13
"tool",13
"trademark",13
"alloc",12
"brazil",12
"brought",12
"burden",12
"collect",12
"commiss",12
"conver",12
"detail",12
"discuss",12
"disrupt",12
"dual",12
"exerci",12
"extent",12
"fundament",12
"imp",12
"inclus",12
"interlink",12
"interpret",12
"liabl",12
"loyalti",12
"marketplac",12
"mechan",12
"migrat",12
"pboc",12
"penalti",12
"pertain",12
"privat",12
"risksw",12
"sponsorship",12
"sustain",12
"ach",11
"assert",11
"authent",11
"build",11
"bureau",11
"certif",11
"chip",11
"contactless",11
"demand",11
"elect",11
"expo",11
"forc",11
"front",11
"gateway",11
"gdpr",11
"geographi",11
"group",11
"ifr",11
"incur",11
"indemnif",11
"intellig",11
"introduc",11
"label",11
"offset",11
"ongo",11
"payabl",11
"permit",11
"possibl",11
"primari",11
"push",11
"score",11
"share",11
"softwar",11
"store",11
"succeed",11
"suffici",11
"terrorist",11
"via",11
"websit",11
"without",11
"affili",10
"begin",10
"broader",10
"checkout",10
"consult",10
"content",10
"council",10
"deci",10
"differenti",10
"difficult",10
"dps",10
"ear",10
"elimin",10
"escrow",10
"expect",10
"exposur",10
"implic",10
"improv",10
"investor",10
"landscap",10
"liquid",10
"made",10
"mean",10
"million",10
"optim",10
"outbreak",10
"patent",10
"pursuant",10
"qualiti",10
"relev",10
"settl",10
"shield",10
"strong",10
"subsidiari",10
"target",10
"uncertainti",10
"wallet",10
"add",9
"approxim",9
"associat",9
"autom",9
"bodi",9
"bring",9
"cfpb",9
"common",9
"compliant",9
"conflict",9
"cooper",9
"criteria",9
"declin",9
"disbur",9
"dure",9
"emvco",9
"entir",9
"fulli",9
"high",9
"hous",9
"indemn",9
"independ",9
"invalid",9
"ipo",9
"key",9
"later",9
"launch",9
"leav",9
"major",9
"modif",9
"ofac",9
"opt",9
"organiz",9
"paywav",9
"power",9
"pre",9
"proprietari",9
"scheme",9
"separ",9
"sheet",9
"singl",9
"situat",9
"stay",9
"strengthen",9
"structur",9
"subsequ",9
"taken",9
"treatment",9
"tri",9
"accuraci",8
"administ",8
"adverti",8
"america",8
"barrier",8
"chine",8
"compri",8
"conduct",8
"deem",8
"defer",8
"deliveri",8
"desir",8
"difficulti",8
"disagr",8
"enjoy",8
"environ",8
"execut",8
"flexibl",8
"foreign",8
"gener",8
"http",8
"incorpor",8
"instal",8
"might",8
"minim",8
"mir",8
"mitig",8
"monitor",8
"multi",8
"near",8
"nfc",8
"notic",8
"now",8
"numer",8
"omnibus",8
"paper",8
"pass",8
"phase",8
"physic",8
"playspan",8
"quarter",8
"reform",8
"replic",8
"sector",8
"social",8
"synchron",8
"tap",8
"total",8
"trebl",8
"ultim",8
"usag",8
"yet",8
"africa",7
"alreadi",7
"announc",7
"asia",7
"assess",7
"august",7
"becaus",7
"behalf",7
"bill",7
"broad",7
"chargeback",7
"click",7
"club",7
"crimin",7
"cyber",7
"deriv",7
"diner",7
"done",7
"draw",7
"either",7
"except",7
"februari",7
"health",7
"ident",7
"iii",7
"inconsist",7
"informat",7
"interop",7
"judici",7
"lieu",7
"lobbi",7
"matur",7
"moreov",7
"movement",7
"offic",7
"often",7
"panel",7
"portfolio",7
"pose",7
"project",7
"proposit",7
"pursu",7
"redund",7
"refus",7
"relief",7
"retain",7
"rever",7
"safeguard",7
"section",7
"seller",7
"septemb",7
"sinc",7
"smartphon",7
"sourc",7
"southeast",7
"speed",7
"suit",7
"supplier",7
"tailor",7
"though",7
"unabl",7
"unaffili",7
"wechat",7
"wider",7
"york",7
"agent",6
"architectur",6
"argentina",6
"array",6
"chain",6
"choo",6
"cirrus",6
"cloud",6
"compar",6
"complaint",6
"contempl",6
"contentsw",6
"copyright",6
"critic",6
"cybersecur",6
"depart",6
"disadvantag",6
"dynam",6
"eastern",6
"engin",6
"enterpri",6
"even",6
"exclud",6
"expan",6
"fraudul",6
"fundamo",6
"game",6
"geograph",6
"guidelin",6
"hinder",6
"impair",6
"indic",6
"januari",6
"joint",6
"juli",6
"known",6
"latin",6
"least",6
"light",6
"link",6
"maestro",6
"netlink",6
"notif",6
"nspk",6
"operat",6
"origin",6
"outstand",6
"peopl",6
"permiss",6
"previous",6
"prove",6
"proxi",6
"reassess",6
"recognit",6
"remot",6
"replac",6
"scale",6
"select",6
"shore",6
"signatur",6
"size",6
"street",6
"submit",6
"suffer",6
"telecommun",6
"terror",6
"trillion",6
"uniqu",6
"upon",6
"ventur",6
"voluntarili",6
"absorb",5
"achiev",5
"actual",5
"adjud",5
"assum",5
"assur",5
"attempt",5
"averag",5
"award",5
"bolster",5
"breadth",5
"built",5
"carri",5
"categori",5
"chart",5
"chosen",5
"com",5
"communiti",5
"comprehen",5
"constitut",5
"contentsour",5
"context",5
"corrupt",5
"date",5
"deal",5
"despit",5
"devot",5
"diminish",5
"easier",5
"east",5
"economi",5
"elev",5
"entitl",5
"fewer",5
"formal",5
"give",5
"grown",5
"hardwar",5
"held",5
"illeg",5
"inabl",5
"inher",5
"insight",5
"instead",5
"intend",5
"leverag",5
"membership",5
"middl",5
"narcot",5
"natur",5
"nilson",5
"olymp",5
"pandem",5
"patriot",5
"per",5
"play",5
"player",5
"post",5
"predict",5
"preval",5
"principl",5
"prompt",5
"react",5
"reflect",5
"remov",5
"renegoti",5
"request",5
"room",5
"secreci",5
"sign",5
"singapor",5
"south",5
"spread",5
"storag",5
"strateg",5
"ten",5
"traffick",5
"unbank",5
"verif",5
"web",5
"agenc",4
"ahead",4
"analyz",4
"api",4
"ask",4
"badg",4
"bear",4
"becam",4
"belong",4
"beyond",4
"bilat",4
"block",4
"certifi",4
"circuit",4
"comparison",4
"confus",4
"congress",4
"contribut",4
"contributor",4
"coordin",4
"daili",4
"decid",4
"defen",4
"definit",4
"degr",4
"deploy",4
"detect",4
"divert",4
"electronif",4
"element",4
"empow",4
"entail",4
"eventu",4
"exempt",4
"exten",4
"fact",4
"fifa",4
"footprint",4
"fores",4
"four",4
"furnish",4
"globe",4
"grant",4
"gulf",4
"hurt",4
"impermiss",4
"incid",4
"keep",4
"lack",4
"larger",4
"last",4
"leader",4
"ledger",4
"lend",4
"line",4
"longstand",4
"mainten",4
"malaysia",4
"manner",4
"merg",4
"met",4
"micro",4
"mission",4
"moder",4
"noncompli",4
"notifi",4
"notwithstand",4
"novemb",4
"offlin",4
"pace",4
"past",4
"payrol",4
"perman",4
"phone",4
"popular",4
"preferenti",4
"prioriti",4
"probabl",4
"prolif",4
"protocol",4
"psd",4
"rai",4
"recogn",4
"reconcil",4
"record",4
"redirect",4
"regular",4
"remedi",4
"resolv",4
"respond",4
"reward",4
"safeti",4
"schedul",4
"send",4
"short",4
"sound",4
"specifi",4
"stock",4
"suprem",4
"tier",4
"track",4
"transmit",4
"trigger",4
"twenti",4
"undergo",4
"undermin",4
"understand",4
"undesir",4
"uphold",4
"virtu",4
"virus",4
"wire",4
"www",4
"adher",3
"advoc",3
"african",3
"alcohol",3
"analysi",3
"annual",3
"areasfor",3
"arisen",3
"ascertain",3
"away",3
"best",3
"brazilian",3
"broaden",3
"businessgen",3
"bylaw",3
"calendar",3
"california",3
"campaign",3
"canadian",3
"capitalpay",3
"chile",3
"cigarett",3
"complement",3
"complic",3
"confidenti",3
"confirm",3
"contentsinterchang",3
"contentsmerch",3
"copi",3
"counterfeit",3
"creation",3
"delawar",3
"demonstr",3
"deni",3
"desktop",3
"diagram",3
"dove",3
"draft",3
"driven",3
"drug",3
"easili",3
"eftpo",3
"elig",3
"employeesat",3
"entertain",3
"entrant",3
"equiv",3
"eros",3
"everi",3
"exceed",3
"experti",3
"explor",3
"facil",3
"featur",3
"fifti",3
"filter",3
"first",3
"foundat",3
"full",3
"gambl",3
