"","x"
"use",672
"bot",623
"actual",571
"realli",510
"now",474
"user",464
"model",460
"data",438
"conver",388
"talk",379
"work",377
"think",375
"learn",372
"time",314
"let",311
"question",308
"build",306
"start",306
"servic",303
"differ",295
"custom",294
"peopl",293
"someth",292
"need",265
"show",261
"abl",249
"don",238
"call",237
"exampl",224
"tri",216
"machin",211
"experi",205
"train",202
"understand",201
"good",193
"tool",191
"creat",182
"case",173
"design",173
"answer",172
"give",172
"help",170
"ask",168
"first",168
"develop",167
"compani",165
"languag",163
"chat",162
"today",158
"system",157
"mean",156
"bit",153
"set",153
"app",152
"littl",151
"thank",151
"inform",147
"platform",147
"point",143
"person",142
"everi",139
"year",138
"code",137
"sort",130
"imag",129
"messag",129
"respon",129
"text",128
"base",127
"product",127
"end",126
"microsoft",126
"action",124
"flow",124
"process",124
"built",123
"interact",123
"might",122
"name",122
"intent",120
"googl",117
"anoth",116
"intellig",116
"mayb",113
"part",113
"provid",113
"team",113
"mani",112
"project",111
"happen",110
"pretti",110
"basic",108
"import",108
"number",108
"manag",107
"type",106
"add",105
"book",101
"cloud",101
"find",101
"problem",101
"api",100
"done",99
"search",97
"probabl",93
"yeah",93
"scenario",92
"dialogu",91
"generat",91
"world",90
"cognit",88
"framework",87
"support",87
"tell",87
"busi",86
"idea",85
"web",85
"turn",84
"allow",83
"chang",83
"visual",83
"better",82
"cool",82
"demo",82
"top",82
"agent",81
"control",81
"entiti",80
"term",80
"interest",79
"last",79
"line",79
"quick",79
"word",79
"comput",78
"key",78
"simpl",78
"across",77
"azur",77
"bring",77
"card",77
"function",77
"exact",76
"click",75
"request",75
"second",75
"big",74
"deploy",74
"alreadi",73
"avail",73
"file",73
"write",73
"open",72
"place",72
"task",72
"yes",72
"assist",71
"integr",71
"human",70
"interfac",70
"speech",70
"technolog",70
"translat",70
"everyth",69
"anyth",68
"real",68
"best",67
"day",67
"step",67
"job",66
"natur",65
"result",65
"particular",64
"togeth",64
"ahead",63
"focus",63
"bunch",62
"doesn",62
"live",62
"order",61
"send",61
"applic",60
"keep",60
"maker",60
"predict",60
"direct",59
"improv",59
"may",59
"research",59
"score",59
"slide",59
"store",59
"artifici",58
"devic",58
"test",58
"content",57
"context",57
"coupl",57
"expect",57
"hey",57
"state",57
"valu",57
"whatev",57
"whole",57
"cour",56
"hand",56
"hard",56
"space",55
"channel",54
"connect",54
"hangout",54
"includ",54
"room",54
"saw",54
"okay",53
"singl",53
"specif",53
"play",52
"respond",52
"sen",52
"alway",51
"pick",51
"power",51
"easi",50
"sourc",50
"stuff",50
"video",50
"websit",50
"button",49
"list",49
"move",49
"piec",49
"command",48
"complet",48
"continu",48
"figur",48
"made",48
"match",48
"rememb",48
"review",48
"tabl",48
"didn",47
"document",47
"explain",47
"input",47
"intern",47
"multipl",47
"reason",47
"without",47
"never",46
"present",46
"scale",46
"someon",46
"access",45
"board",45
"common",45
"option",45
"imagin",44
"later",44
"love",44
"possibl",44
"share",44
"compon",43
"feel",43
"form",43
"handl",43
"individu",43
"quit",43
"voic",43
"within",43
"approach",42
"capabl",42
"emul",42
"featur",42
"label",42
"side",42
"third",42
"walk",42
"facebook",41
"holocaust",41
"level",41
"organ",41
"perform",41
"sampl",41
"thought",41
"vision",41
"workflow",41
"deci",40
"engin",40
"friend",40
"plan",40
"queri",40
"stori",40
"chatbot",39
"complex",39
"deep",39
"either",39
"guy",39
"lui",39
"mention",39
"network",39
"nice",39
"pull",39
"screen",39
"window",39
"becom",38
"collect",38
"date",38
"depend",38
"enough",38
"extract",38
"hope",38
