"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","car","car","vehicl","highway","drive"
"2","autonom","self","human","radio","control"
"3","road","work","obstacl","futur","sensor"
"4","driver","drive","realli","use","lane"
"5","traffic","peopl","ahead","project","system"
"6","current","anoth","safeti","actual","technolog"
"7","fulli","compani","close","autopilot","electron"
"8","gps","think","program","now","possibl"
"9","semi","video","time","probabl","accid"
"10","view","becom","bit","alreadi","driverless"
"11","first","cart","complet","basic","start"
"12","base","common","constraint","design","year"
"13","comput","instead","deci","featur","break"
"14","includ","laser","line","light","eye"
"15","map","let","maintain","live","full"
"16","vehicl","mean","violat","speed","happen"
"17","call","tesla","algorithm","test","increa"
"18","camera","differ","behavior","turn","isn"
"19","communic","distanc","case","advanc","new"
"20","degr","found","center","approach","passeng"
"21","ever","googl","comfort","beam","smart"
"22","howev","modern","control","buri","york"
"23","let","patreon","cost","care","anyway"
"24","long","research","decid","children","better"
"25","mani","state","doubl","decrea","blow"
"26","soon","steer","law","edit","brake"
"27","street","wheel","move","electr","constant"
"28","system","abl","navig","elon","cool"
"29","today","almost","occup","excit","didn"
"30","toyota","area","order","face","digit"
"31","although","code","programm","four","emb"
"32","attent","coil","scenario","hand","expen"
"33","backup","condit","somehow","late","find"
"34","carmak","creat","stanford","match","hour"
"35","check","curv","stop","mile","livestream"
"36","detail","develop","tell","museum","love"
"37","don","door","translat","number","may"
"38","exterior","everi","wonder","oper","meter"
"39","follow","fact","yellow","plan","model"
"40","freeway","ice","actual","prevent","noggin"
"41","game","idea","allow","real","sing"
"42","give","life","anoth","robot","softwar"
"43","imag","motorway","anyon","roy","spring"
"44","link","obvious","appreci","stuff","stream"
"45","monitor","purpo","autom","support","tower"
"46","need","rather","automobil","tech","updat"
"47","pay","robot","challeng","tell","wasn"
"48","propel","rout","charact","travel","along"
"49","question","technolog","citi","unit","assum"
"50","radar","time","clear","world","automobil"
"51","rever","vision","cloud","activ","away"
"52","rider","weather","commut","age","begin"
"53","turn","whatev","consid","agenc","beyond"
"54","upon","ador","crash","aim","bicyclist"
"55","abil","alway","daili","akun","bird"
"56","action","asphalt","descript","alex","blue"
"57","arguabl","august","die","alon","build"
"58","automak","automat","differ","alv","capac"
"59","autonomi","bad","distant","antenna","chandler"
"60","basic","benz","done","approv","chang"
"61","blind","better","driver","bid","chase"
"62","blocko","book","edu","birth","choo"
"63","broad","bottom","electromagnet","california","conceal"
"64","broader","broadway","encount","cancel","concentr"
"65","bunch","build","end","cannonb","contract"
"66","california","built","enter","circuit","convert"
"67","captur","certain","everyon","click","corner"
"68","case","cigar","famous","close","couldn"
"69","caus","cour","far","clutch","cream"
"70","class","curat","feet","comment","deem"
"71","comment","danger","field","compani","definit"
"72","detect","data","figur","concept","destin"
"73","determin","date","fill","crash","doesn"
"74","develop","def","final","darpa","done"
"75","dissimilar","definit","francisco","day","emerg"
"76","door","detector","gather","decemb","estim"
"77","duh","distract","harsh","defen","ethic"
"78","easili","eeab","hit","display","exhibit"
"79","error","elder","hot","disrupt","exist"
"80","essenti","engag","ignor","drastic","explain"
"81","everyon","entir","imag","drove","far"
"82","evil","express","implement","effici","fill"
"83","expect","fast","import","either","fix"
"84","explain","florenc","inevit","employ","flood"
"85","facet","florida","institut","end","former"
"86","fed","forget","intuit","enlarg","game"
"87","final","forward","keep","ethic","garag"
"88","fli","front","magnet","everyth","global"
"89","forward","give","maneuv","except","good"
"90","genr","histori","minim","fair","googl"
"91","haunt","houdina","moral","famili","grant"
"92","high","immedi","muck","fast","hazard"
"93","human","industri","need","favorit","human"
"94","inform","integr","numer","feed","import"
"95","innov","kart","occupi","film","improv"
"96","interpret","kit","ohio","flight","internet"
"97","interst","land","oncom","fruition","involv"
"98","issu","learn","peopl","given","itali"
"99","knight","leo","perfect","glimmer","journey"
"100","last","livestream","photo","gone","knight"
