"","x"
"car",81
"drive",36
"self",25
"autonom",19
"road",18
"control",17
"vehicl",16
"driver",11
"human",11
"sensor",11
"highway",10
"radio",9
"system",9
"technolog",9
"work",9
"futur",8
"time",8
"let",7
"obstacl",7
"peopl",7
"realli",7
"traffic",7
"anoth",6
"compani",6
"current",6
"fulli",6
"gps",6
"lane",6
"safeti",6
"semi",6
"think",6
"use",6
"view",6
"actual",5
"ahead",5
"close",5
"electron",5
"first",5
"possibl",5
"project",5
"start",5
"turn",5
"video",5
"accid",4
"autopilot",4
"base",4
"basic",4
"becom",4
"cart",4
"common",4
"comput",4
"differ",4
"driverless",4
"googl",4
"howev",4
"includ",4
"instead",4
"laser",4
"mani",4
"map",4
"mean",4
"new",4
"now",4
"passeng",4
"probabl",4
"program",4
"robot",4
"soon",4
"steer",4
"street",4
"tell",4
"tesla",4
"year",4
"york",4
"alreadi",3
"better",3
"bit",3
"break",3
"call",3
"camera",3
"case",3
"communic",3
"complet",3
"constraint",3
"deci",3
"degr",3
"design",3
"develop",3
"distanc",3
"door",3
"ever",3
"eye",3
"featur",3
"found",3
"full",3
"game",3
"give",3
"happen",3
"hour",3
"idea",3
"imag",3
"increa",3
"isn",3
"light",3
"line",3
"live",3
"livestream",3
"long",3
"maintain",3
"modern",3
"need",3
"patreon",3
"research",3
"smart",3
"speed",3
"spring",3
"state",3
"test",3
"today",3
"toyota",3
"violat",3
"wheel",3
"abl",2
"advanc",2
"algorithm",2
"almost",2
"although",2
"anyway",2
"approach",2
"area",2
"attent",2
"automobil",2
"backup",2
"beam",2
"behavior",2
"blow",2
"brake",2
"build",2
"buri",2
"california",2
"care",2
"carmak",2
"center",2
"check",2
"children",2
"code",2
"coil",2
"comfort",2
"comment",2
"condit",2
"constant",2
"cool",2
"cost",2
"crash",2
"creat",2
"curv",2
"decid",2
"decrea",2
"definit",2
"detail",2
"didn",2
"digit",2
"don",2
"done",2
"doubl",2
"edit",2
"electr",2
"elon",2
"emb",2
"end",2
"ethic",2
"everi",2
"everyon",2
"excit",2
"expen",2
"explain",2
"exterior",2
"face",2
"fact",2
"far",2
"fast",2
"fill",2
"final",2
"find",2
"follow",2
"forward",2
"four",2
"freeway",2
"hand",2
"hazard",2
"ice",2
"import",2
"knight",2
"late",2
"later",2
"law",2
"life",2
"link",2
"love",2
"maneuv",2
"match",2
"may",2
"meter",2
"mile",2
"miss",2
"model",2
"monitor",2
"motor",2
"motorway",2
"move",2
"museum",2
"navig",2
"noggin",2
"number",2
"obvious",2
"occup",2
"oper",2
"order",2
"pay",2
"plan",2
"point",2
"power",2
"pretti",2
"prevent",2
"programm",2
"propel",2
"purpo",2
"question",2
"quit",2
"radar",2
"rather",2
"readi",2
"real",2
"rever",2
"rider",2
"rout",2
"roy",2
"scenario",2
"showroom",2
"sing",2
"softwar",2
"somehow",2
"sort",2
"stanford",2
"stop",2
"stream",2
"stuff",2
"support",2
"tech",2
"tower",2
"translat",2
"travel",2
"unit",2
"updat",2
"upon",2
"via",2
"vision",2
"visual",2
"wasn",2
"weather",2
"whatev",2
"wonder",2
"world",2
"yellow",2
"abil",1
"action",1
"activ",1
"ador",1
"age",1
"agenc",1
"aim",1
"akun",1
"alex",1
"allow",1
"alon",1
"along",1
"alv",1
"alway",1
"antenna",1
"anyon",1
"appreci",1
"approv",1
"arguabl",1
"asphalt",1
"assum",1
"august",1
"autom",1
"automak",1
"automat",1
"autonomi",1
"away",1
"bad",1
"begin",1
"benz",1
"beyond",1
"bicyclist",1
"bid",1
"bird",1
"birth",1
"blind",1
"blocko",1
"blue",1
"book",1
"bottom",1
"broad",1
"broader",1
"broadway",1
"built",1
"bunch",1
"cancel",1
"cannonb",1
"capac",1
"captur",1
"caus",1
"certain",1
"challeng",1
"chandler",1
"chang",1
"charact",1
"chase",1
"choo",1
"cigar",1
"circuit",1
"citi",1
"class",1
"clear",1
"click",1
"cloud",1
"clutch",1
"commut",1
"conceal",1
"concentr",1
"concept",1
"consid",1
"contract",1
"convert",1
"corner",1
"couldn",1
"cour",1
"cream",1
"curat",1
"daili",1
"danger",1
"darpa",1
"data",1
"date",1
"day",1
"decemb",1
"deem",1
"def",1
"defen",1
"descript",1
"destin",1
"detect",1
"detector",1
"determin",1
"die",1
"display",1
"disrupt",1
"dissimilar",1
