"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abl",0.00508181574319692,0.00619790930922447,0.00161570966940094,0.0045435692470118,2.68586162440911e-05,0.286437577864524
"2","absolut",0.000760036958659951,0.00125370815086877,1.77550513120983e-05,1.88529844274349e-05,2.68586162440911e-05,0.722060064117321
"3","access",0.00165419808649519,1.76578612798418e-05,0.00161570966940094,1.88529844274349e-05,2.68586162440911e-05,-6.54967757976597
"4","across",1.49026854639206e-05,0.00143028676366719,1.77550513120983e-05,0.000395912672976132,0.0027127202406532,6.58458828946876
"5","act",1.49026854639206e-05,0.00125370815086877,1.77550513120983e-05,1.88529844274349e-05,2.68586162440911e-05,6.39448540608882
"6","action",0.00359154719680487,0.000900550925271931,0.00161570966940094,1.88529844274349e-05,2.68586162440911e-05,-1.99572570767433
"7","activ",0.00731721856278502,1.76578612798418e-05,0.00427896736621569,0.00341239018136571,2.68586162440911e-05,-8.69484092773056
"8","actual",0.0181961789514471,0.0035492301172482,1.77550513120983e-05,0.000395912672976132,2.68586162440911e-05,-2.35805750722434
"9","adapt",1.49026854639206e-05,0.00231317982765927,0.000195305564433081,1.88529844274349e-05,2.68586162440911e-05,7.27816128812159
"10","add",1.49026854639206e-05,0.00178344398926402,1.77550513120983e-05,1.88529844274349e-05,0.000295444778685002,6.90294976933593
"11","addit",1.49026854639206e-05,0.00107712953807035,1.77550513120983e-05,1.88529844274349e-05,2.68586162440911e-05,6.17547562414702
"12","address",1.49026854639206e-05,0.00107712953807035,0.00072795710379603,1.88529844274349e-05,2.68586162440911e-05,6.17547562414702
"13","agr",0.000163929540103127,0.00107712953807035,1.77550513120983e-05,1.88529844274349e-05,2.68586162440911e-05,2.71604400550972
"14","algorithm",0.00359154719680487,1.76578612798418e-05,0.000550406590675047,1.88529844274349e-05,0.000295444778685002,-7.66815104964583
"15","along",0.00150517123185598,1.76578612798418e-05,1.77550513120983e-05,1.88529844274349e-05,2.68586162440911e-05,-6.41347319616766
"16","alreadi",0.00150517123185598,1.76578612798418e-05,1.77550513120983e-05,0.00265827080426832,2.68586162440911e-05,-6.41347319616766
"17","alway",1.49026854639206e-05,0.00337265150444978,0.000550406590675047,0.000584442517250481,2.68586162440911e-05,7.82216711461988
"18","amaz",1.49026854639206e-05,0.00337265150444978,1.77550513120983e-05,1.88529844274349e-05,2.68586162440911e-05,7.82216711461988
"19","amount",0.0021012786504128,1.76578612798418e-05,1.77550513120983e-05,1.88529844274349e-05,2.68586162440911e-05,-6.89481306581466
"20","amplifi",0.00105809066793836,1.76578612798418e-05,1.77550513120983e-05,1.88529844274349e-05,2.68586162440911e-05,-5.90500883292055
"21","anim",1.49026854639206e-05,0.0016068653764656,1.77550513120983e-05,1.88529844274349e-05,2.68586162440911e-05,6.75253292678283
"22","anoth",1.49026854639206e-05,0.00125370815086877,1.77550513120983e-05,0.00605180800120659,0.00136978942844865,6.39448540608882
"23","answer",1.49026854639206e-05,0.00390238734284504,1.77550513120983e-05,1.88529844274349e-05,2.68586162440911e-05,8.03264084597557
"24","anyth",0.00165419808649519,1.76578612798418e-05,1.77550513120983e-05,0.00152709173862222,2.68586162440911e-05,-6.54967757976597
"25","api",0.00239933235969122,1.76578612798418e-05,1.77550513120983e-05,1.88529844274349e-05,2.68586162440911e-05,-7.08617859153048
"26","app",0.00239933235969122,1.76578612798418e-05,1.77550513120983e-05,1.88529844274349e-05,2.68586162440911e-05,-7.08617859153048
"27","applic",0.00463473517927931,1.76578612798418e-05,1.77550513120983e-05,0.00133856189434788,2.68586162440911e-05,-8.03603248354647
"28","approach",0.00344252034216566,1.76578612798418e-05,1.77550513120983e-05,0.000772972361524829,2.68586162440911e-05,-7.60701075483192
"29","appropri",1.49026854639206e-05,0.00107712953807035,1.77550513120983e-05,1.88529844274349e-05,2.68586162440911e-05,6.17547562414702
"30","approv",0.00105809066793836,1.76578612798418e-05,1.77550513120983e-05,1.88529844274349e-05,2.68586162440911e-05,-5.90500883292055
"31","area",1.49026854639206e-05,0.00266633705325611,0.00463406839245765,0.00171562158289657,0.000832617103566824,7.48314302590921
"32","ask",1.49026854639206e-05,0.00549159485803079,1.77550513120983e-05,0.00360092002564006,2.68586162440911e-05,8.52550905671474
"33","assist",1.49026854639206e-05,0.00143028676366719,1.77550513120983e-05,1.88529844274349e-05,2.68586162440911e-05,6.58458828946876
"34","audienc",0.000312956394742333,0.00107712953807035,1.77550513120983e-05,1.88529844274349e-05,2.68586162440911e-05,1.78315820136826
"35","augment",1.49026854639206e-05,0.00143028676366719,1.77550513120983e-05,1.88529844274349e-05,2.68586162440911e-05,6.58458828946876
"36","avail",0.00135614437721677,1.76578612798418e-05,1.77550513120983e-05,1.88529844274349e-05,2.68586162440911e-05,-6.26305635361456
"37","bad",0.00180322494113439,1.76578612798418e-05,1.77550513120983e-05,1.88529844274349e-05,0.000295444778685002,-6.67412495069046
"38","barbara",1.49026854639206e-05,0.00107712953807035,1.77550513120983e-05,1.88529844274349e-05,2.68586162440911e-05,6.17547562414702
"39","base",0.00180322494113439,1.76578612798418e-05,1.77550513120983e-05,1.88529844274349e-05,0.00486140954018049,-6.67412495069046
"40","basic",0.00910554081845548,1.76578612798418e-05,1.77550513120983e-05,0.00246974095999397,2.68586162440911e-05,-9.01029028323459
