"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","student","trade","peopl","peopl","learn"
"2","data","market","realli","servic","student"
"3","realli","don","someth","busi","work"
"4","model","posit","talk","blog","realli"
"5","risk","exampl","think","case","engin"
"6","work","feel","emot","now","univ"
"7","predict","within","year","email","peopl"
"8","actual","behavior","import","think","assess"
"9","alert","loss","don","need","school"
"10","high","might","time","social","now"
"11","cour","emot","question","month","educ"
"12","scienc","famili","engag","articl","need"
"13","identifi","day","work","post","practic"
"14","process","start","chang","fraud","guess"
"15","abl","system","mean","health","disabl"
"16","number","stop","tri","mental","import"
"17","campus","help","actual","machin","research"
"18","faculti","money","organ","use","teach"
"19","retent","problem","person","help","don"
"20","use","therapist","manag","call","skill"
"21","program","youth","now","percent","olin"
"22","system","lose","differ","topic","question"
"23","thank","mst","survey","write","understand"
"24","institut","point","find","benefit","specif"
"25","talk","treatment","good","media","step"
"26","factor","trader","need","time","think"
"27","ask","respon","better","firm","time"
"28","inform","mani","result","patient","actual"
"29","submit","principl","happen","today","quit"
"30","comput","time","let","read","mani"
"31","mani","possibl","employ","term","develop"
"32","success","first","use","area","rememb"
"33","intent","parent","ask","content","studi"
"34","differ","support","give","depress","use"
"35","help","automat","team","good","challeng"
"36","higher","child","understand","type","let"
"37","advisor","thought","may","market","conver"
"38","didn","interv","plan","might","option"
"39","group","mayb","creat","relat","mind"
"40","major","place","first","account","academ"
"41","network","state","tell","therapi","book"
"42","blockchain","context","number","investig","cultur"
"43","certain","need","base","let","design"
"44","colleg","now","show","cost","joe"
"45","complet","happen","end","websit","map"
"46","question","life","day","communic","might"
"47","requir","peer","littl","don","minut"
"48","retain","realli","point","litig","open"
"49","depart","break","answer","state","process"
"50","ear","caregiv","best","financ","differ"
"51","build","depress","set","govern","english"
"52","fall","fix","care","start","kid"
"53","resourc","level","doesn","access","person"
"54","semest","mind","four","client","technolog"
"55","class","account","interest","author","build"
"56","jenzabar","big","somebodi","certain","first"
"57","offic","disciplin","bit","eye","never"
"58","set","experi","problem","group","support"
"59","categori","good","abl","ill","knowledg"
"60","ledger","lost","action","nation","start"
"61","patti","relationship","call","tend","chang"
"62","track","small","job","differ","point"
"63","bit","goal","probabl","ear","speak"
"64","done","phase","basic","level","across"
"65","reason","target","idea","word","often"
"66","train","work","anoth","educ","profil"
"67","year","social","exampl","power","done"
"68","basic","strategi","mayb","promot","graduat"
"69","cohort","effect","start","psycholog","innov"
"70","entir","negat","intellig","reduc","life"
"71","think","pain","abil","similar","whole"
"72","focus","disord","cognit","evid","didn"
"73","need","hope","made","learn","happen"
"74","staff","involv","part","publish","idea"
"75","technic","pretti","sometim","search","old"
"76","academ","affect","coupl","valu","talk"
"77","analyt","process","initi","headlin","memor"
"78","concern","second","fact","claim","power"
"79","contract","use","feel","deliv","program"
"80","determin","alright","inform","googl","sld"
"81","megan","develop","help","page","success"
"82","onlin","free","goe","someon","thank"
"83","plea","journal","group","target","alway"
"84","share","profit","move","agr","formal"
"85","type","risk","percent","aspect","strength"
"86","without","sometim","today","document","year"
"87","advi","therapi","pay","effect","environ"
"88","interv","dollar","stuff","fifti","everi"
"89","involv","face","key","huge","experi"
"90","meet","fear","relev","lead","good"
"91","record","fight","expect","offer","hear"
"92","slide","gain","alway","pick","littl"
"93","today","later","everi","reason","live"
"94","analysi","let","improv","session","math"
"95","analyz","number","increa","strategi","practit"
"96","consult","cour","togeth","transact","stori"
"97","crown","everi","consid","alreadi","adjust"
"98","encourag","larg","address","common","bias"
"99","freshman","school","cour","countri","includ"
"100","hope","success","goal","dollar","inform"
