"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","academ",2.05973223480947e-05,0.00215530418832161,7.73395204949729e-06,1.16877045348294e-05,1.1127183709803e-05,6.70929088862257
"2","access",0.00228630278063852,1.52858453072455e-05,7.73395204949729e-06,0.00106358111266947,1.1127183709803e-05,-7.22467633012633
"3","accuraci",0.00125643666323378,1.52858453072455e-05,7.73395204949729e-06,1.16877045348294e-05,1.1127183709803e-05,-6.36099780133911
"4","achiev",2.05973223480947e-05,0.00139101192295934,7.73395204949729e-06,0.00129733520336606,0.0014576610659842,6.07753417642247
"5","acoust",0.00228630278063852,1.52858453072455e-05,7.73395204949729e-06,1.16877045348294e-05,1.1127183709803e-05,-7.22467633012633
"6","across",0.00372811534500515,1.52858453072455e-05,0.000703789636504254,0.000829827021972885,1.1127183709803e-05,-7.93010635085943
"7","activ",0.00331616889804326,0.0018495872821767,7.73395204949729e-06,1.16877045348294e-05,0.000344942695003895,-0.842314104616246
"8","adapt",0.00311019567456231,1.52858453072455e-05,7.73395204949729e-06,1.16877045348294e-05,1.1127183709803e-05,-7.6686652031013
"9","advanc",2.05973223480947e-05,0.00261387954753898,0.000162412993039443,1.16877045348294e-05,1.1127183709803e-05,6.98759205110968
"10","ahead",0.000844490216271884,0.00230816264139407,7.73395204949729e-06,1.16877045348294e-05,1.1127183709803e-05,1.45059227093077
"11","airport",0.00187435633367662,1.52858453072455e-05,7.73395204949729e-06,1.16877045348294e-05,1.1127183709803e-05,-6.93805510397492
"12","allow",0.00208032955715757,0.0001681442983797,7.73395204949729e-06,0.00199859747545582,0.000456214532101925,-3.62904032789072
"13","almost",2.05973223480947e-05,0.0015438703760318,0.00163186388244393,1.16877045348294e-05,1.1127183709803e-05,6.22795101897557
"14","alreadi",0.00187435633367662,1.52858453072455e-05,0.00325599381283836,0.000128564749883123,0.000233670857905864,-6.93805510397492
"15","altern",0.00105046343975283,0.0001681442983797,7.73395204949729e-06,0.000128564749883123,1.1127183709803e-05,-2.64325418711042
"16","amazon",0.00166838311019567,0.0001681442983797,0.000239752513534416,1.16877045348294e-05,0.00123511739178814,-3.31067884802355
"17","among",2.05973223480947e-05,0.00139101192295934,7.73395204949729e-06,1.16877045348294e-05,1.1127183709803e-05,6.07753417642247
"18","amount",2.05973223480947e-05,0.00169672882910425,0.000239752513534416,0.00118045815801776,1.1127183709803e-05,6.36415540257388
"19","android",0.00619979402677652,1.52858453072455e-05,7.73395204949729e-06,1.16877045348294e-05,1.1127183709803e-05,-8.66388014053592
