"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","servic","data","data","network","think"
"2","use","use","cloud","servic","peopl"
"3","actual","cabl","actual","secur","realli"
"4","realli","differ","center","now","now"
"5","contain","state","open","use","data"
"6","now","health","develop","virtual","don"
"7","need","year","use","center","actual"
"8","work","patient","applic","need","big"
"9","machin","care","comput","applic","time"
"10","applic","question","custom","infrastructur","good"
"11","talk","increa","need","move","sort"
"12","deploy","studi","year","talk","problem"
"13","mean","scienc","perform","manag","work"
"14","system","chang","realli","connect","tri"
"15","someth","peopl","work","custom","someth"
"16","don","depart","sourc","router","network"
"17","start","time","today","chang","comput"
"18","call","communiti","differ","polici","call"
"19","differ","research","provid","creat","mean"
"20","stuff","gaug","system","firew","let"
"21","cluster","realli","design","traffic","stuff"
"22","micro","patch","storag","control","littl"
"23","node","import","innov","softwar","interest"
"24","creat","now","talk","physic","happen"
"25","think","think","server","layer","give"
"26","version","emerg","user","provid","mani"
"27","let","fiber","end","autom","start"
"28","good","thank","busi","across","differ"
"29","time","number","softwar","basic","system"
"30","environ","brain","solut","allow","talk"
"31","build","need","connect","differ","second"
"32","test","work","abl","defin","world"
"33","develop","may","technolog","capabl","fact"
"34","file","exampl","help","case","first"
"35","tool","mani","industri","environ","energi"
"36","client","talk","now","rout","model"
"37","end","case","oper","server","mayb"
"38","docker","area","platform","workload","build"
"39","host","show","base","openstack","quit"
"40","configur","point","product","actual","year"
"41","manag","provid","mean","appli","whole"
"42","tri","abl","experi","let","better"
"43","team","manag","power","packet","pretti"
"44","mani","might","bring","link","everi"
"45","anoth","project","creat","nsx","technolog"
"46","bit","group","inform","set","ask"
"47","imag","find","requir","mpls","yes"
"48","code","collect","type","deploy","reason"
"49","happen","term","exampl","cisco","hundr"
"50","part","plan","let","littl","question"
"51","cool","popul","public","path","small"
"52","googl","high","build","switch","compani"
"53","server","avail","support","data","idea"
"54","pretti","cord","last","time","part"
"55","first","effect","within","rule","deal"
"56","everi","type","top","build","power"
"57","everyth","percent","time","first","done"
"58","load","sampl","compani","abl","term"
"59","oper","basic","area","logic","phone"
"60","name","program","challeng","oper","point"
"61","instanc","set","standard","vms","money"
"62","resourc","econom","interest","don","process"
"63","product","system","start","interfac","base"
"64","event","last","question","exampl","real"
"65","abl","within","ecosystem","platform","sen"
"66","give","gut","import","web","bit"
"67","littl","present","bit","tier","anoth"
"68","easi","microb","engin","today","certain"
"69","schedul","includ","instal","box","set"
"70","exampl","polici","mobil","app","thought"
"71","case","don","avail","devic","exampl"
"72","nice","relat","object","compon","hard"
"73","scale","person","valu","happen","internet"
"74","mayb","mean","process","someth","use"
"75","java","microbiom","enabl","abil","thousand"
"76","write","report","hardwar","group","larg"
"77","monitor","risk","scale","address","understand"
"78","cour","cost","access","becom","everybodi"
"79","demo","day","move","configur","place"
"80","local","rate","togeth","engin","site"
"81","platform","disea","effici","function","turn"
"82","app","gene","day","guy","busi"
"83","coupl","insur","deploy","hypervisor","center"
"84","avail","togeth","microsoft","per","organ"
"85","request","result","particular","add","buy"
"86","chang","univ","rack","enterpri","might"
"87","cloud","human","model","everi","order"
"88","pod","actual","cour","point","doesn"
"89","log","citi","space","peopl","guy"
"90","simpl","done","level","second","pay"
"91","import","inform","devic","work","answer"
"92","peopl","lactobacillus","drive","start","share"
"93","built","side","high","cloud","algorithm"
"94","api","folk","real","complet","send"
"95","reserv","month","number","sdn","someon"
"96","whatev","first","arm","base","went"
"97","idea","level","deliv","done","everyth"
"98","move","prevent","show","part","paper"
"99","check","region","switch","provi","search"
"100","port","woman","latenc","everyth","particular"
