"","V1"
"-bBqWHenYNA.txt",5
"0X_9DHddfFI.txt",2
"2-kHYLMDP6c.txt",5
"27TdCEUQztE.txt",5
"2OcrbhpFh5I.txt",5
"2U9dUYA30WU.txt",4
"4t_vMpYxQbU.txt",2
"8IpsX0n8leI.txt",5
"AMtDKFBTWCs.txt",5
"APqwzyVjbRU.txt",5
"BUB5L7PtODo.txt",2
"BxUD5jB6gOM.txt",3
"c0MDGAJksAk.txt",5
"cBLk5baHbZ8.txt",3
"E4dDm1ixojQ.txt",4
"EB0PsIkbQ94.txt",4
"EK5OVoTpWec.txt",5
"eKpdyy14MSU.txt",5
"eTbd8JXcf3Y.txt",3
"feiq5Ga5xuk.txt",5
"GaqgkyAIRBg.txt",3
"gcf6-1e27dE.txt",3
"gHvVRc22TIQ.txt",5
"GQsyZ2MJV7U.txt",1
"hlCrWk_p7_M.txt",4
"HskCNxnSM_8.txt",2
"hxJiwGRorPc.txt",5
"j4ErWkCAd8g.txt",4
"JE9yc5gSkkc.txt",2
"kcZX_NMWo3k.txt",5
"KTRXowlk5oQ.txt",1
"LuASELu-19Y.txt",2
"mAwEkQOLrYk.txt",5
"OhEMommbAio.txt",4
"owQtgCm8sTY.txt",3
"pq_0t2zvnsg.txt",4
"Q0lMuhDp-hk.txt",5
"QS18vKJEabY.txt",2
"Qu2njWY3Hjk.txt",2
"r4wxN2B5PuU.txt",3
"RNzcnzVENX8.txt",2
"S1wgn_XE-6o.txt",3
"SaMiYa9YnCw.txt",5
"sNdzwAie4YE.txt",4
"tJ5BJhPubxA.txt",5
"Tn_JWNQPZcM.txt",1
"tN7PXnLyBmQ.txt",3
"tPDSD9upGG0.txt",5
"uBkRnaUGpRU.txt",5
"vkvEHres42c.txt",3
"wE8VxHNe8bI.txt",2
"wnSjR04qang.txt",5
"xRamODPdU1U.txt",5
"yGvyysh7H3o.txt",4
"yMWpjjWHUs4.txt",2
