"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abl",0.00152683908129152,6.75657414664468e-06,5.28697711796304e-06,6.11306729264475e-06,0.00645198158287164,-7.82004037652174
"2","abstract",7.23620417673705e-06,0.00372287235480122,5.28697711796304e-06,6.11306729264475e-06,2.72120690968859e-06,9.00696732075661
"3","accel",7.23620417673705e-06,0.00237155752547228,5.28697711796304e-06,0.00012837441314554,0.000138781552394118,8.35638603249001
"4","accept",0.00109266683068729,6.75657414664468e-06,5.28697711796304e-06,6.11306729264475e-06,2.72120690968859e-06,-7.33734592713963
"5","access",0.00174392520659363,0.000614848247344666,5.81567482975934e-05,0.000556289123630673,0.00103677983259135,-1.50403588384582
"6","across",7.23620417673705e-06,0.00243912326693873,0.00122129171424946,0.00037289710485133,0.00120005224717267,8.39691383907262
"7","action",0.0030464419584063,6.75657414664468e-06,5.28697711796304e-06,6.11306729264475e-06,0.000247629828781661,-8.81661761088095
"8","activ",0.00109266683068729,6.75657414664468e-06,0.00497504546800322,6.11306729264475e-06,0.000737447072525607,-7.33734592713963
"9","actual",0.0114404388034213,6.75657414664468e-06,0.00444634775620691,0.00422412949921753,0.0131461505807056,-10.7255628401729
"10","adapt",0.00188864929012837,6.75657414664468e-06,0.00159138011250687,6.11306729264475e-06,2.72120690968859e-06,-8.12684718438444
"11","address",0.000803218663617813,0.00230399178400584,5.28697711796304e-06,0.0011064651799687,2.72120690968859e-06,1.52027087485951
"12","agent",0.00261226970780208,6.75657414664468e-06,5.28697711796304e-06,6.11306729264475e-06,2.72120690968859e-06,-8.59479621470172
"13","allow",0.00246754562426734,0.00169590011080782,0.00148564057014761,0.00153437989045383,2.72120690968859e-06,-0.541025562887954
"14","alreadi",0.00145447703952415,0.00291208345720386,0.00122129171424946,0.00141211854460094,0.00019320569058789,1.00155118009562
"15","although",0.00116502887245467,0.000412151022945326,0.000375375375375375,6.11306729264475e-06,2.72120690968859e-06,-1.49912072836628
"16","alway",0.00188864929012837,6.75657414664468e-06,5.28697711796304e-06,0.00226794796557121,0.00100956776349446,-8.12684718438444
"17","announc",7.23620417673705e-06,0.00183103159374071,5.28697711796304e-06,6.11306729264475e-06,0.000165993621491004,7.98320785353932
"18","anoth",0.00275699379133682,6.75657414664468e-06,0.000745463773632788,0.00128985719874804,0.00258786777111384,-8.67258837530787
