"","x"
"comput",70
"quantum",70
"actual",21
"algorithm",21
"time",21
"now",20
"qubit",19
"tri",18
"bit",17
"don",17
"number",15
"problem",14
"answer",12
"find",12
"use",12
"particl",11
"possibl",11
"univ",11
"classic",10
"either",10
"grover",10
"four",9
"queen",9
"system",9
"yes",9
"best",8
"realli",8
"understand",8
"work",8
"call",7
"electron",7
"everi",7
"factor",7
"interest",7
"let",7
"long",7
"normal",7
"physic",7
"state",7
"think",7
"case",6
"differ",6
"head",6
"processor",6
"regular",6
"simul",6
"slit",6
"someth",6
"wave",6
"wrong",6
"behav",5
"build",5
"card",5
"end",5
"exampl",5
"excit",5
"experi",5
"function",5
"machin",5
"measur",5
"natur",5
"observ",5
"password",5
"posit",5
"real",5
"scale",5
"search",5
"seem",5
"singl",5
"turn",5
"abl",4
"allow",4
"basic",4
"compo",4
"doesn",4
"done",4
"easi",4
"famous",4
"figur",4
"first",4
"found",4
"gate",4
"goe",4
"idea",4
"inform",4
"interact",4
"languag",4
"line",4
"magic",4
"map",4
"never",4
"paralel",4
"parallel",4
"point",4
"pretti",4
"program",4
"super",4
"tail",4
"video",4
"yet",4
"zero",4
"avoid",3
"behaviour",3
"clever",3
"code",3
"coin",3
"crack",3
"decoh",3
"difficult",3
"everyth",3
"exact",3
"far",3
"faster",3
"good",3
"hide",3
"imagin",3
"imposs",3
"instead",3
"interf",3
"known",3
"larg",3
"left",3
"light",3
"littl",3
"mean",3
"mind",3
"multipl",3
"part",3
"period",3
"photon",3
"power",3
"prime",3
"probabl",3
"question",3
"quit",3
"repr",3
"reprogram",3
"result",3
"scienc",3
"send",3
"shor",3
"shot",3
"simpl",3
"slot",3
"solv",3
"without",3
"world",3
"year",3
"advantag",2
"anybodi",2
"anyth",2
"artifici",2
"ask",2
"assum",2
"atom",2
"away",2
"base",2
"becom",2
"begin",2
"behind",2
"bird",2
"box",2
"built",2
"button",2
"capabl",2
"certain",2
"claim",2
"close",2
"cloud",2
"complex",2
"complic",2
"confus",2
"cool",2
"cryptographi",2
"dark",2
"determin",2
"develop",2
"direct",2
"disappear",2
"discov",2
"distanc",2
"effici",2
"encod",2
"engin",2
"entangl",2
"entir",2
"execut",2
"exist",2
"explain",2
"exploit",2
"exponenti",2
"eye",2
"fourth",2
"fun",2
"gave",2
"give",2
"growver",2
"half",2
"hand",2
"happen",2
"hard",2
"haven",2
"hidden",2
"hit",2
"hope",2
"human",2
"intellig",2
"inver",2
"involuntari",2
"last",2
"law",2
"learn",2
"level",2
"life",2
"mani",2
"master",2
"matter",2
"may",2
"mayb",2
"meet",2
"million",2
"need",2
"nobodi",2
"notic",2
"open",2
"oper",2
"optim",2
"outcom",2
"overhead",2
"path",2
"pattern",2
"peopl",2
"place",2
"play",2
"predict",2
"quarter",2
"ran",2
"research",2
"scientist",2
"score",2
"second",2
"secur",2
"select",2
"sequenc",2
"small",2
"solid",2
"solut",2
"soon",2
"sort",2
"space",2
"start",2
"step",2
"string",2
"stuff",2
"superposit",2
"sweep",2
"tab",2
"thank",2
"theori",2
"tool",2
"walk",2
"weird",2
"whatev",2
"abil",1
"accid",1
"achiev",1
"act",1
"advanc",1
"age",1
"aha",1
"air",1
"aliv",1
"alreadi",1
"altern",1
"although",1
"alway",1
"amplitud",1
"angri",1
"anoth",1
"anyon",1
"applic",1
"appreci",1
"area",1
"arrang",1
"art",1
"avail",1
"averag",1
"backward",1
"bag",1
"ball",1
"bar",1
"beauti",1
"becaus",1
"behavior",1
"bend",1
"better",1
