"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","accid",0.00278802050544114,6.51084054951495e-05,5.02790487203982e-05,5.42623039774269e-05,8.53315129277242e-05,-5.42025355446513
"2","action",0.00278802050544114,0.00136727651539814,0.00105586002312836,5.42623039774269e-05,8.53315129277242e-05,-1.02793613168637
"3","activ",0.00278802050544114,6.51084054951495e-05,0.00206144099753633,5.42623039774269e-05,8.53315129277242e-05,-5.42025355446513
"4","actual",8.99361453368108e-05,0.01959763005404,5.02790487203982e-05,5.42623039774269e-05,8.53315129277242e-05,7.76756243268145
"5","adverti",8.99361453368108e-05,0.00136727651539814,5.02790487203982e-05,5.42623039774269e-05,8.53315129277242e-05,3.92626017870051
"6","afford",0.00188865905207303,6.51084054951495e-05,5.02790487203982e-05,5.42623039774269e-05,8.53315129277242e-05,-4.85837466685701
"7","ahead",8.99361453368108e-05,0.00201836057034963,5.02790487203982e-05,5.42623039774269e-05,8.53315129277242e-05,4.48813906630862
"8","airlin",8.99361453368108e-05,0.00136727651539814,5.02790487203982e-05,5.42623039774269e-05,8.53315129277242e-05,3.92626017870051
"9","alon",8.99361453368108e-05,0.00136727651539814,5.02790487203982e-05,5.42623039774269e-05,8.53315129277242e-05,3.92626017870051
"10","alpha",0.0090835506790179,6.51084054951495e-05,5.02790487203982e-05,5.42623039774269e-05,8.53315129277242e-05,-7.12426872683005
"11","alreadi",0.00188865905207303,6.51084054951495e-05,0.00155865051033234,5.42623039774269e-05,8.53315129277242e-05,-4.85837466685701
"12","alright",8.99361453368108e-05,0.00918028517481607,5.02790487203982e-05,5.42623039774269e-05,8.53315129277242e-05,6.67349410832054
"13","alway",8.99361453368108e-05,0.00266944462530113,0.00105586002312836,5.42623039774269e-05,0.00179196177148221,4.89149476053983
"14","android",0.00188865905207303,6.51084054951495e-05,5.02790487203982e-05,5.42623039774269e-05,8.53315129277242e-05,-4.85837466685701
"15","anyth",8.99361453368108e-05,0.00136727651539814,5.02790487203982e-05,5.42623039774269e-05,8.53315129277242e-05,3.92626017870051
"16","anyway",8.99361453368108e-05,0.00266944462530113,5.02790487203982e-05,5.42623039774269e-05,8.53315129277242e-05,4.89149476053983
"17","app",0.009982912132386,6.51084054951495e-05,5.02790487203982e-05,5.42623039774269e-05,0.00349859203003669,-7.26047311042836
"18","ask",8.99361453368108e-05,0.00201836057034963,5.02790487203982e-05,5.42623039774269e-05,8.53315129277242e-05,4.48813906630862
"19","assist",8.99361453368108e-05,0.00136727651539814,0.00055306953592438,5.42623039774269e-05,0.00264527690075945,3.92626017870051
"20","asus",0.00188865905207303,6.51084054951495e-05,5.02790487203982e-05,5.42623039774269e-05,8.53315129277242e-05,-4.85837466685701
"21","atlas",0.00188865905207303,6.51084054951495e-05,5.02790487203982e-05,5.42623039774269e-05,8.53315129277242e-05,-4.85837466685701
"22","attach",8.99361453368108e-05,0.00136727651539814,5.02790487203982e-05,0.00168213142330023,8.53315129277242e-05,3.92626017870051
"23","backward",8.99361453368108e-05,0.00332052868025262,5.02790487203982e-05,5.42623039774269e-05,8.53315129277242e-05,5.20636809789324
"24","bag",0.00278802050544114,6.51084054951495e-05,5.02790487203982e-05,0.000596885343751696,8.53315129277242e-05,-5.42025355446513
"25","balanc",8.99361453368108e-05,0.00462269679015561,5.02790487203982e-05,0.00113950838352596,8.53315129277242e-05,5.68368987542643
"26","ball",0.00188865905207303,6.51084054951495e-05,5.02790487203982e-05,5.42623039774269e-05,8.53315129277242e-05,-4.85837466685701
"27","band",0.00188865905207303,6.51084054951495e-05,5.02790487203982e-05,5.42623039774269e-05,8.53315129277242e-05,-4.85837466685701
"28","barrier",0.00188865905207303,6.51084054951495e-05,5.02790487203982e-05,5.42623039774269e-05,8.53315129277242e-05,-4.85837466685701
"29","basic",8.99361453368108e-05,0.00201836057034963,0.00206144099753633,0.00276737750284877,0.000938646642204966,4.48813906630862
