"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abl",0.00576038166761356,0.000686739947364155,0.0011567091049531,5.64585791633968e-06,0.00589718610813779,-3.06832861187047
"2","access",0.00418013326761506,0.00128390511898516,3.84288739187076e-06,5.64585791633968e-06,0.00112651889625202,-1.70301034711469
"3","aci",0.0010572614295228,4.2654655115786e-06,3.84288739187076e-06,5.64585791633968e-06,4.0089640436015e-06,-7.95341324270623
"4","actual",3.7624961904726e-06,0.010881202520037,0.0100722078540932,5.64585791633968e-06,0.0109083911626397,11.4978602611172
"5","add",0.00252463494380712,0.0042270763219744,4.22717613105783e-05,0.00344961918688354,4.0089640436015e-06,0.743585368501006
"6","addit",0.00139588608666534,4.2654655115786e-06,3.84288739187076e-06,0.000231480174569927,0.00176795314322826,-8.3542622991061
"7","address",0.00323950921999691,4.2654655115786e-06,0.00123356685279051,0.00017502159540653,4.0089640436015e-06,-9.56885634988214
"8","ahead",3.7624961904726e-06,0.00499486011405855,3.84288739187076e-06,0.00158648607449145,4.0089640436015e-06,10.3745384380159
"9","allow",0.00229888517237876,4.2654655115786e-06,0.00204057320508337,0.00113481744118427,0.00088598105363593,-9.07401549230403
"10","almost",3.7624961904726e-06,0.0014545237394483,0.000234416130904116,5.64585791633968e-06,0.000525174289711795,8.59464100653887
"11","alreadi",0.00147113601047479,0.00235027149687981,0.000887706987522145,0.00119127602034767,0.000444995008839766,0.675896788778505
"12","alright",3.7624961904726e-06,0.00200903425595352,8.07006352292859e-05,0.00339316060772015,4.0089640436015e-06,9.06059632712748
"13","alway",0.00143351104857006,0.00188107029060616,0.00119513797887181,0.00181232039114504,4.0089640436015e-06,0.392000735578898
"14","ambient",3.7624961904726e-06,0.00128390511898516,3.84288739187076e-06,5.64585791633968e-06,4.0089640436015e-06,8.4146327542744
"15","anoth",0.000568136924761364,0.00166779701502723,0.00246329081818916,0.00260274049943259,0.00144723601974014,1.55363313549697
"16","anyth",0.000191887305714103,0.00260619942757453,0.00096456473535956,0.00209461328696202,0.000485084649275781,3.76361630536193
"17","api",0.00222363524856931,4.2654655115786e-06,3.84288739187076e-06,5.64585791633968e-06,4.0089640436015e-06,-9.02600124266283
"18","app",0.00681388060094589,4.2654655115786e-06,3.84288739187076e-06,5.64585791633968e-06,4.0089640436015e-06,-10.6415577534355
"19","applianc",0.00196026051523623,4.2654655115786e-06,3.84288739187076e-06,5.64585791633968e-06,4.0089640436015e-06,-8.84412648476381
"20","applic",0.0111031262580847,4.2654655115786e-06,0.00180999996157113,5.64585791633968e-06,0.00064544321101984,-11.3459751279173
"21","authent",0.00218601028666458,4.2654655115786e-06,3.84288739187076e-06,5.64585791633968e-06,4.0089640436015e-06,-9.00138127588983
"22","autom",0.00248700998190239,4.2654655115786e-06,3.84288739187076e-06,5.64585791633968e-06,4.0089640436015e-06,-9.18749338399299
"23","avail",0.00346525899142527,4.2654655115786e-06,3.84288739187076e-06,0.00164294465365485,0.000926070694071945,-9.66604426857664
"24","away",3.7624961904726e-06,0.00205168891106931,0.000234416130904116,0.000400855912060117,0.000444995008839766,9.09090616128474
"25","axi",3.7624961904726e-06,0.00166779701502723,0.000311273878741531,5.64585791633968e-06,4.0089640436015e-06,8.79203787482205
"26","balanc",0.00489500754380486,4.2654655115786e-06,3.84288739187076e-06,5.64585791633968e-06,4.0089640436015e-06,-10.1643921692031
"27","bandwidth",0.00128301120095116,4.2654655115786e-06,3.84288739187076e-06,5.64585791633968e-06,4.0089640436015e-06,-8.23261485150947
"28","base",0.00350288395333,0.00303274597873239,0.0016562844658963,0.00175586181198164,0.00232920810933247,-0.207918530424678
"29","basic",0.00139588608666534,0.00213699822130088,0.00661360920140957,0.00367545350353713,4.0089640436015e-06,0.614404494089106
