"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abil",0.00233873732673752,1.75352458441467e-05,0.00374414661714839,0.000667849088002803,0.000319759046086562,-7.0593283681996
"2","accel",1.22446980457462e-05,0.0103633302938907,1.00920393993218e-05,1.0948345704964e-05,1.03148079382762e-05,9.72511478001368
"3","access",0.00307341920948229,1.75352458441467e-05,0.011414096560633,1.0948345704964e-05,0.00692123612658332,-7.45344309411462
"4","acquisit",0.00123671450262037,1.75352458441467e-05,1.00920393993218e-05,0.000120431802754604,1.03148079382762e-05,-6.14011102291564
"5","across",0.00221629034628006,1.75352458441467e-05,1.00920393993218e-05,0.00110578291620136,1.03148079382762e-05,-6.98174542724705
"6","action",1.22446980457462e-05,0.00334923195623203,0.00354230582916196,1.0948345704964e-05,1.03148079382762e-05,8.0955292878719
"7","activ",0.00417544203359945,1.75352458441467e-05,0.00909292749878896,1.0948345704964e-05,1.03148079382762e-05,-7.89552746918802
"8","actual",0.00295097222902483,0.00440134670688083,1.00920393993218e-05,0.017309334559548,0.0104282708255972,0.57675467755696
"9","adapt",0.0011142675221629,1.75352458441467e-05,0.00011101243339254,0.000339398716853883,1.03148079382762e-05,-5.98969418036255
"10","addit",0.00552235881863153,0.00229711720558322,1.00920393993218e-05,0.000120431802754604,1.03148079382762e-05,-1.26546016188178
"11","address",0.000379585639418132,0.00790839587571017,0.000918375585338285,1.0948345704964e-05,1.03148079382762e-05,4.38088777270466
"12","advantag",0.000869373561247979,0.00106964999649295,0.000514694009365412,0.000229915259804244,1.03148079382762e-05,0.299090677894354
"13","affin",0.000502032619875594,0.00159570737181735,1.00920393993218e-05,1.0948345704964e-05,1.03148079382762e-05,1.66834309541676
"14","age",1.22446980457462e-05,0.00212176474714175,1.00920393993218e-05,1.0948345704964e-05,1.03148079382762e-05,7.43696369711074
"15","allow",0.0020938433658226,0.00106964999649295,0.00384506701114161,0.0050471873699884,1.03148079382762e-05,-0.969014717486862
"16","alreadi",1.22446980457462e-05,0.00142035491337589,0.00253310188922978,0.00110578291620136,1.03148079382762e-05,6.85795046272078
"17","alway",0.000379585639418132,0.00142035491337589,0.000716534797351849,1.0948345704964e-05,0.00227957255435904,1.9037541523339
"18","amongst",1.22446980457462e-05,0.00106964999649295,1.00920393993218e-05,1.0948345704964e-05,1.03148079382762e-05,6.44883779739904
"19","amount",1.22446980457462e-05,0.00212176474714175,0.00011101243339254,0.000886816002102082,0.000319759046086562,7.43696369711074
"20","analyt",0.00588969976000392,1.75352458441467e-05,1.00920393993218e-05,1.0948345704964e-05,1.03148079382762e-05,-8.39179262393389
"21","anoth",0.00184894940490767,0.00264782212246616,0.00263402228322299,0.00570408811228623,1.03148079382762e-05,0.518100459836151
"22","answer",0.00160405544399275,1.75352458441467e-05,0.00122113676731794,0.000667849088002803,0.00114494368114866,-6.5153225417013
"23","appli",0.00282852524856737,1.75352458441467e-05,0.000918375585338285,0.000667849088002803,1.03148079382762e-05,-7.33364858157991
"24","applianc",1.22446980457462e-05,0.00177105983025882,1.00920393993218e-05,0.000339398716853883,0.00073235136361761,7.17631194258795
"25","applic",0.000134691678503208,0.00106964999649295,0.0155518327143549,0.00537563774113731,0.00073235136361761,2.98940617876174
"26","architectur",0.00454278297497184,0.00194641228870029,1.00920393993218e-05,1.0948345704964e-05,1.03148079382762e-05,-1.22275905043455
"27","area",0.00221629034628006,1.75352458441467e-05,0.00162481834329081,1.0948345704964e-05,1.03148079382762e-05,-6.98174542724705
"28","ask",0.00393054807268453,1.75352458441467e-05,0.00112021637332472,1.0948345704964e-05,0.00145438791929694,-7.80832902728615
"29","aspect",0.00258363128765245,1.75352458441467e-05,0.000211932827385758,1.0948345704964e-05,1.03148079382762e-05,-7.20299872887103
"30","assembl",1.22446980457462e-05,0.00124500245493442,1.00920393993218e-05,1.0948345704964e-05,1.03148079382762e-05,6.66784757934083
"31","asset",0.00221629034628006,1.75352458441467e-05,1.00920393993218e-05,1.0948345704964e-05,0.0010417956017659,-6.98174542724705
"32","assign",0.00160405544399275,0.00387528933155643,0.00192757952527047,0.000996299459151722,1.03148079382762e-05,1.27258001769013
"33","assum",1.22446980457462e-05,0.00159570737181735,1.00920393993218e-05,1.0948345704964e-05,0.000835499443000371,7.02589510003485
"34","attack",0.0011142675221629,1.75352458441467e-05,0.00152389794929759,0.00603253848343515,0.0053740149358419,-5.98969418036255
"35","author",0.00148160846353529,1.75352458441467e-05,1.00920393993218e-05,1.0948345704964e-05,1.03148079382762e-05,-6.40076277743844
"36","avail",0.00478767693588676,1.75352458441467e-05,0.000514694009365412,0.00220061748669776,0.000629203284234847,-8.0929243374712
"37","awar",0.00148160846353529,1.75352458441467e-05,1.00920393993218e-05,1.0948345704964e-05,1.03148079382762e-05,-6.40076277743844
"38","background",0.00148160846353529,1.75352458441467e-05,0.000413773615372195,1.0948345704964e-05,1.03148079382762e-05,-6.40076277743844
"39","base",1.22446980457462e-05,0.00212176474714175,0.00283586307120943,0.000448882173903523,0.00485827453892809,7.43696369711074
"40","basic",0.00233873732673752,1.75352458441467e-05,0.00011101243339254,0.00526615428408767,1.03148079382762e-05,-7.0593283681996
"41","becom",0.00184894940490767,1.75352458441467e-05,1.00920393993218e-05,1.0948345704964e-05,0.000938647522383133,-6.72030427948893
"42","begin",0.00148160846353529,1.75352458441467e-05,1.00920393993218e-05,0.000120431802754604,0.000113462887321038,-6.40076277743844
"43","benefit",0.00233873732673752,1.75352458441467e-05,0.000211932827385758,1.0948345704964e-05,1.03148079382762e-05,-7.0593283681996
"44","best",0.000379585639418132,0.00194641228870029,1.00920393993218e-05,1.0948345704964e-05,0.000526055204852086,2.35832001579938
"45","better",1.22446980457462e-05,0.00124500245493442,0.0021294203132569,1.0948345704964e-05,1.03148079382762e-05,6.66784757934083
"46","bit",0.00270607826810991,1.75352458441467e-05,0.00263402228322299,0.00165320020144956,0.00135123983991418,-7.26980209955528
"47","blade",1.22446980457462e-05,0.00124500245493442,1.00920393993218e-05,1.0948345704964e-05,1.03148079382762e-05,6.66784757934083
"48","block",0.000746926580790518,0.00352458441467349,1.00920393993218e-05,1.0948345704964e-05,1.03148079382762e-05,2.23841481345219
"49","bodi",0.0011142675221629,1.75352458441467e-05,1.00920393993218e-05,1.0948345704964e-05,1.03148079382762e-05,-5.98969418036255
"50","book",0.00135916148307783,1.75352458441467e-05,1.00920393993218e-05,0.000229915259804244,1.03148079382762e-05,-6.27631540651396
"51","bottom",0.0011142675221629,0.000192887704285614,0.000312853221378976,1.0948345704964e-05,1.03148079382762e-05,-2.53026256172525
"52","box",0.00295097222902483,1.75352458441467e-05,1.00920393993218e-05,1.0948345704964e-05,0.00197012831621075,-7.39478887639381
"53","build",0.00160405544399275,1.75352458441467e-05,0.00011101243339254,1.0948345704964e-05,0.00310475718942113,-6.5153225417013
"54","busi",0.00846108634961062,0.000192887704285614,0.00011101243339254,1.0948345704964e-05,1.03148079382762e-05,-5.45500982191481
"55","call",1.22446980457462e-05,0.00738233850038577,0.00132205716131116,0.00482822045588912,0.0037236456657177,9.23577688290255
"56","came",1.22446980457462e-05,0.00142035491337589,1.00920393993218e-05,0.000777332545052443,0.00073235136361761,6.85795046272078
"57","candid",0.00135916148307783,1.75352458441467e-05,1.00920393993218e-05,1.0948345704964e-05,1.03148079382762e-05,-6.27631540651396
"58","capabl",0.00233873732673752,1.75352458441467e-05,1.00920393993218e-05,0.0034049355142438,1.03148079382762e-05,-7.0593283681996
"59","card",1.22446980457462e-05,0.00299852703934909,1.00920393993218e-05,1.0948345704964e-05,0.000938647522383133,7.93595297472205
"60","case",0.00025713865896067,0.00142035491337589,0.000312853221378976,0.00428080317064092,0.00351734950695218,2.46563303994202
"61","caus",0.00135916148307783,1.75352458441467e-05,1.00920393993218e-05,0.000339398716853883,0.0002166109667038,-6.27631540651396
"62","center",0.00784885144732331,1.75352458441467e-05,1.00920393993218e-05,0.000667849088002803,1.03148079382762e-05,-8.80608008678259
"63","cert",0.00160405544399275,1.75352458441467e-05,1.00920393993218e-05,1.0948345704964e-05,1.03148079382762e-05,-6.5153225417013
"64","certain",0.00172650242445021,0.00177105983025882,0.000514694009365412,0.00110578291620136,0.00423938606263151,0.0367605901891522
"65","chang",0.00380810109222707,0.00159570737181735,0.0059643952849992,1.0948345704964e-05,1.03148079382762e-05,-1.25487567009576
"66","check",1.22446980457462e-05,0.00177105983025882,1.00920393993218e-05,1.0948345704964e-05,0.0015575359986797,7.17631194258795
"67","chief",0.00295097222902483,1.75352458441467e-05,1.00920393993218e-05,1.0948345704964e-05,1.03148079382762e-05,-7.39478887639381
"68","ciso",0.00148160846353529,1.75352458441467e-05,1.00920393993218e-05,1.0948345704964e-05,1.03148079382762e-05,-6.40076277743844
"69","client",1.22446980457462e-05,0.0051027565406467,1.00920393993218e-05,1.0948345704964e-05,0.00135123983991418,8.70297580274443
"70","cloud",0.0131140716069942,1.75352458441467e-05,1.00920393993218e-05,0.00559460465523659,0.0151730824772043,-9.5466423049141
"71","cluster",0.000502032619875594,0.00440134670688083,1.00920393993218e-05,0.000120431802754604,1.03148079382762e-05,3.13209200916884
"72","combin",0.000502032619875594,0.00177105983025882,1.00920393993218e-05,1.0948345704964e-05,1.03148079382762e-05,1.81875993796986
"73","command",1.22446980457462e-05,0.00264782212246616,0.000918375585338285,1.0948345704964e-05,1.03148079382762e-05,7.75650519916123
"74","communic",1.22446980457462e-05,0.00299852703934909,0.00011101243339254,0.00209113402964812,0.000422907125469324,7.93595297472205
"75","compar",0.000379585639418132,0.00124500245493442,1.00920393993218e-05,0.000229915259804244,1.03148079382762e-05,1.71365126895396
"76","concern",0.00197139638536514,1.75352458441467e-05,1.00920393993218e-05,1.0948345704964e-05,0.000319759046086562,-6.81281641827847
"77","condit",1.22446980457462e-05,0.00597951883285404,1.00920393993218e-05,1.0948345704964e-05,1.03148079382762e-05,8.93172838886032
"78","conduct",0.0011142675221629,1.75352458441467e-05,1.00920393993218e-05,1.0948345704964e-05,1.03148079382762e-05,-5.98969418036255
"79","configur",1.22446980457462e-05,0.00124500245493442,0.00818464395284999,0.00417131971359128,1.03148079382762e-05,6.66784757934083
"80","connect",0.00442033599451438,0.0187802482990811,0.000716534797351849,0.00220061748669776,0.000113462887321038,2.08698819769923
"81","consid",0.00135916148307783,1.75352458441467e-05,0.000716534797351849,0.000339398716853883,0.000319759046086562,-6.27631540651396
"82","continu",0.0011142675221629,1.75352458441467e-05,1.00920393993218e-05,0.000996299459151722,0.000422907125469324,-5.98969418036255
"83","control",0.0036856541117696,0.00106964999649295,0.00505611173906023,0.0268343953228667,1.03148079382762e-05,-1.78478187936067
"84","converg",0.0011142675221629,1.75352458441467e-05,1.00920393993218e-05,1.0948345704964e-05,1.03148079382762e-05,-5.98969418036255
"85","core",1.22446980457462e-05,0.022462649926352,1.00920393993218e-05,1.0948345704964e-05,1.03148079382762e-05,10.8411552201778
"86","coupl",0.00197139638536514,1.75352458441467e-05,0.00162481834329081,1.0948345704964e-05,1.03148079382762e-05,-6.81281641827847
"87","cour",0.0020938433658226,0.00247246966402469,0.000211932827385758,0.00165320020144956,0.000113462887321038,0.239799297349046
"88","cover",0.00270607826810991,1.75352458441467e-05,0.000817455191345067,1.0948345704964e-05,1.03148079382762e-05,-7.26980209955528
"89","cpu",1.22446980457462e-05,0.00264782212246616,1.00920393993218e-05,1.0948345704964e-05,0.000113462887321038,7.75650519916123
"90","creat",0.0020938433658226,0.000543592621168549,0.00646899725496528,0.0050471873699884,1.03148079382762e-05,-1.94555574466287
"91","critic",0.00270607826810991,1.75352458441467e-05,1.00920393993218e-05,0.000120431802754604,1.03148079382762e-05,-7.26980209955528
"92","current",0.00148160846353529,1.75352458441467e-05,0.000211932827385758,1.0948345704964e-05,0.00320790526880389,-6.40076277743844
"93","custom",1.22446980457462e-05,0.00124500245493442,0.00233126110124334,0.00734633996803083,0.000113462887321038,6.66784757934083
"94","cyber",0.0020938433658226,1.75352458441467e-05,1.00920393993218e-05,1.0948345704964e-05,1.03148079382762e-05,-6.89975205504975
"95","data",0.0280526032228045,0.000718945079610016,0.00192757952527047,0.00252906785784668,0.00135123983991418,-5.28610927885044
"96","day",0.00233873732673752,1.75352458441467e-05,0.00182665913127725,0.000448882173903523,0.00300160911003837,-7.0593283681996
"97","deal",0.00172650242445021,1.75352458441467e-05,1.00920393993218e-05,1.0948345704964e-05,0.000422907125469324,-6.62145089256264
"98","deci",1.22446980457462e-05,0.00177105983025882,0.000211932827385758,1.0948345704964e-05,1.03148079382762e-05,7.17631194258795
"99","deeper",1.22446980457462e-05,0.00247246966402469,1.00920393993218e-05,1.0948345704964e-05,1.03148079382762e-05,7.65765181223494
"100","defin",0.00295097222902483,1.75352458441467e-05,0.00142297755530438,0.00592305502638551,0.0002166109667038,-7.39478887639381
"101","deni",1.22446980457462e-05,0.00212176474714175,1.00920393993218e-05,1.0948345704964e-05,1.03148079382762e-05,7.43696369711074
"102","depart",0.00331831317039722,1.75352458441467e-05,1.00920393993218e-05,1.0948345704964e-05,1.03148079382762e-05,-7.56404858151772
"103","depend",0.0020938433658226,0.00299852703934909,1.00920393993218e-05,1.0948345704964e-05,0.00166068407806247,0.51810045983615
