"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abil",0.0021511017838405,4.65549348230912e-05,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,-5.52999787869356
"2","accessori",0.00110178384050367,4.65549348230912e-05,0.00175936435868331,5.56792873051225e-05,5.24383848977452e-05,-4.56476329685423
"3","acet",0.00320041972717734,4.65549348230912e-05,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,-6.10318321163836
"4","aceton",5.24658971668416e-05,0.00190875232774674,0.000624290578887628,5.56792873051225e-05,5.24383848977452e-05,5.18510613054261
"5","across",0.00110178384050367,4.65549348230912e-05,0.000624290578887628,5.56792873051225e-05,5.24383848977452e-05,-4.56476329685423
"6","acryl",5.24658971668416e-05,0.00330540037243948,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,5.97730124542921
"7","activ",0.0021511017838405,4.65549348230912e-05,0.000624290578887628,5.56792873051225e-05,5.24383848977452e-05,-5.52999787869356
"8","actual",5.24658971668416e-05,0.0042364990689013,5.67536889897844e-05,0.0111915367483296,0.00319874147876246,6.33534876612323
"9","actuat",0.00162644281217209,4.65549348230912e-05,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,-5.12664218446235
"10","addit",0.00477439664218258,4.65549348230912e-05,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,-6.68024051427417
"11","additiv",0.00162644281217209,4.65549348230912e-05,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,-5.12664218446235
"12","adh",5.24658971668416e-05,0.00144320297951583,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,4.7817504363114
"13","adopt",0.00162644281217209,4.65549348230912e-05,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,-5.12664218446235
"14","affect",0.00162644281217209,4.65549348230912e-05,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,-5.12664218446235
"15","allow",0.00320041972717734,0.00377094972067039,5.67536889897844e-05,0.0017260579064588,5.24383848977452e-05,0.236666791246267
"16","alloy",0.00320041972717734,4.65549348230912e-05,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,-6.10318321163836
"17","alreadi",0.00110178384050367,0.000512104283054004,5.67536889897844e-05,0.00339643652561247,5.24383848977452e-05,-1.10533167821693
"18","aluminum",5.24658971668416e-05,0.0042364990689013,5.67536889897844e-05,5.56792873051225e-05,0.000576822233875197,6.33534876612323
"19","amount",0.00372507869884575,4.65549348230912e-05,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,-6.32219299358015
"20","appli",0.000577124868835257,0.00237430167597765,5.67536889897844e-05,0.000612472160356348,0.0016255899318301,2.04054784925873
"21","approach",0.00110178384050367,4.65549348230912e-05,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,-4.56476329685423
"22","aren",5.24658971668416e-05,0.00144320297951583,5.67536889897844e-05,5.56792873051225e-05,0.00110120608285265,4.7817504363114
"23","art",0.00110178384050367,0.000977653631284916,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,-0.17244587407547
"24","assembl",0.00582371458551941,4.65549348230912e-05,0.00119182746878547,5.56792873051225e-05,5.24383848977452e-05,-6.96686174042558
"25","assist",0.00110178384050367,4.65549348230912e-05,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,-4.56476329685423
"26","attack",5.24658971668416e-05,0.00330540037243948,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,5.97730124542921
"27","autodesk",0.00110178384050367,4.65549348230912e-05,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,-4.56476329685423
"28","bacteria",0.00162644281217209,4.65549348230912e-05,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,-5.12664218446235
"29","base",0.000577124868835257,0.00470204841713222,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,3.02633399003903
"30","basic",0.00110178384050367,0.00283985102420857,5.67536889897844e-05,0.0039532293986637,5.24383848977452e-05,1.36597404070866
"31","belt",5.24658971668416e-05,0.00144320297951583,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,4.7817504363114
"32","bend",0.000577124868835257,0.00144320297951583,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,1.32231881767411
"33","benefit",0.00110178384050367,4.65549348230912e-05,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,-4.56476329685423
"34","beyond",0.00424973767051417,4.65549348230912e-05,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,-6.5122958769601
"35","big",0.00110178384050367,0.000977653631284916,5.67536889897844e-05,0.000612472160356348,0.002674357629785,-0.17244587407547
"36","bit",5.24658971668416e-05,0.0121508379888268,5.67536889897844e-05,0.00228285077951002,5.24383848977452e-05,7.85546012249441
"37","black",0.000577124868835257,0.00283985102420857,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,2.29885984485012
"38","blue",5.24658971668416e-05,0.00237430167597765,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,5.49997946789602
"39","board",5.24658971668416e-05,0.00842644320297952,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,7.32740001300774
"40","bodi",5.24658971668416e-05,0.0214618249534451,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,8.67617706635387
"41","bolt",5.24658971668416e-05,0.00144320297951583,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,4.7817504363114
"42","born",0.00110178384050367,4.65549348230912e-05,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,-4.56476329685423
"43","bottom",0.00162644281217209,0.000512104283054004,5.67536889897844e-05,5.56792873051225e-05,0.000576822233875197,-1.66721056582505
"44","break",5.24658971668416e-05,0.00237430167597765,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,5.49997946789602
"45","bring",0.00162644281217209,4.65549348230912e-05,5.67536889897844e-05,5.56792873051225e-05,0.00214997378080755,-5.12664218446235
"46","budget",5.24658971668416e-05,0.00190875232774674,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,5.18510613054261
"47","build",5.24658971668416e-05,0.0121508379888268,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,7.85546012249441
"48","built",0.00320041972717734,4.65549348230912e-05,0.00119182746878547,5.56792873051225e-05,5.24383848977452e-05,-6.10318321163836
"49","busi",5.24658971668416e-05,0.00190875232774674,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,5.18510613054261
"50","capabl",0.00110178384050367,4.65549348230912e-05,0.00119182746878547,5.56792873051225e-05,5.24383848977452e-05,-4.56476329685423
"51","care",5.24658971668416e-05,0.00237430167597765,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,5.49997946789602
"52","carriag",5.24658971668416e-05,0.00144320297951583,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,4.7817504363114
"53","carrier",5.24658971668416e-05,0.00190875232774674,5.67536889897844e-05,5.56792873051225e-05,5.24383848977452e-05,5.18510613054261
"54","cast",5.24658971668416e-05,0.00144320297951583,5.67536889897844e-05,0.0017260579064588,5.24383848977452e-05,4.7817504363114
