"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","use","use","now","realiti","app"
"2","camera","target","realli","think","realiti"
"3","world","system","game","peopl","augment"
"4","track","head","actual","augment","let"
"5","provid","model","imag","virtual","card"
"6","creat","user","littl","experi","learn"
"7","plane","interact","good","real","tell"
"8","place","differ","play","realli","dinosaur"
"9","devic","move","don","work","show"
"10","object","applic","use","use","life"
"11","session","eye","tri","technolog","now"
"12","let","product","show","talk","googl"
"13","render","student","need","abl","watch"
"14","augment","imag","time","year","pokemon"
"15","point","select","car","sort","space"
"16","content","better","data","question","stori"
"17","scene","chang","basic","don","pictur"
"18","arkit","control","yeah","world","fun"
"19","imag","first","bit","start","inform"
"20","light","project","turn","part","play"
"21","order","quit","probabl","now","download"
"22","virtual","work","work","feel","kid"
"23","detect","hand","pretti","problem","headset"
"24","featur","track","cabl","room","love"
"25","environ","creat","cool","tri","find"
"26","process","develop","phone","actual","differ"
"27","real","learn","view","differ","educ"
"28","call","movement","first","hololen","wine"
"29","updat","experi","yes","time","scan"
"30","first","need","action","video","smartglob"
"31","physic","exampl","color","compani","smartphon"
"32","realli","follow","nice","comput","bring"
"33","base","sensor","pixel","might","car"
"34","anchor","show","someth","sen","screen"
"35","applic","anim","mean","someth","tablet"
"36","realiti","focus","give","space","aurasma"
"37","start","requir","minut","big","interact"
"38","understand","video","name","mani","store"
"39","frame","add","piec","futur","excit"
"40","view","object","snatch","phone","home"
"41","locat","import","start","challeng","mean"
"42","transform","quick","top","imagin","student"
"43","need","second","anoth","train","video"
"44","give","specif","hey","person","choo"
"45","find","continu","might","interest","technolog"
"46","inform","thank","think","microsoft","digit"
"47","time","direct","thought","everyon","onlin"
"48","project","display","call","exampl","planet"
"49","app","base","mask","idea","cool"
"50","move","natur","send","today","market"
"51","posit","particip","away","happen","star"
"52","possibl","smooth","headset","done","time"
"53","actual","understand","rang","glass","world"
"54","hit","without","close","issu","box"
"55","set","cour","definit","point","connect"
"56","allow","input","ever","wear","dhe"
"57","avail","interest","everyth","well","hold"
"58","matrix","posit","insid","develop","shop"
"59","simpli","set","open","display","sht"
"60","configur","solut","saw","everyth","tap"
"61","tabl","studi","surpri","pretti","someth"
"62","digit","type","talk","vision","wow"
"63","intersect","basic","end","anyth","awesom"
"64","method","busi","goe","came","classroom"
"65","test","condit","made","day","day"
"66","case","line","front","help","friend"
"67","motion","marker","hope","last","immer"
"68","properti","uniti","corner","research","teacher"
"69","rotat","augment","guy","stuff","catalog"
"70","anoth","comput","project","high","countri"
"71","background","generat","seem","walk","free"
"72","custom","number","sound","field","thank"
"73","music","particular","alway","industri","whoa"
"74","orient","size","button","live","assist"
"75","user","vuforia","click","mix","dimens"
"76","arfram","bring","draw","though","facebook"
"77","build","glass","guess","build","globe"
"78","contain","help","left","long","histori"
"79","core","interfac","movi","share","includ"
"80","exampl","plea","opencv","social","kjo"
"81","import","present","quit","design","overlay"
"82","surfac","print","screen","devic","pick"
"83","togeth","bodi","someon","effect","present"
"84","access","combin","track","hologram","tim"
"85","alreadi","sever","uri","onto","age"
"86","implement","techniqu","amaz","potenti","anim"
"87","mean","end","blue","sit","aura"
"88","part","heart","everi","team","deck"
"89","abl","perform","exact","appl","doesn"
"90","estim","result","file","audienc","earth"
"91","includ","alreadi","war","fact","scienc"
"92","arsess","approach","web","one","simpli"
"93","chang","databa","built","product","singl"
"94","current","design","code","school","site"
"95","space","detail","compon","technic","solar"
"96","tap","enter","coupl","touch","step"
"97","along","full","program","far","wait"
"98","automat","name","sand","side","walk"
"99","center","overlay","second","captur","base"
"100","easi","past","complet","emerg","custom"
