"","V1"
"-ddxWJvBnCQ.txt",4
"_CCCPHkwb24.txt",4
"22Srou-s36M.txt",5
"5TNAz1HYg18.txt",1
"6imlIhqhFDs.txt",1
"77psYm8bLsQ.txt",3
"ar2Ucc-7Ag8.txt",4
"AUsw3-vGG7I.txt",1
"BGh3iALQFqE.txt",1
"BoehvH2ub3E.txt",5
"DEHsvQ3Ylwg.txt",1
"dm6mY2S_yio.txt",5
"DQcdwvIyEyw.txt",3
"dVqDhoZX-PU.txt",2
"EArWVHtOXIQ.txt",2
"eWd8p4iQUPw.txt",1
"FvJY5rP6E3s.txt",3
"FXwKlBXNXdg.txt",3
"gIPdoP8t1lY.txt",1
"goXdWMZxlqM.txt",3
"gUCCnVXgYvw.txt",5
"gwWLkk4OPAQ.txt",5
"iHrO9JHj1nQ.txt",1
"jaI5aheBOi0.txt",1
"JmfdXjPRTUA.txt",1
"kW2q15MNFug.txt",5
"L8aqC1pVjOM.txt",1
"LV1CQl6YCcc.txt",5
"nxznZL3gTHk.txt",5
"O6BmRfJbd80.txt",5
"P9KVXx-CErA.txt",5
"POlHRcQLkgE.txt",5
"R3hHTy-vwQE.txt",3
"r6j6N4AeZHE.txt",5
"RgodkVYLDJg.txt",4
"rpFNfi4e0Lo.txt",2
"tbdQwxE3fiU.txt",4
"tDlpbMThyFI.txt",4
"VZGUHvJC2D8.txt",1
"yy6TV9Dntlw.txt",1
"Z45LI-NyLP0.txt",2
"ZEtrjXPe8GI.txt",5
