"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abil",0.0013676561488555,2.87653067388484e-06,4.37041925431906e-06,0.000893293390122446,0.000801613127414598,-8.89315998884168
"2","abl",0.00200037963409114,3.16418374127333e-05,0.000616229114858988,0.00247259662127815,0.00436222250571697,-5.98229663366513
"3","academ",4.86710373258186e-06,0.00290817251129757,4.37041925431906e-06,4.93532259736158e-06,1.90406918625795e-06,9.22283361328227
"4","across",0.00165968237281041,2.87653067388484e-06,4.37041925431906e-06,0.00133747242388499,0.00123954904025393,-9.17236159764492
"5","activ",0.00243841897002351,0.000290529598062369,0.000135482996883891,0.0013868256498586,0.000896816586727495,-3.06918897906416
"6","actual",0.00151366926083296,0.00472038683584503,0.00568591544986911,0.00158423855375307,0.00483823980228145,1.64085508476236
"7","adapt",0.00117297199955223,2.87653067388484e-06,4.37041925431906e-06,4.93532259736158e-06,0.000592165516926223,-8.67162300485071
"8","addit",0.000637590588968223,0.00106719288001128,0.000441412344686226,0.00163359177972668,1.90406918625795e-06,0.743118706462604
"9","address",0.00112430096222641,0.000117937757629278,0.0010532710402909,4.93532259736158e-06,0.000934897970452654,-3.25293070541872
"10","adult",0.0013676561488555,3.16418374127333e-05,4.37041925431906e-06,4.93532259736158e-06,1.90406918625795e-06,-5.43372837020438
"11","advanc",4.86710373258186e-06,0.00100966226653358,4.37041925431906e-06,0.00123876597193776,0.000344636522712689,7.69659355168381
"12","advi",4.86710373258186e-06,0.00486421336953927,4.37041925431906e-06,0.000202348226491825,1.90406918625795e-06,9.96492727578923
"13","advisor",4.86710373258186e-06,0.00420261131454575,4.37041925431906e-06,4.93532259736158e-06,0.000363677214575269,9.75400679418275
"14","age",0.00200037963409114,2.87653067388484e-06,0.00144660877317961,4.93532259736158e-06,1.90406918625795e-06,-9.44172825230243
"15","allow",0.0013676561488555,0.000319294904801218,0.000179187189427082,0.000843940164148829,0.00104914212162813,-2.09874412249157
"16","alreadi",4.86710373258186e-06,0.00138361125413861,0.000878454270118133,4.93532259736158e-06,0.00127763042397909,8.15115941514929
"17","although",4.86710373258186e-06,0.00109595818675012,4.37041925431906e-06,4.93532259736158e-06,2.09447610488375e-05,7.81491351887257
"18","alway",0.000150880215710037,0.00152743778783285,4.37041925431906e-06,0.000893293390122446,0.00196309533103195,3.33963807179653
"19","alzheim",0.00336316867921406,2.87653067388484e-06,4.37041925431906e-06,4.93532259736158e-06,1.90406918625795e-06,-10.191275569009
"20","american",0.00107562992490059,6.04071441515816e-05,0.00135920038809323,0.000646527260254366,5.90261447739966e-05,-4.15431880523342
"21","anoth",0.00131898511152968,0.002447927603476,0.00122808781046366,4.93532259736158e-06,0.00114434558094103,0.892132611711343
"22","answer",4.86710373258186e-06,0.00233286637652061,0.000354003959599844,0.00118941274596414,0.0014489966507423,8.90482443559652
"23","anyth",0.000199551253035856,0.00126855002718321,0.00109697523283409,0.000103641774544593,0.000649287592513962,2.66834917231869
"24","anyway",4.86710373258186e-06,0.00112472349348897,4.37041925431906e-06,5.42885485709774e-05,1.90406918625795e-06,7.8522911286866
"25","applaus",0.00419057631375298,2.87653067388484e-06,0.000266595574513463,0.000152995000518209,0.000268473755262371,-10.5086030960176
"26","appli",4.86710373258186e-06,0.00181509085522134,0.000528820729772607,0.000449114356359903,0.000535043441338485,8.5427625263618
"27","art",4.86710373258186e-06,0.00141237656087746,0.000222891381970272,4.93532259736158e-06,2.09447610488375e-05,8.18084554569394
"28","ask",0.00248709000734933,0.00207397861587097,0.00275773454947533,0.003262248236856,0.00171556633681841,-0.262057700317547
"29","assist",0.00073493266361986,0.00126855002718321,4.37041925431906e-06,4.93532259736158e-06,0.000401758598300428,0.787496437611692
"30","athlet",0.00102695888757477,2.87653067388484e-06,4.37041925431906e-06,4.93532259736158e-06,1.90406918625795e-06,-8.47983285732793
"31","audienc",0.00122164303687805,0.000491886745234308,4.37041925431906e-06,4.93532259736158e-06,0.00101106073790297,-1.31242470768562
"32","avail",0.0019030375594395,0.000779539812622792,4.37041925431906e-06,0.00148553210180583,0.000154229604086894,-1.28760942457423
"33","bad",4.86710373258186e-06,0.00109595818675012,0.000791045885031751,4.93532259736158e-06,0.000535043441338485,7.81491351887257
"34","behavior",0.00127031407420386,0.000405590825017763,0.000791045885031751,4.93532259736158e-06,0.000554084133201064,-1.64708831279184
"35","best",4.86710373258186e-06,0.00172879493500479,0.00144660877317961,0.00128811919791137,0.0015442001100552,8.47248751209044
"36","better",0.000637590588968223,0.00146990717435515,0.00140290458063642,0.0013868256498586,0.00169652564495584,1.20502281077942
"37","bever",4.86710373258186e-06,0.00109595818675012,4.37041925431906e-06,4.93532259736158e-06,1.90406918625795e-06,7.81491351887257
"38","big",4.86710373258186e-06,0.00129731533392206,0.000878454270118133,0.000202348226491825,0.00207733948220742,8.05824995463463
"39","bit",0.00180569548478787,0.00342594803259684,4.80746117975097e-05,0.00370642727061854,0.00211542086593258,0.923948652622561
"40","blood",0.00282778726863006,2.87653067388484e-06,4.37041925431906e-06,4.93532259736158e-06,2.09447610488375e-05,-9.94112802202528
"41","blue",0.00102695888757477,2.87653067388484e-06,4.37041925431906e-06,0.000251701452465441,9.71075284991556e-05,-8.47983285732793
"42","bodi",0.00243841897002351,0.000117937757629278,0.000310299767056654,4.93532259736158e-06,1.90406918625795e-06,-4.36984845719788
"43","book",0.00165968237281041,0.00308076435173066,4.37041925431906e-06,4.93532259736158e-06,2.09447610488375e-05,0.892381167105335
"44","brain",0.0021463927460686,2.87653067388484e-06,0.000222891381970272,4.93532259736158e-06,0.000401758598300428,-9.54336851417827
"45","call",0.0029251293432817,0.0042313766212846,0.00481183159900529,4.93532259736158e-06,0.00139187457515456,0.532626681922896
"46","came",0.000686261626294041,0.00167126432152709,4.37041925431906e-06,4.93532259736158e-06,0.000953938662315234,1.28410933238499
"47","campus",4.86710373258186e-06,0.00184385616196018,0.00275773454947533,4.93532259736158e-06,5.90261447739966e-05,8.56544687799799
"48","can",0.00175702444746205,0.000434356131756611,4.37041925431906e-06,4.93532259736158e-06,0.000249433063399792,-2.01618395618284
"49","cancer",0.00156234029815878,2.87653067388484e-06,4.37041925431906e-06,4.93532259736158e-06,1.90406918625795e-06,-9.08516315574305
"50","care",0.00297380038060751,0.000348060211540066,0.0019710590836979,4.93532259736158e-06,0.00142995595887972,-3.09489900116488
"51","career",4.86710373258186e-06,0.00285064189781988,4.37041925431906e-06,0.000251701452465441,1.90406918625795e-06,9.19400757856574
"52","case",4.86710373258186e-06,0.00204521330913212,0.00725926638142397,0.000547820808307135,0.00158228149378036,8.71497208099867
"53","cell",0.00229240585804605,2.87653067388484e-06,9.17788043407003e-05,4.93532259736158e-06,0.000192310987812053,-9.63831691823353
"54","center",0.00175702444746205,0.00103842757327243,0.00188365069861152,0.00109070629401691,3.9985452911417e-05,-0.758733668620748
"55","challeng",0.00185436652211369,2.87653067388484e-06,4.37041925431906e-06,0.00118941274596414,0.00251527539504675,-9.33238085611407
"56","chang",0.00263310311932678,0.000980896959794731,4.37041925431906e-06,0.000449114356359903,0.00632341376756266,-1.42459052342339
"57","chapter",4.86710373258186e-06,0.00126855002718321,4.37041925431906e-06,4.93532259736158e-06,1.90406918625795e-06,8.02590117693677
