"","x"
"think",1657
"realli",1440
"work",1328
"peopl",1194
"time",948
"don",924
"student",809
"need",802
"now",786
"talk",783
"question",706
"use",696
"year",656
"differ",619
"actual",611
"help",512
"someth",486
"tri",486
"mean",477
"littl",465
"start",465
"first",456
"thank",448
"chang",429
"import",424
"good",423
"learn",411
"problem",410
"data",398
"research",395
"hear",391
"call",390
"mani",384
"give",375
"happen",370
"program",369
"system",363
"let",361
"part",347
"understand",344
"bit",343
"ask",342
"point",338
"abl",335
"might",334
"case",331
"support",324
"technolog",324
"day",312
"interest",311
"state",309
"person",302
"tell",299
"process",298
"school",298
"world",294
"develop",293
"famili",293
"find",293
"everi",292
"mayb",290
"may",286
"sort",283
"today",275
"place",273
"inform",272
"colleg",271
"stori",270
"group",267
"idea",267
"issu",266
"creat",264
"end",264
"experi",260
"provid",250
"set",246
"thought",245
"done",244
"cour",243
"didn",242
"team",238
"organ",231
"cost",225
"exampl",224
"job",224
"studi",222
"servic",221
"last",217
"level",216
"better",213
"life",212
"term",211
"write",208
"focus",205
"long",205
"move",205
"well",205
"probabl",203
"certain",202
"particular",202
"anoth",200
"best",200
"militari",200
"databa",199
"resourc",198
"wind",198
"law",197
"number",197
"high",195
"challeng",194
"base",193
"care",193
"human",193
"live",193
"present",193
"project",192
"reason",191
"answer",189
"second",189
"power",187
"feel",185
"honor",184
"health",183
"stuff",183
"togeth",183
"social",180
"deci",179
"expert",179
"music",179
"show",179
"big",178
"alway",177
"compani",177
"comput",177
"type",177
"communiti",176
"machin",176
"model",176
"often",176
"univ",175
"figur",174
"scienc",174
"advi",173
"folk",173
"busi",171
"continu",169
"basic",168
"educ",168
"manag",167
"secur",167
"advisor",165
"futur",164
"practic",164
"women",164
"forc",162
"product",162
"keep",161
"build",160
"made",160
"nation",160
"field",159
"public",159
"money",158
"test",158
"turn",157
"licen",156
"market",156
"polici",156
"requir",156
"class",155
"doesn",155
"relat",155
"yeah",154
"aid",153
"area",153
"bring",153
"pretti",153
"train",153
"meet",152
"member",152
"effect",151
"hard",151
"impact",151
"share",150
"four",149
"love",149
"fact",148
"whole",148
"opportun",147
"read",147
"sometim",147
"approach",146
"plea",146
"quick",146
"found",145
"engag",144
"book",142
"offic",142
"teach",142
"becom",141
"believ",139
"center",139
"name",139
"one",139
"activ",138
"everyth",138
"hand",138
"minut",137
"plan",137
"faculti",136
"special",136
"alreadi",135
"includ",135
"specif",135
"countri",134
"critic",134
"industri",134
"involv",134
"applic",133
"yes",133
"individu",132
"week",132
"patient",131
"campus",130
"design",130
"hope",130
"never",130
"skill",130
"valu",130
"guy",129
"materi",128
"success",128
"environ",127
"fund",127
"key",127
"leadership",127
"within",127
"across",126
"collect",126
"coupl",126
"pay",126
"report",126
"sen",126
"respon",125
"everyon",123
"came",122
"real",122
"room",122
"went",121
"connect",120
"mention",120
"oper",120
"speak",120
"begin",119
"direct",119
"okay",119
"open",119
"children",118
"govern",118
"slide",118
"without",118
"hour",117
"risk",117
"energi",116
"improv",116
"allow",115
"major",115
"institut",114
"posit",114
"word",113
"appli",112
"clear",112
"order",112
"network",111
"parent",111
"partner",111
"solv",111
"tool",111
"access",110
"justic",110
"less",110
"perform",110
"anyth",109
"applaus",109
"control",109
"exist",109
"lead",109
"paper",109
"graduat",108
"guess",108
"econom",107
"languag",107
"complet",106
"custom",106
"depart",106
"intern",106
"line",106
"exact",105
"final",105
"imagin",105
"profess",105
"someon",105
"wonder",105
"avail",104
"career",104
"everybodi",104
"face",104
"general",104
"mind",104
"pathway",104
"possibl",104
"form",103
"relationship",102
"academ",101
"collabor",101
"employ",101
"home",101
"month",101
"address",100
"away",99
"becaus",99
"discuss",99
"play",99
"role",99
"identifi",98
"increa",98
"step",98
"context",97
"deal",97
"friend",97
"quit",97
"forward",96
"guid",96
"matter",96
"structur",96
"audienc",95
"consid",95
"enough",95
"panel",95
"whatev",95
"later",94
"addit",93
"consum",93
"outsid",93
"piec",93
"caus",92
"ear",91
"fall",91
"goal",91
"least",91
"sexual",91
"competit",90
"conver",90
"engin",90
"grade",90
"though",90
"obvious",89
"regul",89
"result",89
"abil",88
"decid",88
"expect",88
"higher",88
"narrat",88
"signif",88
"behavior",87
"counselor",87
"crimin",87
"ever",87
"excit",87
"absolut",86
"board",86
"either",86
"factor",86
"generat",86
"join",86
"low",86
"drive",85
"effort",85
"given",85
"intellig",85
"recommend",85
"somebodi",85
"strategi",85
"survey",85
"teacher",85
"bad",84
"benefit",84
"client",84
"haven",84
"rememb",84
"seem",84
"space",84
"top",84
"code",83
"psycholog",83
"user",83
"close",82
"definit",82
"option",82
"potenti",82
"professor",82
"side",82
"walk",82
"far",81
"goe",81
"old",81
"path",81
"right",81
"unit",81
"yet",81
"assist",80
"execut",80
"judg",80
"master",80
"phd",80
"scenario",80
"self",80
"sleep",80
"took",80
"doctor",79
"initi",79
"moment",79
"serv",79
"sinc",79
"small",79
"wasn",79
"welcom",79
"advanc",78
"especi",78
"knowledg",78
"repr",78
"toward",78
"capabl",77
"kid",77
"leader",77
"leav",77
"rather",77
"sql",77
"devic",76
"email",76
"medic",76
"perspect",76
"protect",76
"sever",76
"situat",76
"describ",75
"sound",75
"age",74
"child",74
"current",74
"deploy",74
"easi",74
"loss",74
"occup",74
"realiz",74
"told",74
"view",74
"condit",73
"degr",73
"page",73
"past",73
"stop",73
"digit",72
"ethic",72
"full",72
"natur",72
"phone",72
"popul",72
"privat",72
"sit",72
"achiev",71
"american",71
"buy",71
"capac",71
"choic",71
"cover",71
"happi",71
"huge",71
"integr",71
"interact",71
"larg",71
"new",71
"physic",71
"stay",71
"topic",71
"brain",70
"counsel",70
"rang",70
"worker",70
"alzheim",69
"event",69
"heard",69
"list",69
"presid",69
"solut",69
"standard",69
"communic",68
"histori",68
"post",68
"progress",68
"qualif",68
"subject",68
"watch",68
"assess",67
"break",67
"credit",67
"cultur",67
"feder",67
"finish",67
"frame",67
"inaud",67
"instead",67
"isn",67
"knew",67
"local",67
"offer",67
"postdoc",67
"staff",67
"transit",67
"veteran",67
"almost",66
"along",66
"head",66
"outcom",66
"predict",66
"recent",66
"target",66
"wouldn",66
"analysi",65
"autom",65
"global",65
"hous",65
"readi",65
"singl",65
"third",65
"transform",65
"wrong",65
"action",64
"can",64
"colleagu",64
"common",64
"director",64
"incr",64
"jail",64
"saw",64
"spend",64
"usual",64
"affect",63
"clinic",63
"interview",63
"introduc",63
"platform",63
"suggest",63
"add",62
"built",62
"comment",62
"motiv",62
"price",62
"scale",62
"shift",62
"storytel",62
"app",61
"armi",61
"bodi",61
"combin",61
"court",61
"free",61
"innov",61
"left",61
"limit",61
"morn",61
"rate",61
"recogn",61
"societi",61
"defin",60
"entir",60
"note",60
"prevent",60
"similar",60
"true",60
"trust",60
"artifici",59
"blood",59
"cell",59
"concept",59
"enabl",59
"essenti",59
"listen",59
"mental",59
"pick",59
"sign",59
"theori",59
"commit",58
"consist",58
"follow",58
"function",58
"influenc",58
"lab",58
"nice",58
"push",58
"reach",58
"seven",58
"task",58
"tradit",58
"transfer",58
"won",58
"aren",57
"citi",57
"cognit",57
"deliv",57
"fair",57
"insid",57
"noth",57
"rest",57
"softwar",57
"websit",57
"worri",57
"algorithm",56
"appreci",56
"car",56
"concern",56
"couldn",56
"evid",56
"hey",56
"next",56
"size",56
"sorri",56
"adapt",55
"anybodi",55
"art",55
"california",55
"half",55
"known",55
"measur",55
"pool",55
"record",55
"reduc",55
"tech",55
"wanna",55
"compil",54
"spent",54
"act",53
"awar",53
"bottom",53
"choo",53
"front",53
"harass",53
"legal",53
"messag",53
"pass",53
"publish",53
"rai",53
"reduct",53
"thei",53
"young",53
"agr",52
"cloud",52
"confer",52
"feedback",52
"fine",52
"invit",52
"like",52
"man",52
"necessarili",52
"optim",52
"particip",52
"polit",52
"prepar",52
"realiti",52
"session",52
"sugar",52
"track",52
"amount",51
"chief",51
"compar",51
"dollar",51
"ensur",51
"invest",51
"light",51
"must",51
"send",51
"summer",51
"tabl",51
"typic",51
"ahead",50
"amaz",50
"attent",50
"chanc",50
"core",50
"determin",50
"emerg",50
"familiar",50
"fast",50
"hold",50
"just",50
"mathemat",50
"million",50
"per",50
"server",50
"simpl",50
"simpli",50
"stanford",50
"vision",50
"whi",50
"depend",49
"eight",49
"element",49
"financ",49
"fit",49
"gain",49
"hospit",49
"memori",49
"method",49
"onlin",49
"suppo",49
"titl",49
"touch",49
"wrote",49
"account",48
"behind",48
"bunch",48
"complex",48
"earlier",48
"effici",48
"hundr",48
"lawyer",48
"longer",48
"map",48
"occur",48
"qualiti",48
"receiv",48
"select",48
"treatment",48
"video",48
"visit",48
"white",48
"administr",47
"charg",47
"difficult",47
"literatur",47
"math",47
"perhap",47
"reform",47
"sell",47
"technic",47
"thousand",47
"violenc",47
"written",47
"audiologist",46
"content",46
"dispen",46
"equal",46
"explain",46
"file",46
"gave",46
"lower",46
"object",46
"observ",46
"peer",46
"period",46
"site",46
"sustain",46
"ten",46
"throughout",46
"various",46
"check",45
"civil",45
"emot",45
"learner",45
"letter",45
"main",45
"manufactur",45
"senior",45
"short",45
"woman",45
"beyond",44
"chapter",44
"deep",44
"encourag",44
"gcses",44
"gone",44
"histor",44
"inspir",44
"non",44
"notic",44
"produc",44
"semest",44
"wait",44
"attack",43
"bias",43
"bill",43
"damag",43
"independ",43
"labor",43
"percent",43
"polic",43
"queri",43
"rule",43
"total",43
"uniqu",43
"anyon",42
"campaign",42
"cassel",42
"contribut",42
"counter",42
"drug",42
"electr",42
"exerci",42
"fundament",42
"ground",42
"grow",42
"make",42
"smart",42
"survivor",42
"background",41
"hire",41
"mentor",41
"movement",41
"multipl",41
"night",41
"principl",41
"pull",41
"stand",41
"stress",41
"volum",41
"zero",41
"anymor",40
"anyway",40
"felt",40
"floor",40
