"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abl",0.00430068632471004,5.12883636960446e-06,0.00331159330054168,0.00191670556188931,0.00103713005054519,-9.71171965092445
"2","absolut",0.0014116398040146,5.12883636960446e-06,0.000120633833509744,0.000807235276564162,3.97367835457927e-06,-8.1045247558383
"3","access",0.00145861617020477,5.64172000656491e-05,0.00529621443247619,0.00130458402515819,3.97367835457927e-06,-4.6923214147103
"4","across",0.00197535619829664,0.000107705563761694,3.8914139841853e-06,3.82575960456949e-06,0.00111660361763677,-4.1969481426035
"5","actual",0.00322022990233613,0.00333887247661251,0.00821477492061515,0.00765534496874355,0.00461344056966653,0.0521973022592964
"6","add",0.000119789733784933,0.00118476120137863,0.00253331050370463,0.00134284162120389,3.97367835457927e-06,3.30602012431745
"7","adjac",2.34881830950849e-06,0.00292856556704415,3.8914139841853e-06,3.82575960456949e-06,3.97367835457927e-06,10.2840433602357
"8","algorithm",2.34881830950849e-06,0.00990378302970622,4.28055538260383e-05,3.82575960456949e-06,0.00115634040118257,12.0418288738235
"9","allow",0.00253907259257867,0.000569300837026096,0.00233873980449536,3.82575960456949e-06,0.000917919699907811,-2.15703851651166
"10","along",0.000613041578781715,0.00128733792877072,0.000548689371770126,4.20833556502644e-05,3.97367835457927e-06,1.07033398225377
"11","alreadi",0.00136466343782443,0.00251825865747579,0.00171611356702572,8.03409516959592e-05,0.000361604730266713,0.88388128578305
"12","alway",0.00134117525472935,0.00174893320203512,0.00058760351161198,0.0020314783500264,0.000123184028991957,0.382977418534215
"13","analyt",0.0029618598882902,5.12883636960446e-06,4.28055538260383e-05,3.82575960456949e-06,3.97367835457927e-06,-9.17365613545534
"14","announc",0.00105931705758833,5.12883636960446e-06,3.8914139841853e-06,3.82575960456949e-06,0.00016292081253775,-7.6902871983825
"15","anoth",0.000871411592827648,0.00446721647792549,0.00128805802876533,0.00210799354211779,0.00123581396827415,2.35794995685095
"16","anywh",2.34881830950849e-06,0.00123604956507468,0.000354118672560862,3.82575960456949e-06,3.97367835457927e-06,9.03958576110285
"17","applic",0.0073071737608809,5.12883636960446e-06,0.000548689371770126,3.82575960456949e-06,4.3710461900372e-05,-10.4764662546615
"18","approach",0.0011062934237785,0.000466724109634006,0.00136588630844904,3.82575960456949e-06,0.000917919699907811,-1.2450921845412
"19","arc",2.34881830950849e-06,0.00128733792877072,3.8914139841853e-06,3.82575960456949e-06,3.97367835457927e-06,9.09823997882366
"20","architectur",0.00225721439543766,5.12883636960446e-06,0.000743260070979391,0.000195113739833044,3.97367835457927e-06,-8.78169619590087
"21","area",0.00225721439543766,5.12883636960446e-06,0.000120633833509744,3.82575960456949e-06,0.00199081285564421,-8.78169619590087
"22","argument",2.34881830950849e-06,0.0010308961102905,3.8914139841853e-06,4.20833556502644e-05,3.97367835457927e-06,8.77774811605181
"23","aspect",0.00117675797306375,0.000107705563761694,0.000393032812402715,3.82575960456949e-06,0.000321867946720921,-3.44965294554356
"24","asset",0.00103582887449324,5.12883636960446e-06,3.8914139841853e-06,3.82575960456949e-06,3.97367835457927e-06,-7.65793842068464
"25","associ",2.58370014045933e-05,0.00118476120137863,0.000509775231928274,3.82575960456949e-06,3.97367835457927e-06,5.51901384765165
"26","assum",2.58370014045933e-05,0.00159506811094699,3.8914139841853e-06,0.000730720084472772,4.3710461900372e-05,5.94803557636619
"27","autom",0.00164652163496545,0.000107705563761694,3.8914139841853e-06,3.82575960456949e-06,3.97367835457927e-06,-3.93425678635898
"28","avail",0.00176396255044087,0.000158993927457738,0.00128805802876533,3.82575960456949e-06,3.97367835457927e-06,-3.47177636225451
"29","base",0.00244511986019833,0.00144120301985885,0.000898916630346803,0.00145761440934097,0.000639762215087262,-0.762631608205605
"30","basic",0.0014116398040146,0.00297985393074019,0.00373964883880207,3.82575960456949e-06,0.000202657596083543,1.07786959756623
"31","becom",0.00223372621234257,0.000979607746594452,3.8914139841853e-06,0.000462916912152908,0.00214975998982738,-1.18917627795193
"32","begin",0.00058955339568663,0.00164635647464303,3.8914139841853e-06,3.82575960456949e-06,0.000242394379629335,1.48158235804442
"33","best",0.00112978160687358,0.000877031019202364,0.00128805802876533,0.000730720084472772,0.000997393266999396,-0.365344144011258
"34","bfs",2.34881830950849e-06,0.00123604956507468,3.8914139841853e-06,3.82575960456949e-06,3.97367835457927e-06,9.03958576110285
"35","big",0.00662601645112344,5.12883636960446e-06,0.000665431791295685,0.00145761440934097,0.000242394379629335,-10.3352945257127
"36","bigger",2.34881830950849e-06,0.00215924011160348,3.8914139841853e-06,0.000654204892381382,3.97367835457927e-06,9.84437284793928
"37","bit",0.000753970677352224,0.00169764483833908,0.00428444679658801,0.00398261574835684,0.000838446132816226,1.1709543445578
"38","boston",2.34881830950849e-06,0.00159506811094699,3.8914139841853e-06,3.82575960456949e-06,4.3710461900372e-05,9.40746719500349
"39","bring",0.0026565135080541,5.12883636960446e-06,3.8914139841853e-06,0.000922008064701247,3.97367835457927e-06,-9.01668678911694
"40","build",0.00277395442352952,0.00159506811094699,0.00229982566465351,0.0019932207539807,0.00135502431891153,-0.798326054393668
"41","built",0.00112978160687358,5.64172000656491e-05,0.00210525496544424,0.000309886527970128,3.97367835457927e-06,-4.32376504025986
"42","busi",0.00787089015516294,5.12883636960446e-06,3.8914139841853e-06,0.000233371335878739,3.97367835457927e-06,-10.5836795463316
"43","call",0.000871411592827648,0.00739065320860003,0.0103161384720752,0.00206973594607209,0.00211002320628159,3.08427566842683
"44","capabl",0.00272697805733935,5.64172000656491e-05,4.28055538260383e-05,8.03409516959592e-05,3.97367835457927e-06,-5.59502421335538
"45","car",0.0021867498461524,5.12883636960446e-06,4.28055538260383e-05,4.20833556502644e-05,3.97367835457927e-06,-8.73594093268591
"46","case",0.00209279711377206,0.0043646397505334,0.00498490131374136,3.82575960456949e-06,3.97367835457927e-06,1.06043012503693
"47","cell",0.00122373433925392,0.000107705563761694,3.8914139841853e-06,3.82575960456949e-06,3.97367835457927e-06,-3.50612571462686
"48","center",0.00693136283135954,5.12883636960446e-06,0.000159547973351597,4.20833556502644e-05,3.97367835457927e-06,-10.4002917805591
"49","certain",0.00143512798710969,5.12883636960446e-06,0.000898916630346803,0.00264359988675752,0.000441078297358299,-8.12833214494584
"50","challeng",0.00195186801520155,5.12883636960446e-06,0.000237376253035303,3.82575960456949e-06,0.000480815080904091,-8.57200824189746
"51","chang",0.00331418263471648,0.000364147382241917,0.00229982566465351,0.00317920623139724,0.00270607495946848,-3.1860587282197
"52","check",0.000143277916880018,0.0010308961102905,0.000976744910030509,0.000960265660746941,0.000441078297358299,2.84701077848893
"53","choic",2.34881830950849e-06,0.00164635647464303,0.000315204532719009,3.82575960456949e-06,0.000123184028991957,9.45312591199519
"54","choo",0.000260718832355442,0.00118476120137863,0.00019846211319345,3.82575960456949e-06,0.000520551864449884,2.18402959993884
"55","class",0.00223372621234257,0.00113347283768259,0.000354118672560862,3.82575960456949e-06,3.97367835457927e-06,-0.978702546596246
"56","classic",2.34881830950849e-06,0.00200537502051535,3.8914139841853e-06,3.82575960456949e-06,3.97367835457927e-06,9.73772122218024
"57","client",0.00155256890258511,5.12883636960446e-06,0.000937830770188656,3.82575960456949e-06,3.97367835457927e-06,-8.24181003663481
"58","cloud",0.0221751936600696,5.12883636960446e-06,3.8914139841853e-06,0.000309886527970128,3.97367835457927e-06,-12.0780275391467
"59","cold",0.00105931705758833,5.12883636960446e-06,3.8914139841853e-06,3.82575960456949e-06,3.97367835457927e-06,-7.6902871983825
"60","communic",0.00127071070544409,0.00272341211225997,4.28055538260383e-05,3.82575960456949e-06,0.000361604730266713,1.09977969185022
"61","compani",0.00620322915541191,5.64172000656491e-05,3.8914139841853e-06,0.00226102392630057,0.000441078297358299,-6.78074054265691
"62","complet",0.000260718832355442,0.00262083538486788,3.8914139841853e-06,0.00130458402515819,0.000639762215087262,3.3294600394604
"63","compon",2.34881830950849e-06,0.0057494255703266,0.000431946952244568,3.82575960456949e-06,3.97367835457927e-06,11.2572669876783
