"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abil",3.44103781700561e-05,0.00142686720778461,2.34131722507082e-05,3.41868654063109e-05,0.000317451155810799,5.37386351821347
"2","abl",3.44103781700561e-05,0.00470164440597881,0.00236473039732153,0.00037605551946942,0.000317451155810799,7.09417787182952
"3","absolut",3.44103781700561e-05,0.00189469252181236,2.34131722507082e-05,3.41868654063109e-05,2.88591959827999e-05,5.78297618353521
"4","account",0.0031313444134751,2.33912657013871e-05,2.34131722507082e-05,3.41868654063109e-05,2.88591959827999e-05,-7.06466845954811
"5","actual",3.44103781700561e-05,0.00774250894715913,2.34131722507082e-05,3.41868654063109e-05,0.00868661799082278,7.81381358745781
"6","addit",0.0014108255049723,2.33912657013871e-05,0.00119407178478612,3.41868654063109e-05,2.88591959827999e-05,-5.9144258239675
"7","aim",0.0014108255049723,2.33912657013871e-05,2.34131722507082e-05,3.41868654063109e-05,2.88591959827999e-05,-5.9144258239675
"8","alarm",0.00416365575857679,2.33912657013871e-05,2.34131722507082e-05,3.41868654063109e-05,2.88591959827999e-05,-7.47573705662401
"9","algorithm",0.0014108255049723,2.33912657013871e-05,0.000725808339771955,3.41868654063109e-05,0.0011832270352948,-5.9144258239675
"10","allow",0.00244313685007398,2.33912657013871e-05,0.00236473039732153,3.41868654063109e-05,2.88591959827999e-05,-6.70662093885409
"11","alreadi",3.44103781700561e-05,0.00166077986479848,2.34131722507082e-05,0.00037605551946942,0.00493492251305879,5.59287330015527
"12","alway",3.44103781700561e-05,0.00166077986479848,2.34131722507082e-05,3.41868654063109e-05,0.00320337075409079,5.59287330015527
"13","amaz",0.00106672172327174,0.000257303922715258,2.34131722507082e-05,3.41868654063109e-05,2.88591959827999e-05,-2.05163851109899
"14","anali",0.00106672172327174,2.33912657013871e-05,2.34131722507082e-05,3.41868654063109e-05,2.88591959827999e-05,-5.51107012973629
"15","analyt",0.00106672172327174,2.33912657013871e-05,0.00423778417737819,3.41868654063109e-05,2.88591959827999e-05,-5.51107012973629
"16","anomali",0.00106672172327174,2.33912657013871e-05,2.34131722507082e-05,3.41868654063109e-05,2.88591959827999e-05,-5.51107012973629
"17","anoth",3.44103781700561e-05,0.00306425580688171,2.34131722507082e-05,3.41868654063109e-05,0.00291477879426279,6.47654918218804
"18","anticip",0.00106672172327174,2.33912657013871e-05,2.34131722507082e-05,3.41868654063109e-05,2.88591959827999e-05,-5.51107012973629
