"","x"
"exampl",97
"learn",75
"use",71
"label",65
"data",59
"featur",45
"cluster",44
"distanc",41
"line",41
"think",41
"realli",36
"differ",34
"machin",33
"separ",32
"give",31
"now",31
"don",30
"case",29
"model",29
"comput",28
"find",26
"group",26
"program",26
"algorithm",25
"actual",23
"call",23
"decid",23
"measur",23
"reptil",22
"fact",20
"nice",20
"mani",19
"close",18
"posit",18
"weight",18
"best",17
"leg",17
"scale",17
"show",17
"time",17
"idea",16
"someth",16
"becaus",15
"let",15
"may",15
"pick",15
"player",15
"predict",15
"start",15
"tri",15
"fal",14
"class",13
"easi",13
"correct",12
"fit",12
"last",12
"negat",12
"point",12
"receiv",12
"set",12
"anoth",11
"associ",11
"basic",11
"blood",11
"cold",11
"footbal",11
"import",11
"instanc",11
"littl",11
"natur",11
"second",11
"togeth",11
"classifi",10
"closer",10
"divid",10
"figur",10
"infer",10
"john",10
"method",10
"number",10
"probabl",10
"root",10
"squar",10
"train",10
"true",10
"vector",10
"base",9
"charact",9
"displac",9
"four",9
"good",9
"height",9
"mean",9
"system",9
"talk",9
"allig",8
"almost",8
"better",8
"democrat",8
"either",8
"first",8
"lectur",8
"overfit",8
"problem",8
"process",8
"republican",8
"side",8
"term",8
"alreadi",7
"code",7
"complic",7
"doesn",7
"euclidean",7
"everi",7
"everyth",7
"far",7
"frog",7
"guttag",7
"manhattan",7
"need",7
"question",7
"result",7
"simpl",7
"simpli",7
"unlabel",7
"work",7
"apart",6
"argu",6
"away",6
"cat",6
"center",6
"design",6
"dimen",6
"dog",6
"experi",6
"linear",6
"linemen",6
"mit",6
"near",6
"patriot",6
"pattern",6
"piec",6
"remind",6
"sen",6
"sensit",6
"spring",6
"today",6
"trade",6
"valu",6
"well",6
"ask",5
"avoid",5
"build",5
"chang",5
"closest",5
"compon",5
"cour",5
"dart",5
"deduc",5
"didn",5
"eric",5
"final",5
"follow",5
"given",5
"grimson",5
"happen",5
"incorrect",5
"inform",5
"mass",5
"metric",5
"might",5
"new",5
"part",5
"perfect",5
"place",5
"play",5
"pretti",5
"recognit",5
"snake",5
"solid",5
"specif",5
"surfac",5
"tell",5
"write",5
"year",5
"anim",4
"averag",4
"behind",4
"big",4
"bunch",4
"captur",4
"choic",4
"complet",4
"coupl",4
"creat",4
"curv",4
"done",4
"drive",4
"egg",4
"engin",4
"england",4
"lay",4
"lead",4
"least",4
"mayb",4
"memor",4
"mind",4
"particular",4
"plane",4
"power",4
"professor",4
"properti",4
"python",4
"return",4
"salmon",4
"similar",4
"smile",4
"standard",4
"subject",4
"techniqu",4
"throw",4
"valid",4
"vote",4
"without",4
"abil",3
"abl",3
"absolut",3
"accuraci",3
"add",3
"along",3
"anyth",3
"assign",3
"begin",3
"binari",3
"bit",3
"black",3
"boa",3
"born",3
"checker",3
"classif",3
"clear",3
"compar",3
"complex",3
"constrictor",3
"convolut",3
"dash",3
"dot",3
"element",3
"exemplar",3
"explicit",3
"fan",3
"finish",3
"fund",3
"gave",3
"general",3
"googl",3
"grade",3
"half",3
"haven",3
"implicit",3
"issu",3
"job",3
"left",3
"less",3
"level",3
"matter",3
"median",3
"multipl",3
"normal",3
"noth",3
"obvious",3
"one",3
"output",3
"overlap",3
"pair",3
"pictur",3
"plot",3
"poison",3
"potenti",3
"pound",3
"predictor",3
"programm",3
"quot",3
"reason",3
"refin",3
"regress",3
"relat",3
"repeat",3
"repr",3
"rule",3
"saw",3
"singl",3
"small",3
"space",3
"statist",3
"supervi",3
"suppo",3
"task",3
"test",3
"thank",3
"topic",3
"unit",3
"version",3
"view",3
"vision",3
"week",3
"wide",3
"world",3
"worri",3
"wrote",3
"yet",3
"accid",2
"alway",2
"anybodi",2
"appli",2
"appropri",2
"astrolog",2
"axe",2
"axi",2
"bad",2
"beat",2
"becom",2
"boston",2
"boy",2
"built",2
"came",2
"capabl",2
"care",2
"categor",2
"certain",2
"chess",2
"circl",2
"clean",2
"color",2
"combin",2
"common",2
"compani",2
"comparison",2
"consequ",2
"constant",2
"correl",2
"current",2
"deal",2
"deci",2
"detail",2
"detect",2
"diagnosi",2
"dimens",2
"direct",2
"draw",2
"ear",2
"enabl",2
"end",2
"equal",2
"essenti",2
"evalu",2
"exact",2
"explor",2
"eye",2
"face",2
"facebook",2
"favorit",2
"field",2
"fix",2
"futur",2
"game",2
"generat",2
"goal",2
"goe",2
"gpa",2
"hand",2
"hard",2
"heavili",2
"high",2
"highlight",2
"hope",2
"human",2
"improv",2
"input",2
"intend",2
"interest",2
"irrelev",2
"isn",2
"keep",2
"kick",2
"knew",2
"knowledg",2
"languag",2
"larg",2
"lineman",2
"made",2
"maxim",2
"minkowski",2
"month",2
"name",2
"nearest",2
"neighbor",2
"netflix",2
"newton",2
"notic",2
"object",2
"observ",2
"old",2
"opencoursewar",2
"optim",2
"order",2
"paradigm",2
"percentag",2
"possibl",2
"prefer",2
"produc",2
"rai",2
"random",2
"read",2
"recogn",2
"recommend",2
"red",2
"reject",2
"relev",2
"repres",2
"right",2
"samuel",2
"satisfi",2
"say",2
"scienc",2
"sequenc",2
"seven",2
"slide",2
"solv",2
"sort",2
"sound",2
"statement",2
"subsurfac",2
"suggest",2
"sum",2
"take",2
"tend",2
"thought",2
"tight",2
"toler",2
"versus",2
"visit",2
"watch",2
"weigh",2
"wherea",2
"whi",2
"won",2
"accur",1
"acknowledg",1
"addit",1
"admiss",1
"admit",1
"advantag",1
"age",1
"algorothm",1
"alpha",1
"alphago",1
"amazon",1
"amphibian",1
"amplif",1
"ana",1
"analog",1
"ani",1
"answer",1
"apolog",1
"approach",1
"aren",1
"arm",1
"art",1
"assist",1
"assur",1
"audienc",1
"autonom",1
"avenu",1
"awar",1
"befor",1
"behavior",1
"belabor",1
"believ",1
"belong",1
"bennett",1
"beta",1
"bigger",1
"biolog",1
"birth",1
"block",1
"blow",1
"book",1
"bore",1
"bostonian",1
"brain",1
"brake",1
"bring",1
"broad",1
"cancer",1
"candid",1
"car",1
"card",1
"carri",1
"categori",1
"central",1
"centuri",1
"chapter",1
"characterist",1
"check",1
"cheer",1
"chicken",1
"choo",1
"claim",1
"cobra",1
"collect",1
"compress",1
"concept",1
"conclus",1
"confus",1
"conquer",1
"constraint",1
"content",1
"continu",1
"convinc",1
"cost",1
"creativ",1
"credit",1
"cross",1
"crucial",1
"cubic",1
"danger",1
"day",1
"dean",1
"debat",1
"decent",1
"declar",1
"deep",1
"defin",1
"definit",1
"delib",1
"depart",1
"depend",1
"deviat",1
"diagon",1
"discoveri",1
"distinguish",1
"distribut",1
"donat",1
"doubt",1
"draft",1
"dragon",1
"drew",1
"drug",1
"dungeon",1
"earlier",1
"easier",1
"edu",1
"educ",1
"effect",1
"effici",1
"encourag",1
"enough",1
"equat",1
"equidist",1
"error",1
"especi",1
"establish",1
"everywh",1
"exam",1
"expect",1
"extend",1
"extrem",1
"facial",1
"fair",1
"fall",1
"fanci",1
"fascin",1
"fast",1
"feed",1
"feel",1
"filter",1
"finder",1
"fine",1
"five",1
"focus",1
"forget",1
"found",1
"fraud",1
"free",1
"front",1
"fudg",1
"function",1
"gentleman",1
"gentlemen",1
"gray",1
"great",1
"gronk",1
"gross",1
"grown",1
"hair",1
"handout",1
"handwritten",1
"heavi",1
"hedg",1
"help",1
"higher",1
"home",1
"huge",1
"hundr",1
"ibm",1
"identifi",1
"imag",1
"impact",1
"imper",1
"impress",1
"inbox",1
"inch",1
"includ",1
"increa",1
"indic",1
"influenc",1
"integ",1
"introduct",1
"intuit",1
"invent",1
"invest",1
"just",1
"kind",1
"larger",1
"leav",1
"led",1
"length",1
"licen",1
"lie",1
"list",1
"live",1
"long",1
"loop",1
"lousi",1
"love",1
"make",1
"materi",1
"matrix",1
"meant",1
"media",1
"medic",1
"million",1
"minim",1
"minut",1
"mistak",1
"mix",1
"mobiley",1
"money",1
"move",1
"nation",1
"nearbi",1
"net",1
"neural",1
"news",1
"nine",1
"noi",1
"non",1
"nose",1
"note",1
"notion",1
"numer",1
"obnoxi",1
"ocw",1
"offer",1
"offic",1
"onlin",1
"operat",1
"oppo",1
"organ",1
"outlin",1
"outsid",1
"oxford",1
"oxfordspark",1
"peopl",1
"perform",1
"plea",1
"pocket",1
"pop",1
"post",1
"ppv",1
"preval",1
"prior",1
"progress",1
"provid",1
"prune",1
"pull",1
"punch",1
"quadrat",1
"qualiti",1
"quick",1
"quit",1
"ran",1
"ratio",1
"rattlesnak",1
"real",1
"realiz",1
"reduc",1
"reinforc",1
"reli",1
"remov",1
"rephra",1
"replac",1
"research",1
"resourc",1
"respect",1
"rethink",1
"robot",1
"roc",1
"rout",1
"run",1
"sat",1
"scari",1
"schmill",1
"search",1
"seek",1
"seem",1
"segment",1
"segu",1
"servic",1
"shop",1
"shorter",1
"sigma",1
"sign",1
"signal",1
"simplest",1
"simul",1
"siri",1
"sit",1
"situat",1
"size",1
"social",1
"soon",1
"sophist",1
"sorri",1
"spam",1
"spatial",1
"speech",1
"speed",1
"spin",1
"star",1
"state",1
"statistician",1
"street",1
"stretch",1
"string",1
"stronger",1
"stu",1
"student",1
"studi",1
"style",1
"success",1
"support",1
"taught",1
"technolog",1
"text",1
"third",1
"thousand",1
"tighter",1
"tradit",1
"transform",1
"treat",1
"troubl",1
"truli",1
"truth",1
"tune",1
"turn",1
"twitter",1
"two",1
"typic",1
"unclassifi",1
"unclear",1
"unfortun",1
"univ",1
"unless",1
"unseen",1
"unsupervi",1
"valuabl",1
"vari",1
"varieti",1
"versa",1
"vice",1
"voter",1
"walk",1
"watson",1
"welcom",1
"whatev",1
"whether",1
"whole",1
"wikipedia",1
"wise",1
"wish",1
"within",1
"word",1
"worth",1
"wouldn",1
"wrong",1
"www",1
"yes",1
"york",1
