"","x"
"work",216
"realli",163
"time",153
"don",143
"peopl",143
"hire",128
"job",108
"busi",100
"good",98
"someon",89
"use",78
"philippin",73
"give",72
"differ",70
"virtual",70
"let",65
"talk",65
"assist",64
"first",61
"someth",61
"pay",60
"base",59
"find",58
"think",56
"month",55
"worker",55
"done",54
"need",54
"now",54
"year",54
"hour",52
"person",50
"help",49
"ask",46
"actual",44
"video",44
"didn",42
"offic",42
"start",42
"tri",42
"skill",41
"guy",40
"coupl",39
"train",39
"problem",37
"long",36
"post",36
"number",35
"recruit",35
"team",34
"day",33
"onlin",32
"big",31
"cost",31
"email",31
"employ",31
"upwork",31
"mean",30
"littl",29
"manag",29
"tell",29
"websit",29
"write",29
"bit",27
"stuff",27
"abl",26
"anoth",26
"better",26
"countri",26
"live",26
"option",26
"outsourc",26
"probabl",26
"term",26
"today",26
"week",26
"doesn",25
"select",25
"support",25
"trust",25
"disappear",24
"english",24
"experi",24
"home",24
"often",24
"send",24
"show",24
"staff",24
"alway",23
"task",23
"applic",22
"bonus",22
"dollar",22
"everyth",22
"filipino",22
"pretti",22
"question",22
"free",21
"mayb",21
"provid",21
"star",21
"call",20
"contract",20
"creat",20
"four",20
"hey",20
"honest",20
"import",20
"life",20
"might",20
"process",20
"project",20
"sort",20
"track",20
"design",19
"develop",19
"full",19
"happen",19
"next",19
"part",19
"reason",19
"click",18
"compani",18
"feedback",18
"may",18
"respond",18
"system",18
"contact",17
"hundr",17
"local",17
"never",17
"second",17
"test",17
"wrong",17
"cover",16
"deal",16
"end",16
"ever",16
"general",16
"learn",16
"salari",16
"sir",16
"voic",16
"win",16
"best",15
"grow",15
"high",15
"page",15
"point",15
"teach",15
"understand",15
"vas",15
"web",15
"whatev",15
"away",14
"build",14
"communic",14
"expect",14
"keep",14
"onlinejob",14
"recommend",14
"respon",14
"spend",14
"though",14
"account",13
"alreadi",13
"cultur",13
"descript",13
"everi",13
"exampl",13
"hard",13
"move",13
"owner",13
"quit",13
"requir",13
"search",13
"talent",13
"told",13
"usual",13
"yes",13
"add",12
"amaz",12
"app",12
"care",12
"figur",12
"least",12
"mention",12
"minut",12
"money",12
"paid",12
"rate",12
"sen",12
"servic",12
"set",12
"situat",12
"social",12
"somebodi",12
"specif",12
"super",12
"thousand",12
"tip",12
"type",12
"whole",12
"allow",11
"anyth",11
"bookkeep",11
"bunch",11
"eight",11
"enough",11
"fact",11
"feel",11
"implement",11
"internet",11
"interview",11
"list",11
"mistak",11
"obvious",11
"product",11
"rather",11
"reward",11
"solv",11
"third",11
"world",11
"awar",10
"basic",10
"client",10
"exact",10
"filter",10
"fix",10
"googl",10
"graphic",10
"haven",10
"hope",10
"languag",10
"link",10
"love",10
"made",10
"mani",10
"narrow",10
"perfect",10
"plan",10
"recogn",10
"relationship",10
"sent",10
"watch",10
"webmast",10
"benefit",9
"certain",9
"chang",9
"check",9
"daili",9
"data",9
"effort",9
"embarrass",9
"extra",9
"famili",9
"given",9
"goal",9
"human",9
"includ",9
"instead",9
"instruct",9
"integr",9
"invest",9
"last",9
"lower",9
"oper",9
"per",9
"read",9
"realiz",9
"research",9
"scare",9
"small",9
"sourc",9
"step",9
"ten",9
"thank",9
"thought",9
"took",9
"wasn",9
"won",9
"wouldn",9
"blog",8
"candid",8
"challeng",8
"detail",8
"effect",8
"either",8
"energi",8
"exist",8
"fair",8
"follow",8
"found",8
"gain",8
"gave",8
"handl",8
"happi",8
"hear",8
"huge",8
"inform",8
"leav",8
"less",8
"loyal",8
"manila",8
"outag",8
"phone",8
"plea",8
"posit",8
"prevent",8
"qualifi",8
"rememb",8
"resum",8
"simpl",8
"softwar",8
"sometim",8
"stop",8
"stuck",8
"worri",8
"addit",7
"afford",7
"becom",7
"boss",7
"bring",7
"caus",7
"chanc",7
"clear",7
"comput",7
"correct",7
"depend",7
"earlier",7
"fire",7
"freelanc",7
"half",7
"holiday",7
"issu",7
"letter",7
"level",7
"particular",7
"place",7
"power",7
"profess",7
"rockstar",7
"speech",7
"spent",7
"success",7
"tax",7
"tool",7
"toward",7
"user",7
"absolut",6
"advantag",6
"ahead",6
"amount",6
"answer",6
"articl",6
"attent",6
"avail",6
"begin",6
"bigger",6
"birthday",6
"bpo",6
"buy",6
