"","x"
"display",117
"use",47
"imag",41
"user",39
"interact",36
"exampl",34
"time",29
"ball",28
"first",28
"view",28
"camera",27
"project",26
"realli",26
"rotat",24
"system",24
"show",23
"surfac",22
"measur",21
"work",21
"differ",20
"size",20
"actual",19
"devic",19
"place",19
"object",18
"posit",18
"reflector",18
"track",18
"chang",17
"let",17
"optim",17
"angl",16
"projector",16
"applic",15
"instal",15
"peopl",15
"set",15
"base",14
"mean",14
"environ",13
"file",13
"move",13
"real",13
"space",13
"direct",12
"distort",12
"problem",12
"reflect",12
"shape",12
"think",12
"touch",12
"tri",12
"vertic",12
"best",11
"captur",11
"cour",11
"implement",11
"limit",11
"parallax",11
"point",11
"thank",11
"visibl",11
"anim",10
"compon",10
"effect",10
"import",10
"need",10
"paper",10
"region",10
"requir",10
"second",10
"tabl",10
"center",9
"connect",9
"data",9
"end",9
"figur",9
"hand",9
"ipad",9
"now",9
"occlus",9
"persist",9
"someth",9
"voxel",9
"within",9
"explor",8
"horizont",8
"insid",8
"side",8
"video",8
"big",7
"call",7
"comb",7
"cone",7
"content",7
"cube",7
"depth",7
"eye",7
"find",7
"focus",7
"front",7
"head",7
"howev",7
"left",7
"method",7
"physic",7
"possibl",7
"sever",7
"simpl",7
"sphere",7
"weight",7
"account",6
"anoth",6
"bodi",6
"close",6
"cool",6
"creat",6
"current",6
"detail",6
"displac",6
"distanc",6
"don",6
"explain",6
"face",6
"goal",6
"good",6
"illus",6
"interest",6
"larger",6
"low",6
"map",6
"materi",6
"mayb",6
"pepper",6
"pretti",6
"qualiti",6
"reconstruct",6
"select",6
"sensor",6
"sort",6
"static",6
"talk",6
"therefor",6
"throw",6
"top",6
"abl",5
"achiev",5
"appear",5
"area",5
"attach",5
"bad",5
"bit",5
"consid",5
"depend",5
"didn",5
"flat",5
"four",5
"frame",5
"function",5
"inform",5
"instanc",5
"light",5
"mani",5
"may",5
"multipl",5
"nice",5
"normal",5
"oper",5
"orient",5
"paramet",5
"part",5
"particular",5
"periph",5
"placement",5
"pre",5
"propo",5
"question",5
"room",5
"simpli",5
"though",5
"today",5
"util",5
"valu",5
"aspect",4
"build",4
"built",4
"calibr",4
"capacit",4
"configur",4
"degr",4
"detect",4
"dii",4
"easili",4
"export",4
"field",4
"final",4
"follow",4
"free",4
"futur",4
"generat",4
"guess",4
"heat",4
"home",4
"human",4
"indic",4
"iphon",4
"line",4
"mass",4
"match",4
"might",4
"often",4
"order",4
"panel",4
"perform",4
"perspect",4
"plastic",4
"present",4
"previous",4
"read",4
"relationship",4
"render",4
"research",4
"resolut",4
"saffir",4
"screen",4
"sdk",4
"setup",4
"sheet",4
"solv",4
"someon",4
"spheric",4
"start",4
"stl",4
"store",4
"supercar",4
"techniqu",4
"typic",4
"univ",4
"wall",4
"white",4
"whole",4
"accumul",3
"add",3
"adjust",3
"altern",3
"analyz",3
"appli",3
"approach",3
"arrang",3
"assign",3
"automat",3
"away",3
"basic",3
"behavior",3
"better",3
"binari",3
"blender",3
"boundari",3
"briefli",3
"bright",3
"capabl",3
"chat",3
"choo",3
"circl",3
"click",3
"code",3
"convent",3
"correct",3
"crucial",3
"design",3
"drift",3
"expect",3
"experi",3
"fact",3
"feedback",3
"feel",3
"fuse",3
"ghost",3
"glass",3
"green",3
"handl",3
"happen",3
"hard",3
"heart",3
"hit",3
"idea",3
"impact",3
"includ",3
"initi",3
"intent",3
"introduc",3
"intuit",3
"larg",3
"less",3
"littl",3
"long",3
"made",3
"mention",3
"mesh",3
"modul",3
"motion",3
"name",3
"omnidirect",3
"option",3
"otherwi",3
"pick",3
"pictur",3
"play",3
"potenti",3
"preci",3
"provid",3
"receiv",3
"reduct",3
"reset",3
"resist",3
"roll",3
"sampl",3
"scene",3
"script",3
"seem",3
"shown",3
"sight",3
"similar",3
"stage",3
"step",3
"surround",3
"taken",3
"technolog",3
"transpar",3
"true",3
"various",3
"virtual",3
"wave",3
"weird",3
"wireless",3
"workflow",3
"year",3
"yes",3
"yet",3
"zero",3
"zip",3
"abil",2
"action",2
"adopt",2
"affect",2
"alreadi",2
"although",2
"andi",2
"answer",2
"block",2
"board",2
"bottom",2
"bounc",2
"brighter",2
"broken",2
"brow",2
"busi",2
"calcul",2
"case",2
"centr",2
"color",2
"columbia",2
"complet",2
"complic",2
"comput",2
"concept",2
"confer",2
"conferenc",2
"control",2
"corner",2
"correspond",2
"curv",2
"demonstr",2
"directori",2
"discuss",2
"distribut",2
"download",2
"easi",2
"educ",2
"encount",2
"enough",2
"everyth",2
"extend",2
"extern",2
"featur",2
"fish",2
"fix",2
"folder",2
"freeli",2
"game",2
"gas",2
"geometri",2
"gradient",2
"graph",2
"half",2
"height",2
"high",2
"improv",2
"info",2
"ini",2
"input",2
"instead",2
"intern",2
"involv",2
"judgment",2
"kick",2
"kinect",2
"laptop",2
"last",2
"latenc",2
"least",2
"led",2
"lightweight",2
"local",2
"locat",2
"love",2
"magenta",2
"maintain",2
"matter",2
"maxim",2
"meet",2
"menu",2
"meter",2
"middl",2
"model",2
"must",2
"navig",2
"necessarili",2
"notion",2
"observ",2
"occlud",2
"occupi",2
"offic",2
"onto",2
"opposit",2
"over",2
"overcom",2
"patient",2
"perceiv",2
"percept",2
"pixel",2
"pokemon",2
"predict",2
"prefer",2
"product",2
"pyramid",2
"quantit",2
"rang",2
"rate",2
"red",2
"refer",2
"relea",2
"remot",2
"replac",2
"sarah",2
"score",2
"seamless",2
"search",2
"section",2
"sequenc",2
"sinc",2
"sit",2
"small",2
"smaller",2
"somewh",2
"sorri",2
"speaker",2
"speed",2
"spray",2
"stereo",2
"straightforward",2
"strang",2
"stripe",2
"strong",2
"structur",2
"studi",2
"supergirl",2
"suppo",2
"target",2
"thought",2
"togeth",2
"tutori",2
"understand",2
"uninstru",2
"unless",2
"varieti",2
"visual",2
"voic",2
"voltag",2
"volumetr",2
"voxon",2
"walk",2
"week",2
"without",2
"wonder",2
"accur",1
"accuraci",1
"acid",1
"acryl",1
"act",1
"actor",1
"actress",1
"addit",1
"address",1
"afford",1
"air",1
"airhol",1
"alexa",1
"algorithm",1
"along",1
"alright",1
"altar",1
"aluminium",1
"alway",1
"anaglyph",1
"analysi",1
"andr",1
"anymor",1
"anyth",1
"anywh",1
"apart",1
"archeolog",1
"archiv",1
"arm",1
"armenian",1
"assist",1
"associ",1
"assur",1
"attend",1
"attent",1
"audio",1
"author",1
"autom",1
"avail",1
"background",1
"banker",1
"becaus",1
"becom",1
"beforehand",1
"behind",1
"berlin",1
"bigger",1
"binocular",1
"black",1
"blue",1
"bore",1
"borough",1
"bound",1
"boxer",1
"break",1
"bring",1
"brook",1
"browser",1
"button",1
"cab",1
"cafeteria",1
"calendar",1
"calm",1
"candi",1
"candid",1
"cap",1
"carri",1
"cast",1
"ceil",1
"central",1
"centuri",1
"cephal",1
"certain",1
"challeng",1
"chanc",1
"characterist",1
"choic",1
"church",1
"cigarett",1
"circuit",1
"cloth",1
"cloud",1
"collabor",1
"collid",1
"com",1
"combin",1
"communic",1
"compel",1
"complex",1
"conceiv",1
"conclud",1
"condit",1
"conduct",1
"conductor",1
"conic",1
"construct",1
"contact",1
"contain",1
"contrast",1
"contribut",1
"conveni",1
"cooler",1
"coolest",1
"copi",1
"core",1
"corpor",1
"corro",1
"cosmos",1
"cost",1
"coupl",1
"cover",1
"crash",1
"creativ",1
"criteria",1
"cross",1
"cub",1
"cue",1
"cup",1
"cutleri",1
"david",1
"day",1
"debar",1
"decent",1
"decid",1
"decod",1
"decrea",1
"deeni",1
"defin",1
"delay",1
"deleg",1
"demand",1
"demo",1
"densiti",1
"depict",1
"descent",1
"desir",1
"despit",1
"destroy",1
"determin",1
"develop",1
"diagram",1
"diego",1
"difficult",1
"digit",1
"discov",1
"disea",1
"disfigur",1
"dispar",1
"doctor",1
"doesn",1
"dollar",1
"domain",1
"done",1
"dorm",1
"doubt",1
"draw",1
"drug",1
"durabl",1
"either",1
"electr",1
"electrostat",1
"ellipsoid",1
"email",1
"empir",1
"enabl",1
"enclo",1
"endur",1
"enjoy",1
"enter",1
"entir",1
"entranc",1
"equat",1
"especi",1
"essenti",1
"estim",1
"etc",1
"everyday",1
"everyon",1
"exact",1
"exceed",1
"excus",1
"exhibit",1
"exist",1
"expen",1
"explan",1
"expon",1
"exposit",1
"exten",1
"extra",1
"factor",1
"faith",1
"fall",1
"familiar",1
"fanci",1
"farther",1
"favorit",1
"feasibl",1
"feet",1
"fender",1
"film",1
"finger",1
"flexibl",1
"flight",1
"float",1
"floor",1
"flower",1
"forsyth",1
"forth",1
"found",1
"founder",1
"freedom",1
"friend",1
"full",1
"fulli",1
"fun",1
"furnac",1
"furnitur",1
"furthermor",1
"gakuen",1
"gap",1
"gavin",1
"gel",1
"give",1
"given",1
"globe",1
"glow",1
"goo",1
"gradual",1
"graphic",1
"grasp",1
"grid",1
"guesswork",1
"gyroscop",1
"habit",1
"hat",1
"haven",1
"health",1
"hear",1
"heatmap",1
"hello",1
"hemisph",1
"henri",1
"highest",1
"hmd",1
"hold",1
"hole",1
"honest",1
"hood",1
"https",1
"humor",1
"hundr",1
"hunt",1
"hyperboloid",1
"ideal",1
"imagin",1
"implic",1
"inch",1
"increa",1
"individu",1
"industri",1
"inscrib",1
"inspir",1
"institut",1
"instruct",1
"instrument",1
"integr",1
"interrupt",1
"introduct",1
"investig",1
"invit",1
"issu",1
"john",1
"keep",1
"kettner",1
"kim",1
"kinda",1
"knife",1
"knowledg",1
"lab",1
"largest",1
"later",1
"layer",1
"layout",1
"lcds",1
"lie",1
"list",1
"listen",1
"littlewebhut",1
"live",1
"lover",1
"manag",1
"manual",1
"manufactur",1
"mark",1
"maximum",1
"media",1
"medicin",1
"medium",1
"mentor",1
"mic",1
"minim",1
"mirror",1
"miss",1
"mocap",1
"mode",1
"moment",1
"mueller",1
"multi",1
"multipli",1
"multivari",1
"narrow",1
"natur",1
"near",1
"nickel",1
"non",1
"norman",1
"notic",1
"notifi",1
"nowaday",1
"number",1
"nylon",1
"obvious",1
"occur",1
"open",1
"oppo",1
"orang",1
"orthogon",1
"outer",1
"output",1
"outsid",1
"oval",1
"overlap",1
"overlay",1
"overview",1
"page",1
"panna",1
"paraboloid",1
"pass",1
"pattern",1
"pay",1
"peel",1
"perk",1
"person",1
"phase",1
"philip",1
"photon",1
