"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","think","tyson","data","human","creativ"
"2","peopl","yeah","realli","intellig","comput"
"3","don","robot","actual","artifici","play"
"4","machin","giannandrea","use","time","creat"
"5","now","laughter","compani","learn","work"
"6","mean","greiner","peopl","data","neural"
"7","system","tegmark","job","abl","music"
"8","realli","audienc","work","help","brain"
"9","question","realli","china","debat","human"
"10","understand","human","learn","mani","learn"
"11","sort","wellman","problem","brain","stuff"
"12","year","good","call","real","robot"
"13","use","someth","big","test","seem"
"14","work","bias","import","car","feel"
"15","world","game","technolog","use","network"
"16","time","okay","give","predict","sound"
"17","differ","point","research","abil","good"
"18","need","well","solv","now","someth"
"19","actual","actual","product","super","sort"
"20","build","puri","number","experi","tri"
"21","someth","question","tri","inform","tool"
"22","comput","let","applic","research","littl"
"23","mayb","watson","exampl","system","start"
"24","happen","futur","talk","tri","call"
"25","talk","give","train","comput","didn"
"26","technolog","happen","cour","technolog","hinton"
"27","might","car","engin","differ","idea"
"28","sen","yes","area","may","set"
"29","good","peopl","need","creat","year"
"30","part","right","person","face","process"
"31","interest","roomba","quit","problem","voic"
"32","deci","thank","basic","better","algorithm"
"33","person","becaus","focus","million","model"
"34","learn","conscious","money","rather","generat"
"35","human","call","someth","video","thousand"
"36","abl","intellig","better","improv","art"
"37","becom","today","countri","order","artifici"
"38","googl","tri","huge","without","cat"
"39","societi","applaus","today","complex","experi"
"40","job","play","laugh","languag","show"
"41","mani","certain","autonom","live","ever"
"42","yes","drive","discuss","singl","intellig"
"43","move","agi","effect","teach","type"
"44","point","book","govern","color","continu"
"45","made","enough","mani","imag","final"
"46","littl","ibm","reason","task","geoff"
"47","start","just","softwar","today","net"
"48","thank","stuff","term","scientist","sit"
"49","first","yet","assist","weapon","thought"
"50","develop","general","citi","activ","conscious"
"51","idea","wait","impact","day","earworm"
"52","algorithm","ever","chine","game","place"
"53","hard","john","first","hand","actual"
"54","issu","law","hand","mind","built"
"55","day","reason","relat","quick","collabor"
"56","thought","tell","type","side","digit"
"57","chang","togeth","bit","base","guy"
"58","futur","exact","wave","drug","hear"
"59","ask","find","model","everi","might"
"60","scienc","first","probabl","give","stop"
"61","let","helen","professor","let","high"
"62","help","life","recognit","solv","limit"
"63","answer","mike","autom","appli","research"
"64","problem","autonom","interact","eventu","walk"
"65","program","best","market","knowledg","canada"
"66","everyth","better","servic","network","unit"
"67","general","brain","amount","smarter","well"
"68","intellig","calcul","app","topic","arm"
"69","doesn","chess","goe","world","artist"
"70","someon","comput","share","individu","can"
"71","end","mani","cost","measur","core"
"72","level","max","last","perform","imagin"
"73","everyon","recent","ask","process","instead"
"74","fact","word","role","team","keep"
"75","long","don","start","turn","sudden"
"76","tell","everyth","well","argument","compon"
"77","univ","fear","amazon","purpo","explor"
"78","anyth","tool","blockchain","common","physic"
"79","live","worri","care","entir","technolog"
"80","probabl","alphago","smart","form","creation"
"81","deep","blue","univ","mental","definit"
"82","field","didn","approach","possibl","flute"
"83","potenti","exampl","didn","avail","full"
"84","alreadi","stop","expert","disea","instrument"
"85","came","sure","human","event","invent"
"86","case","artifici","recogn","facial","novel"
"87","kid","compani","aigo","power","open"
"88","read","doesn","breakthrough","analyz","agenc"
"89","inform","figur","cognit","close","caus"
"90","natur","harm","displac","connect","clip"
"91","perhap","kill","extrem","medic","discov"
"92","power","number","rememb","plan","gave"
"93","ethic","slide","spend","room","man"
"94","last","start","vision","second","note"
"95","less","away","book","whi","okay"
"96","life","believ","creat","alreadi","one"
"97","term","board","mention","design","realiti"
"98","bit","cat","narrow","given","similar"
"99","done","correct","per","identifi","word"
"100","educ","power","requir","month","basic"
