"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","vehicl","control","car","think","realli"
"2","autonom","need","drive","human","work"
"3","technolog","code","autopilot","question","time"
"4","peopl","model","system","realli","think"
"5","level","use","lane","someth","tri"
"6","think","system","self","learn","sort"
"7","drive","drone","wheel","world","start"
"8","citi","now","driver","first","actual"
"9","need","sensor","road","let","use"
"10","car","electr","now","life","interest"
"11","talk","flight","camera","person","talk"
"12","autom","video","tesla","mean","robot"
"13","data","block","use","time","littl"
"14","differ","mini","technolog","intellig","now"
"15","today","comput","crui","don","feel"
"16","compani","ride","perform","imag","point"
"17","don","state","turn","thank","build"
"18","year","power","hand","experi","challeng"
"19","driver","boost","long","understand","bit"
"20","abl","estim","model","may","communic"
"21","safeti","top","test","year","peopl"
"22","road","don","steer","imagin","set"
"23","futur","data","time","machin","someth"
"24","connect","mile","featur","mani","object"
"25","happen","pretti","made","tell","problem"
"26","oper","rang","differ","artifici","map"
"27","work","set","highway","good","second"
"28","now","architectur","super","happen","conver"
"29","david","softwar","assist","day","give"
"30","first","land","mark","folk","help"
"31","area","logic","side","play","might"
"32","actual","alreadi","comput","show","cour"
"33","mobil","filter","stop","chang","light"
"34","question","measur","front","live","friend"
"35","freeman","option","pay","yes","video"
"36","bring","speed","control","sen","better"
"37","infrastructur","board","attent","case","exampl"
"38","park","command","condit","creat","find"
"39","research","refer","littl","import","mayb"
"40","servic","simulink","near","incr","part"
"41","communiti","best","traffic","mayb","vision"
"42","public","byte","dan","never","big"
"43","requir","goe","softwar","believ","interact"
"44","start","input","edmund","brain","real"
"45","transport","motor","jason","memori","world"
"46","human","plus","kavanagh","must","end"
"47","chang","process","safe","sophia","four"
"48","john","simul","deal","suffer","team"
"49","deploy","byton","freeway","box","basic"
"50","develop","complet","lidar","hope","year"
"51","space","posit","price","algorithm","last"
"52","term","signal","term","done","person"
"53","industri","uniqu","ahead","natur","situat"
"54","plan","build","better","particular","anoth"
"55","smart","concept","everi","possibl","locat"
"56","design","custom","experi","univ","read"
"57","issu","let","fact","applic","skill"
"58","test","develop","head","digit","ask"
"59","thank","feedback","inform","exampl","good"
"60","mile","fli","keep","field","googl"
"61","certain","generat","quick","love","hand"
"62","environ","insid","thermal","quit","group"
"63","everyon","last","version","sound","local"
"64","fatal","altitud","auto","wow","stop"
"65","help","cool","mode","expect","abl"
"66","let","differ","radar","idea","base"
"67","mean","entir","sensor","internet","call"
"68","probabl","first","autonomi","least","coupl"
"69","well","good","ces","limit","detect"
"70","high","link","cross","network","final"
"71","part","redund","find","problem","learn"
"72","type","sinc","green","recent","repres"
"73","allow","skateboard","let","secur","yet"
"74","crash","simpl","market","without","found"
"75","includ","step","may","adversari","guy"
"76","number","subsystem","seem","becaus","hear"
"77","project","won","adapt","black","improv"
"78","provid","describ","call","confer","program"
"79","self","easi","compani","consid","reason"
"80","understand","everyth","deci","dollar","went"
"81","benefit","fail","enough","ever","came"
"82","cost","layer","forward","everi","definit"
"83","less","part","pretti","hey","excit"
"84","live","understand","uber","implic","share"
"85","move","along","updat","million","step"
"86","realli","base","awar","month","whole"
"87","save","basic","capabl","old","develop"
"88","access","built","check","particip","didn"
"89","automot","design","consum","potenti","free"
"90","challeng","flag","didn","singapor","left"
"91","give","follow","doubl","space","slam"
"92","import","hover","far","valu","student"
"93","leonard","load","problem","walk","zone"
"94","pedestrian","pressur","pull","almost","approach"
"95","peter","realli","screen","amount","bad"
"96","weather","remov","straight","asia","critic"
"97","busi","tune","across","attack","high"
"98","creat","watch","cadillac","button","key"
"99","demonstr","zero","driverless","compar","move"
"100","innov","air","engag","continu","offic"
