"","x"
"brain",60
"use",48
"jaden",36
"signal",35
"eric",31
"electr",30
"help",28
"move",28
"elijah",27
"ben",26
"peopl",26
"chudler",25
"hand",24
"jenna",23
"play",21
"tri",21
"bodi",20
"music",20
"yeah",20
"work",19
"comput",18
"leg",17
"think",17
"spinal",16
"control",15
"jenni",15
"realli",15
"stimul",15
"touch",15
"cord",14
"inform",14
"let",14
"part",14
"bcis",13
"cockroach",13
"don",13
"guy",13
"littl",13
"mean",13
"nerv",13
"ojemann",13
"cronin",12
"devic",12
"muscl",12
"prosthet",12
"send",12
"someth",12
"system",11
"actual",10
"nervous",10
"question",10
"sent",10
"answer",9
"electrod",9
"experi",9
"function",9
"hey",9
"jeffrei",9
"learn",9
"mind",9
"noggin",9
"research",9
"someon",9
"arm",8
"bci",8
"better",8
"brainwork",8
"call",8
"feel",8
"good",8
"happen",8
"human",8
"limb",8
"moritz",8
"now",8
"practic",8
"record",8
"skin",8
"tell",8
"thank",8
"time",8
"bit",7
"chet",7
"connect",7
"find",7
"gram",7
"hack",7
"inch",7
"jessi",7
"lab",7
"left",7
"light",7
"might",7
"per",7
"program",7
"show",7
"squar",7
"technolog",7
"well",7
"abl",6
"access",6
"action",6
"activ",6
"artifici",6
"current",6
"cursor",6
"dana",6
"flash",6
"injuri",6
"interfac",6
"studi",6
"talk",6
"year",6
"anoth",5
"bluetooth",5
"code",5
"eeg",5
"fire",5
"frequenc",5
"give",5
"goer",5
"idea",5
"interest",5
"led",5
"machin",5
"mani",5
"mayb",5
"movement",5
"natur",5
"nordvpn",5
"potenti",5
"problem",5
"process",5
"provid",5
"sara",5
"scishow",5
"sit",5
"wire",5
"accid",4
"addit",4
"ahead",4
"amp",4
"ask",4
"challeng",4
"chang",4
"communic",4
"differ",4
"end",4
"everi",4
"exampl",4
"glass",4
"gripper",4
"improv",4
"life",4
"month",4
"need",4
"network",4
"pin",4
"plan",4
"plus",4
"possibl",4
"protect",4
"read",4
"skull",4
"somebodi",4
"support",4
"surgeri",4
"top",4
"turn",4
"user",4
"usual",4
"walk",4
"advanc",3
"alreadi",3
"announc",3
"awesom",3
"bad",3
"break",3
"can",3
"caus",3
"depart",3
"develop",3
"either",3
"electron",3
"engin",3
"exist",3
"face",3
"fact",3
"foundat",3
"free",3
"gateway",3
"grab",3
"head",3
"hear",3
"hope",3
"injur",3
"insid",3
"interrupt",3
"isn",3
"listen",3
"long",3
"map",3
"meet",3
"money",3
"motor",3
"neural",3
"neuron",3
"nice",3
"org",3
"pair",3
"particip",3
"patient",3
"place",3
"recov",3
"respon",3
"saw",3
"screen",3
"see",3
"sound",3
"stand",3
"start",3
"stay",3
"term",3
"toward",3
"tune",3
"type",3
"univ",3
"visual",3
"washington",3
"whole",3
"yes",3
"account",2
"along",2
"amplifi",2
"awak",2
"becaus",2
"becom",2
"benefit",2
"big",2
"biolog",2
"bye",2
"car",2
"case",2
"check",2
"com",2
"complic",2
"cour",2
"data",2
"day",2
"dead",2
"dedic",2
"demonstr",2
"design",2
"detect",2
"determin",2
"doe",2
"doesn",2
"drive",2
"ear",2
"enough",2
"episod",2
"everyon",2
"exact",2
"figur",2
"fine",2
"finger",2
"fingertip",2
"first",2
"game",2
"general",2
"generat",2
"goe",2
"great",2
"grow",2
"hair",2
"hard",2
"high",2
"hold",2
"illus",2
"imagin",2
"interact",2
"internet",2
"ion",2
"join",2
"keep",2
"knock",2
"known",2
"languag",2
"less",2
"like",2
"live",2
"lobe",2
"love",2
"neck",2
"noi",2
"occipit",2
"offer",2
"one",2
"organ",2
"paralysi",2
"pattern",2
"philosophi",2
"phone",2
"pick",2
"privat",2
