"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abl",0.00570208626094476,0.0035000315318156,0.0119420762286861,3.82643299915819e-05,8.71535645807913e-05,-0.704121945108059
"2","accel",0.00462112204086045,0.000346849971621366,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,-3.73585951899958
"3","across",0.00354015782077613,3.15318156019423e-05,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,-6.81086162428843
"4","actual",0.006512809426008,0.0129595762123983,3.13440320962889e-05,0.011900206627382,8.71535645807913e-05,0.99266662470074
"5","add",0.00462112204086045,3.15318156019423e-05,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,-7.19529113763688
"6","addit",0.00110798832558642,3.15318156019423e-05,0.000658224674022066,3.82643299915819e-05,0.00270176050200453,-5.13499062736906
"7","adopt",2.70241055021079e-05,0.00160812259569906,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,5.89498671922051
"8","advantag",0.00110798832558642,3.15318156019423e-05,3.13440320962889e-05,3.82643299915819e-05,0.000958689210388705,-5.13499062736906
"9","afford",0.0013782293806075,3.15318156019423e-05,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,-5.44986396472248
"10","aggreg",2.70241055021079e-05,0.00160812259569906,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,5.89498671922051
"11","ahead",2.70241055021079e-05,0.00129280443967964,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,5.5801133818671
"12","allow",0.00408063993081829,0.000662168127640789,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,-2.6235259392973
"13","alway",0.000837747270565345,0.00223875890773791,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,1.41811218636683
"14","amount",2.70241055021079e-05,0.00129280443967964,3.13440320962889e-05,0.0004209076299074,0.00357329614781244,5.5801133818671
"15","anoth",2.70241055021079e-05,0.00507662231191272,0.00159854563691073,3.82643299915819e-05,0.000958689210388705,7.55347825536364
"16","answer",0.00218895254567074,3.15318156019423e-05,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,-6.11728862563561
"17","api",0.00597232731596584,3.15318156019423e-05,0.000344784353059177,3.82643299915819e-05,8.71535645807913e-05,-7.56534118214241
"18","app",0.000567506215544265,0.00381534968783503,0.000344784353059177,0.0122828499272978,8.71535645807913e-05,2.74910719174485
"19","applic",0.0216463085071884,0.00223875890773791,0.00379262788365095,3.82643299915819e-05,8.71535645807913e-05,-3.27334993565501
"20","approach",2.70241055021079e-05,0.00192344075171848,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,6.15329871481191
"21","april",0.00191871149064966,3.15318156019423e-05,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,-5.92718574225566
"22","architectur",2.70241055021079e-05,0.00223875890773791,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,6.3723084967537
"23","area",2.70241055021079e-05,0.00223875890773791,3.13440320962889e-05,3.82643299915819e-05,0.000958689210388705,6.3723084967537
"24","ask",0.00489136309588153,0.000346849971621366,3.13440320962889e-05,0.0004209076299074,8.71535645807913e-05,-3.81785289119689
"25","autom",2.70241055021079e-05,0.00160812259569906,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,5.89498671922051
"26","automat",0.00191871149064966,3.15318156019423e-05,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,-5.92718574225566
"27","avail",0.00218895254567074,0.000977486283660213,0.000971664994984955,3.82643299915819e-05,8.71535645807913e-05,-1.16309231524873
"28","away",2.70241055021079e-05,0.00160812259569906,0.000658224674022066,3.82643299915819e-05,8.71535645807913e-05,5.89498671922051
"29","azur",0.00164847043562858,0.000346849971621366,0.00191198595787362,0.00769113032830795,8.71535645807913e-05,-2.24874434167657
"30","base",2.70241055021079e-05,0.00223875890773791,0.00316574724172518,3.82643299915819e-05,0.00183022485619662,6.3723084967537
"31","batteri",0.00110798832558642,3.15318156019423e-05,0.000971664994984955,3.82643299915819e-05,8.71535645807913e-05,-5.13499062736906
"32","best",0.00245919360069182,3.15318156019423e-05,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,-6.28523326294968
"33","better",2.70241055021079e-05,0.00602257677997099,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,7.79999020528477
"34","bit",2.70241055021079e-05,0.00413066784385445,0.00661359077231695,3.82643299915819e-05,8.71535645807913e-05,7.25598437878647
"35","bring",0.000837747270565345,0.00696853124802926,3.13440320962889e-05,0.000803550929823219,8.71535645807913e-05,3.05626762625358
"36","broad",0.00110798832558642,3.15318156019423e-05,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,-5.13499062736906
"37","build",0.000567506215544265,0.00980639465220407,3.13440320962889e-05,0.00118619422973904,8.71535645807913e-05,4.11101472460086
"38","built",2.70241055021079e-05,0.00318471337579618,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,6.88077286000081
"39","busi",0.000297265160523187,0.00223875890773791,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,2.9128768781164
"40","call",0.00597232731596584,0.00255407706375733,0.00504638916750251,3.82643299915819e-05,8.71535645807913e-05,-1.22549117925779
"41","canva",0.0013782293806075,3.15318156019423e-05,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,-5.44986396472248
"42","capabl",2.70241055021079e-05,0.00381534968783503,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,7.14142461452361
"43","captur",2.70241055021079e-05,0.00129280443967964,3.13440320962889e-05,0.00195148082957067,8.71535645807913e-05,5.5801133818671
"44","center",2.70241055021079e-05,0.00129280443967964,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,5.5801133818671
"45","certain",2.70241055021079e-05,0.00223875890773791,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,6.3723084967537
"46","chang",0.00191871149064966,0.0047613041558933,3.13440320962889e-05,0.00156883752965486,0.00183022485619662,1.31121899706942
"47","choic",2.70241055021079e-05,0.00129280443967964,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,5.5801133818671
"48","class",0.00245919360069182,3.15318156019423e-05,3.13440320962889e-05,3.82643299915819e-05,0.000958689210388705,-6.28523326294968
"49","close",0.0013782293806075,3.15318156019423e-05,3.13440320962889e-05,3.82643299915819e-05,0.00357329614781244,-5.44986396472248
"50","cloud",2.70241055021079e-05,0.0110676672762818,0.0116286359077232,0.00195148082957067,8.71535645807913e-05,8.67788859755358
"51","coco",2.70241055021079e-05,0.00444598599987387,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,7.36211272964781
"52","code",0.00813425575613447,3.15318156019423e-05,0.00661359077231695,0.00692584372847632,8.71535645807913e-05,-8.01105829951068
"53","common",0.0013782293806075,3.15318156019423e-05,3.13440320962889e-05,3.82643299915819e-05,0.00270176050200453,-5.44986396472248
"54","complet",0.00110798832558642,3.15318156019423e-05,3.13440320962889e-05,3.82643299915819e-05,0.00183022485619662,-5.13499062736906
"55","comput",2.70241055021079e-05,0.00507662231191272,0.00567326980942828,3.82643299915819e-05,8.71535645807913e-05,7.55347825536364
"56","concept",0.00164847043562858,3.15318156019423e-05,0.000971664994984955,3.82643299915819e-05,8.71535645807913e-05,-5.70817596031387
"57","conceptu",0.00245919360069182,3.15318156019423e-05,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,-6.28523326294968
"58","consid",0.000567506215544265,0.00286939521977675,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,2.33803859466896
"59","constant",2.70241055021079e-05,0.00192344075171848,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,6.15329871481191
"60","continu",2.70241055021079e-05,0.00318471337579618,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,6.88077286000081
"61","control",0.00191871149064966,3.15318156019423e-05,0.00285230692076229,3.82643299915819e-05,8.71535645807913e-05,-5.92718574225566
"62","conver",2.70241055021079e-05,0.00160812259569906,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,5.89498671922051
"63","cost",2.70241055021079e-05,0.00223875890773791,0.000658224674022066,3.82643299915819e-05,8.71535645807913e-05,6.3723084967537
"64","coupl",0.00408063993081829,0.000977486283660213,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,-2.06164705168918
"65","cpu",0.0013782293806075,0.000346849971621366,0.00316574724172518,3.82643299915819e-05,8.71535645807913e-05,-1.99043234608518
"66","creat",0.00408063993081829,0.000346849971621366,0.00786735205616851,0.00883906022805541,0.000958689210388705,-3.55641174343876
"67","crop",0.00218895254567074,3.15318156019423e-05,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,-6.11728862563561
"68","cube",2.70241055021079e-05,0.00255407706375733,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,6.56241138013364
"69","current",0.0013782293806075,3.15318156019423e-05,3.13440320962889e-05,0.0004209076299074,8.71535645807913e-05,-5.44986396472248
"70","custom",0.00867473786617663,3.15318156019423e-05,3.13440320962889e-05,0.0004209076299074,0.000958689210388705,-8.10386810987329
"71","cut",0.000297265160523187,0.00129280443967964,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,2.12068176322981
"72","cycl",2.70241055021079e-05,0.00129280443967964,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,5.5801133818671
"73","data",0.00543184520592369,0.0205272119568645,0.0157033600802407,0.0199357159256141,8.71535645807913e-05,1.91802341923573
"74","day",0.00191871149064966,3.15318156019423e-05,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,-5.92718574225566
"75","deci",2.70241055021079e-05,0.00255407706375733,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,6.56241138013364
"76","deep",0.00191871149064966,3.15318156019423e-05,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,-5.92718574225566
"77","default",0.000297265160523187,0.00129280443967964,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,2.12068176322981
"78","defin",0.00218895254567074,3.15318156019423e-05,3.13440320962889e-05,0.000803550929823219,8.71535645807913e-05,-6.11728862563561
"79","definit",2.70241055021079e-05,0.00160812259569906,0.000658224674022066,3.82643299915819e-05,8.71535645807913e-05,5.89498671922051
"80","demand",2.70241055021079e-05,0.00129280443967964,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,5.5801133818671
"81","demo",0.00245919360069182,3.15318156019423e-05,0.00441950852557673,0.000803550929823219,8.71535645807913e-05,-6.28523326294968
"82","describ",0.00110798832558642,3.15318156019423e-05,3.13440320962889e-05,0.00118619422973904,8.71535645807913e-05,-5.13499062736906
"83","detect",0.006512809426008,0.000977486283660213,0.000344784353059177,3.82643299915819e-05,8.71535645807913e-05,-2.73613164859407
"84","develop",0.0124581126364717,3.15318156019423e-05,0.00347918756268807,0.00501262722889722,0.000958689210388705,-8.62606156318032
"85","devic",0.00110798832558642,0.00318471337579618,0.02322592778335,0.0004209076299074,8.71535645807913e-05,1.52322085538273
"86","didn",0.00164847043562858,3.15318156019423e-05,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,-5.70817596031387
"87","differ",0.000297265160523187,0.0101217128082235,3.13440320962889e-05,0.00883906022805541,8.71535645807913e-05,5.08955924573402
"88","difficult",0.0013782293806075,3.15318156019423e-05,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,-5.44986396472248
"89","digit",0.00218895254567074,3.15318156019423e-05,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,-6.11728862563561
"90","direct",0.00191871149064966,3.15318156019423e-05,0.00379262788365095,3.82643299915819e-05,8.71535645807913e-05,-5.92718574225566
"91","directx",0.00191871149064966,3.15318156019423e-05,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,-5.92718574225566
"92","diver",0.00110798832558642,3.15318156019423e-05,3.13440320962889e-05,3.82643299915819e-05,0.00444483179362036,-5.13499062736906
"93","doesn",0.00110798832558642,0.00160812259569906,3.13440320962889e-05,3.82643299915819e-05,8.71535645807913e-05,0.537434714602431
