"","x"
"exoskeleton",76
"walk",58
"patient",56
"use",50
"fish",49
"help",49
"realli",49
"now",46
"time",43
"armor",39
"first",37
"system",37
"technolog",37
"work",36
"move",35
"peopl",34
"year",32
"bodi",29
"devic",29
"leg",27
"abl",26
"injuri",26
"speed",26
"think",26
"control",24
"suit",24
"thank",23
"mean",22
"muscl",22
"need",22
"hope",20
"bone",19
"life",19
"mph",19
"power",19
"robot",19
"step",19
"video",19
"center",18
"chang",18
"design",18
"develop",18
"mani",18
"rehabilit",18
"today",18
"man",17
"call",16
"movement",16
"allow",15
"big",15
"differ",15
"feel",15
"fin",15
"good",15
"made",15
"stori",15
"weight",15
"actual",14
"car",14
"hal",14
"high",14
"larri",14
"paralyz",14
"someth",14
"stand",14
"user",14
"bring",13
"build",13
"day",13
"futur",13
"give",13
"human",13
"live",13
"part",13
"physic",13
"placoderm",13
"support",13
"tri",13
"artifici",12
"benefit",12
"better",12
"cord",12
"don",12
"hand",12
"interest",12
"reach",12
"rewalk",12
"spinal",12
"team",12
"alway",11
"brain",11
"communiti",11
"compani",11
"dollar",11
"foot",11
"gas",11
"joint",11
"let",11
"piec",11
"point",11
"soldier",11
"start",11
"stroke",11
"structur",11
"unit",11
"vehicl",11
"arm",10
"assist",10
"boni",10
"cour",10
"everi",10
"forc",10
"health",10
"hulc",10
"job",10
"million",10
"month",10
"name",10
"oper",10
"product",10
"regular",10
"set",10
"side",10
"across",9
"amaz",9
"case",9
"concret",9
"cover",9
"doesn",9
"exo",9
"expect",9
"far",9
"featur",9
"gaylord",9
"head",9
"join",9
"last",9
"learn",9
"near",9
"place",9
"real",9
"second",9
"sensor",9
"show",9
"simpl",9
"skeleton",9
"subscrib",9
"world",9
"anthoni",8
"brook",8
"calcium",8
"came",8
"carri",8
"close",8
"complet",8
"comput",8
"devonian",8
"didn",8
"ear",8
"enabl",8
"end",8
"energi",8
"focus",8
"goal",8
"guy",8
"hospit",8
"hour",8
"hydrogen",8
"includ",8
"iron",8
"level",8
"lift",8
"load",8
"low",8
"machin",8
"might",8
"militari",8
"possibl",8
"probabl",8
"project",8
"provid",8
"reactor",8
"reduc",8
"relat",8
"saw",8
"sinc",8
"specif",8
"tech",8
"tell",8
"thousand",8
"train",8
"worker",8
"yes",8
"abil",7
"accid",7
"adapt",7
"anoth",7
"becom",7
"care",7
"challeng",7
"continu",7
"creat",7
"definit",7
"disabl",7
"donat",7
"enough",7
"especi",7
"everyth",7
"fact",7
"fast",7
"forward",7
"limb",7
"long",7
"medic",7
"motor",7
"plate",7
"polic",7
"protect",7
"rehab",7
"smile",7
"state",7
"strength",7
"test",7
"thick",7
"thought",7
"wear",7
"add",6
"base",6
"batteri",6
"clear",6
"common",6
"compon",6
"cost",6
"decid",6
"degr",6
"done",6
"earlier",6
"exampl",6
"experi",6
"face",6
"found",6
"four",6
"function",6
"genesi",6
"heavi",6
"heterostracan",6
"hip",6
"home",6
"increa",6
"injur",6
"instead",6
"intern",6
"issu",6
"jeremi",6
"keep",6
"littl",6
"miner",6
"motion",6
"music",6
"neurolog",6
"night",6
"old",6
"particip",6
"partner",6
"perform",6
"polici",6
"present",6
"repulsor",6
"reward",6
"scale",6
"scienc",6
"stage",6
"taylor",6
"treatment",6
"turn",6
"veteran",6
"water",6
"yet",6
"addit",5
"adjust",5
"along",5
"ancestor",5
"anyth",5
"area",5
"assembl",5
"away",5
"basic",5
"becaus",5
"believ",5
"bite",5
"cabl",5
"caus",5
"civic",5
"contract",5
"cool",5
"current",5
"employ",5
"enter",5
"equip",5
"eventu",5
"ever",5
"exact",5
"form",5
"foundat",5
"front",5
"full",5
"generat",5
"goe",5
"haven",5
"heart",5
"hundr",5
"import",5
"impress",5
"individu",5
"innov",5
"insid",5
"inspir",5
"interfac",5
"lab",5
"line",5
"lobe",5
"lost",5
"main",5
"market",5
"may",5
"mechan",5
"mention",5
"new",5
"osteostracan",5
"pay",5
"program",5
"ray",5
"reason",5
"repetit",5
"repr",5
"requir",5
"research",5
"safer",5
"sen",5
"similar",5
"situat",5
"skyscrap",5
"sometim",5
"soon",5
"special",5
"student",5
"stuff",5
"success",5
"suffer",5
"tail",5
"therapi",5
"though",5
"tissu",5
"took",5
"tube",5
"typic",5
"understand",5
"util",5
"vest",5
"waist",5
"welcom",5
"without",5
"wow",5
"aid",4
"air",4
"almost",4
"although",4
"anim",4
"awesom",4
"behind",4
"belt",4
"best",4
"bigger",4
"biolog",4
"bionic",4
"bug",4
"ceo",4
"certain",4
"chanc",4
"climat",4
"clinic",4
"com",4
"competit",4
"core",4
"coupl",4
"crazi",4
"cybern",4
"danger",4
"direct",4
"drive",4
"earth",4
"easier",4
"effect",4
"effort",4
"either",4
"electr",4
"engin",4
"eod",4
"evolv",4
"excit",4
"exist",4
"expand",4
"expen",4
"extinct",4
"find",4
"flexibl",4
"follow",4
"formwork",4
"friend",4
"gain",4
"gillian",4
"ground",4
"group",4
"happen",4
"hydraul",4
"idea",4
"impact",4
"improv",4
"industri",4
"insur",4
"jaw",4
"known",4
"later",4
"light",4
"local",4
"love",4
"media",4
"miami",4
"mobil",4
"modifi",4
"modul",4
"number",4
"occur",4
"ocean",4
"offer",4
"one",4
"open",4
"option",4
"outsid",4
"pack",4
"person",4
"phosphor",4
"popul",4
"pound",4
"profess",4
"quit",4
"rather",4
"recoveri",4
"relationship",4
"sever",4
"share",4
"shield",4
"short",4
"site",4
"small",4
"somebodi",4
"someon",4
"stop",4
"strap",4
"swap",4
"tank",4
"terrain",4
"tonight",4
"worth",4
"absolut",3
"accomplish",3
"act",3
"activ",3
"actuat",3
"alreadi",3
"among",3
"ankl",3
"apart",3
"applic",3
"architect",3
"arduino",3
"ask",3
"aspect",3
"automot",3
"averag",3
"balanc",3
"begin",3
"billion",3
"bit",3
"break",3
"cart",3
"cast",3
"changer",3
"channel",3
"charact",3
"citi",3
"clearanc",3
"combin",3
"commerci",3
"condit",3
"construct",3
"contain",3
"couldn",3
"countri",3
"curv",3
"cut",3
"data",3
"death",3
"demonstr",3
"dentin",3
"depend",3
"determin",3
"dillard",3
"distinct",3
"dorsal",3
"dream",3
"dunkleosteus",3
"easili",3
"edg",3
"endoskeleton",3
"environ",3
"evolut",3
"experienc",3
"extra",3
"fall",3
"faster",3
"fiber",3
"field",3
"final",3
"fix",3
"fort",3
"fossil",3
"fuel",3
"fun",3
"game",3
"graduat",3
"hadid",3
"height",3
"honda",3
"hook",3
"huge",3
"husband",3
"ind",3
"inform",3
"instagram",3
"intellig",3
"investig",3
"isn",3
"jean",3
"jillian",3
"jone",3
"karelian",3
"kathleen",3
"knee",3
"lamp",3
"land",3
"larg",3
"least",3
"left",3
"less",3
"lower",3
"make",3
"mapp",3
"meant",3
"member",3
"mission",3
"model",3
"monitor",3
"movi",3
"museum",3
"narrat",3
"nation",3
"natur",3
"news",3
"notic",3
"obstacl",3
"obvious",3
"opportun",3
"order",3
"outpati",3
"period",3
"perman",3
"physician",3
"pick",3
"plan",3
"plant",3
"plasma",3
"play",3
"practic",3
"problem",3
"process",3
"progress",3
"prototyp",3
"quick",3
"readi",3
"realiti",3
"recent",3
"record",3
"reduct",3
"remain",3
"respon",3
"respond",3
"rest",3
"restor",3
"richard",3
"road",3
"scientist",3
"screen",3
"sea",3
"serious",3
"shape",3
"shark",3
"shot",3
