"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abil",0.00319977740678909,1.60937298828376e-05,1.34073418604027e-05,1.52821077082951e-05,1.21262095894066e-05,-7.63532901316834
"2","abl",0.00459098497495826,1.60937298828376e-05,0.00175636178371276,1.52821077082951e-05,0.00170979555210632,-8.15616117646978
"3","absorb",8.18357393040689e-06,0.00178640401699498,1.34073418604027e-05,1.52821077082951e-05,1.21262095894066e-05,7.77011165048912
"4","achiev",0.000581033749058889,0.00210827861465173,1.34073418604027e-05,1.52821077082951e-05,1.21262095894066e-05,1.85937166617178
"5","across",0.00229958427444434,1.60937298828376e-05,0.000415627597672486,1.52821077082951e-05,1.21262095894066e-05,-7.15873053608191
"6","action",0.00115388392418737,1.60937298828376e-05,0.000281554179068458,1.52821077082951e-05,1.21262095894066e-05,-6.16385556825978
"7","activ",8.18357393040689e-06,0.00226921591348011,0.000951921272088595,0.000473745338957149,1.21262095894066e-05,8.11524713653781
"8","actual",0.0136747520377099,0.00178640401699498,0.00604671117904164,0.000320924261874198,0.00449882375766983,-2.93638436757207
"9","addict",0.00123571966349144,1.60937298828376e-05,0.00014748076046443,1.52821077082951e-05,1.21262095894066e-05,-6.26270895518607
"10","address",0.00205407705653213,1.60937298828376e-05,1.34073418604027e-05,1.52821077082951e-05,0.000133388305483472,-6.99584776981176
"11","advanc",0.000662869488362958,0.00114265482168147,0.000415627597672486,1.52821077082951e-05,1.21262095894066e-05,0.785592900759072
"12","age",0.0010720481848833,1.60937298828376e-05,0.000951921272088595,1.52821077082951e-05,1.21262095894066e-05,-6.05772721739844
"13","air",8.18357393040689e-06,0.00194734131582335,1.34073418604027e-05,1.52821077082951e-05,1.21262095894066e-05,7.89455902141361
"14","allow",0.00115388392418737,0.000498905626367967,1.34073418604027e-05,1.52821077082951e-05,0.00243736812747072,-1.2096592578729
"15","almost",0.00164489836001179,1.60937298828376e-05,1.34073418604027e-05,1.52821077082951e-05,0.000375912497271603,-6.67535590703992
"16","along",0.000990212445579233,0.00114265482168147,1.34073418604027e-05,1.52821077082951e-05,1.21262095894066e-05,0.206579666369102
"17","alreadi",8.18357393040689e-06,0.0016254667181666,0.00014748076046443,0.00184913503270371,0.00158853345621226,7.63390726689081
"18","alway",0.00148122688140365,0.00243015321230849,0.00148821494650471,0.000320924261874198,1.21262095894066e-05,0.714254636380888
"19","amaz",0.00148122688140365,1.60937298828376e-05,1.34073418604027e-05,0.00261324041811847,1.21262095894066e-05,-6.52415010294419
"20","america",0.0010720481848833,1.60937298828376e-05,0.00014748076046443,1.52821077082951e-05,1.21262095894066e-05,-6.05772721739844
"21","amount",0.00123571966349144,0.000498905626367967,1.34073418604027e-05,1.52821077082951e-05,1.21262095894066e-05,-1.30851264479919
"22","anim",0.000253690791842613,0.00226921591348011,0.00014748076046443,0.000168103184791246,1.21262095894066e-05,3.16105082615093
"23","anoth",8.18357393040689e-06,0.0037176516029355,0.000951921272088595,0.00169631395562076,0.00195231974389445,8.82744482555507
"24","answer",8.18357393040689e-06,0.00178640401699498,0.00108599469069262,1.52821077082951e-05,0.00231610603157665,7.77011165048912
"25","anyway",8.18357393040689e-06,0.00130359212050985,1.34073418604027e-05,1.52821077082951e-05,0.000618436689059733,7.31554578702364
"26","appear",8.18357393040689e-06,0.00130359212050985,1.34073418604027e-05,1.52821077082951e-05,1.21262095894066e-05,7.31554578702364
"27","appli",8.18357393040689e-06,0.00403952620059225,0.000951921272088595,1.52821077082951e-05,0.00170979555210632,8.94723933808979
"28","applic",8.18357393040689e-06,0.004361400798249,1.34073418604027e-05,1.52821077082951e-05,0.00656027938786894,9.05784482549289
"29","area",8.18357393040689e-06,0.00291296510879361,0.00256080229533693,1.52821077082951e-05,0.001103485072636,8.47554167122222
"30","ask",0.0034452846247013,1.60937298828376e-05,0.00148821494650471,1.52821077082951e-05,1.21262095894066e-05,-7.74198063892738
"31","aspect",0.000253690791842613,0.00114265482168147,1.34073418604027e-05,1.52821077082951e-05,1.21262095894066e-05,2.17124659325682
"32","asphalt",8.18357393040689e-06,0.00291296510879361,1.34073418604027e-05,1.52821077082951e-05,1.21262095894066e-05,8.47554167122222
"33","audienc",0.00197224131722806,1.60937298828376e-05,1.34073418604027e-05,1.52821077082951e-05,1.21262095894066e-05,-6.93719355209095
"34","away",0.00139939114209958,0.00114265482168147,0.000281554179068458,0.000168103184791246,1.21262095894066e-05,-0.292409611242201
"35","bacteria",8.18357393040689e-06,0.00194734131582335,1.34073418604027e-05,1.52821077082951e-05,1.21262095894066e-05,7.89455902141361
"36","bad",0.00172673409931585,1.60937298828376e-05,1.34073418604027e-05,1.52821077082951e-05,1.21262095894066e-05,-6.74540340456817
"37","barrier",8.18357393040689e-06,0.00114265482168147,1.34073418604027e-05,1.52821077082951e-05,0.00122474716853006,7.1254429036437
"38","basic",0.00049919800975482,0.00355671430410712,0.00215858203952484,0.000473745338957149,1.21262095894066e-05,2.83286100596756
"39","batteri",8.18357393040689e-06,0.0016254667181666,1.34073418604027e-05,0.000932208570206002,1.21262095894066e-05,7.63390726689081
"40","becaus",0.000826540966971095,0.00114265482168147,1.34073418604027e-05,1.52821077082951e-05,1.21262095894066e-05,0.467231420891902
"41","becom",0.00254509149235654,1.60937298828376e-05,0.000415627597672486,0.00444709334311388,0.000497174593165668,-7.30507498599159
"42","believ",0.00197224131722806,1.60937298828376e-05,1.34073418604027e-05,0.000779387493123051,1.21262095894066e-05,-6.93719355209095
