"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","access",2.14887399002922e-05,0.00126500644905249,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,5.87942004402009
"2","act",0.00195547533092659,2.4804048020637e-05,3.21584769745305e-05,2.38914373088685e-05,0.000401665084349668,-6.3007999381501
"3","adverti",2.14887399002922e-05,0.00126500644905249,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,5.87942004402009
"4","ain",0.00861698470001719,2.4804048020637e-05,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,-8.44046372440633
"5","air",2.14887399002922e-05,0.0310298640738168,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,10.4958607762144
"6","allergi",2.14887399002922e-05,0.00225716836987796,3.21584769745305e-05,2.38914373088685e-05,0.000401665084349668,6.71478934224729
"7","almost",2.14887399002922e-05,0.00126500644905249,3.21584769745305e-05,0.00145737767584098,3.65150076681516e-05,5.87942004402009
"8","alreadi",0.00174058793192367,2.4804048020637e-05,0.00196166709544636,0.000740634556574924,3.65150076681516e-05,-6.13285530083603
"9","although",2.14887399002922e-05,0.00101696596884612,0.000996912786210445,0.000262805810397554,3.65150076681516e-05,5.56454670666668
"10","alway",2.14887399002922e-05,0.00225716836987796,3.21584769745305e-05,0.00384652140672783,0.000401665084349668,6.71478934224729
"11","amber",2.14887399002922e-05,0.00200912788967159,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,6.54684470493322
"12","among",0.00152570053292075,2.4804048020637e-05,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,-5.94275241745609
"13","anoth",0.000236376138903215,0.00498561365214803,0.00228325186519166,2.38914373088685e-05,3.65150076681516e-05,4.39861477459023
"14","anymor",0.00131081313391783,2.4804048020637e-05,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,-5.72374263551429
"15","anyth",0.00324479972494413,0.000272844528227007,0.00067532801646514,0.00169629204892966,3.65150076681516e-05,-3.57197841863919
"16","anyway",2.14887399002922e-05,0.00151304692925886,3.21584769745305e-05,0.000501720183486238,0.000766815161031184,6.13773203961148
"17","apart",2.14887399002922e-05,0.00151304692925886,3.21584769745305e-05,2.38914373088685e-05,0.000766815161031184,6.13773203961148
"18","appl",2.14887399002922e-05,0.00126500644905249,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,5.87942004402009
"19","appli",2.14887399002922e-05,0.00324933029070344,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,7.24041770358605
"20","april",2.14887399002922e-05,0.00200912788967159,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,6.54684470493322
"21","ask",0.00195547533092659,2.4804048020637e-05,3.21584769745305e-05,0.00384652140672783,3.65150076681516e-05,-6.3007999381501
"22","automaton",0.00238525012893244,2.4804048020637e-05,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,-6.58742116430151
"23","averi",0.00625322331098504,2.4804048020637e-05,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,-7.97788064085969
"24","away",0.00302991232594121,2.4804048020637e-05,0.00260483663493697,2.38914373088685e-05,0.00295771562112028,-6.9325566503502
"25","bad",0.00281502492693828,0.00200912788967159,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,-0.486578296604232
"26","base",2.14887399002922e-05,0.00101696596884612,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,5.56454670666668
"27","basic",2.14887399002922e-05,0.00176108740946523,3.21584769745305e-05,0.00289086391437309,3.65150076681516e-05,6.35674182155328
"28","batteri",2.14887399002922e-05,0.00200912788967159,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,6.54684470493322
"29","beep",2.14887399002922e-05,0.00101696596884612,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,5.56454670666668
"30","believ",0.00174058793192367,2.4804048020637e-05,3.21584769745305e-05,0.00241303516819572,3.65150076681516e-05,-6.13285530083603
"31","besid",2.14887399002922e-05,0.00126500644905249,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,5.87942004402009
"32","best",0.00345968712394705,0.00548169461256077,0.00164008232570106,2.38914373088685e-05,3.65150076681516e-05,0.663980383325408
"33","bet",0.00131081313391783,2.4804048020637e-05,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,-5.72374263551429
"34","better",0.00324479972494413,0.00399345173132255,3.21584769745305e-05,0.00360760703363914,3.65150076681516e-05,0.299506840838132
"35","big",2.14887399002922e-05,0.00225716836987796,3.21584769745305e-05,0.00145737767584098,3.65150076681516e-05,6.71478934224729
"36","bigger",2.14887399002922e-05,0.00101696596884612,3.21584769745305e-05,0.000262805810397554,0.000766815161031184,5.56454670666668
"37","bit",2.14887399002922e-05,0.00176108740946523,0.000996912786210445,2.38914373088685e-05,0.00733951654129847,6.35674182155328
"38","black",2.14887399002922e-05,0.00300128981049707,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,7.12585793932319
"39","bodi",0.00217036272992952,0.0027532493302907,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,0.343199085646905
"40","bother",2.14887399002922e-05,0.00101696596884612,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,5.56454670666668
"41","bottom",2.14887399002922e-05,0.0027532493302907,0.00164008232570106,2.38914373088685e-05,3.65150076681516e-05,7.0014105683987
"42","bought",2.14887399002922e-05,0.00176108740946523,3.21584769745305e-05,0.000262805810397554,3.65150076681516e-05,6.35674182155328
"43","boy",0.00174058793192367,2.4804048020637e-05,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,-6.13285530083603
"44","break",2.14887399002922e-05,0.00126500644905249,0.000353743246719835,0.000740634556574924,3.65150076681516e-05,5.87942004402009
"45","brother",0.00195547533092659,2.4804048020637e-05,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,-6.3007999381501
"46","brought",0.00195547533092659,2.4804048020637e-05,3.21584769745305e-05,2.38914373088685e-05,0.0011319652377127,-6.3007999381501
"47","buddi",2.14887399002922e-05,0.00126500644905249,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,5.87942004402009
"48","busi",0.00217036272992952,2.4804048020637e-05,3.21584769745305e-05,0.00145737767584098,3.65150076681516e-05,-6.4512167807032
"49","button",2.14887399002922e-05,0.00151304692925886,3.21584769745305e-05,0.000979548929663608,3.65150076681516e-05,6.13773203961148
"50","buy",2.14887399002922e-05,0.00250520885008433,3.21584769745305e-05,0.000740634556574924,3.65150076681516e-05,6.86520618480039
"51","cadr",2.14887399002922e-05,0.00126500644905249,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,5.87942004402009
"52","came",0.0010959257349149,0.00101696596884612,3.21584769745305e-05,0.000501720183486238,0.00149711531439422,-0.107878635304817
"53","can",0.00174058793192367,2.4804048020637e-05,0.00067532801646514,2.38914373088685e-05,3.65150076681516e-05,-6.13285530083603
"54","captur",2.14887399002922e-05,0.00101696596884612,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,5.56454670666668
"55","car",2.14887399002922e-05,0.00597777557297351,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,8.11988403827856
"56","care",0.00238525012893244,0.000272844528227007,0.00164008232570106,2.38914373088685e-05,0.00186226539107573,-3.12798954566421
"57","carl",0.0103360838920406,2.4804048020637e-05,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,-8.70289838172145
"58","carpet",2.14887399002922e-05,0.00200912788967159,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,6.54684470493322
"59","caus",0.00174058793192367,2.4804048020637e-05,3.21584769745305e-05,2.38914373088685e-05,0.00259256554443876,-6.13285530083603
"60","celebr",0.0010959257349149,2.4804048020637e-05,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,-5.4654306399229
"61","cell",2.14887399002922e-05,0.00548169461256077,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,7.99489726144003
"62","certain",0.00195547533092659,2.4804048020637e-05,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,-6.3007999381501
"63","chang",2.14887399002922e-05,0.00374541125111618,3.21584769745305e-05,0.00217412079510703,3.65150076681516e-05,7.44539944137367
"64","charg",0.0010959257349149,2.4804048020637e-05,3.21584769745305e-05,2.38914373088685e-05,0.000401665084349668,-5.4654306399229
"65","chatter",0.00302991232594121,2.4804048020637e-05,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,-6.9325566503502
"66","cheapest",2.14887399002922e-05,0.00101696596884612,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,5.56454670666668
"67","check",2.14887399002922e-05,0.00324933029070344,3.21584769745305e-05,2.38914373088685e-05,0.00149711531439422,7.24041770358605
"68","cheer",0.00431923671995874,2.4804048020637e-05,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,-7.44405698913033
"69","chine",2.14887399002922e-05,0.00101696596884612,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,5.56454670666668
"70","citi",0.00217036272992952,2.4804048020637e-05,3.21584769745305e-05,0.000262805810397554,3.65150076681516e-05,-6.4512167807032
"71","class",2.14887399002922e-05,0.00176108740946523,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,6.35674182155328
"72","clean",2.14887399002922e-05,0.0146591923801965,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,9.41400902222613
"73","cleaner",2.14887399002922e-05,0.00225716836987796,3.21584769745305e-05,2.38914373088685e-05,0.000401665084349668,6.71478934224729
"74","clear",2.14887399002922e-05,0.00200912788967159,3.21584769745305e-05,2.38914373088685e-05,0.000401665084349668,6.54684470493322
"75","click",0.00195547533092659,2.4804048020637e-05,0.00067532801646514,0.000740634556574924,3.65150076681516e-05,-6.3007999381501
"76","client",0.0010959257349149,2.4804048020637e-05,3.21584769745305e-05,0.00169629204892966,3.65150076681516e-05,-5.4654306399229
"77","close",0.00066615093690906,0.00300128981049707,0.00228325186519166,2.38914373088685e-05,3.65150076681516e-05,2.17166162893631
"78","closer",0.0010959257349149,2.4804048020637e-05,3.21584769745305e-05,2.38914373088685e-05,0.00295771562112028,-5.4654306399229
"79","color",0.000236376138903215,0.00300128981049707,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,3.66642632068589
"80","come",0.00345968712394705,2.4804048020637e-05,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,-7.12392217606602
"81","comfort",2.14887399002922e-05,0.00200912788967159,3.21584769745305e-05,0.000262805810397554,3.65150076681516e-05,6.54684470493322
"82","compar",0.000881038335911982,0.00101696596884612,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,0.206994702048595
"83","complet",0.000236376138903215,0.00200912788967159,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,3.08741308629592
"84","confirm",0.0010959257349149,2.4804048020637e-05,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,-5.4654306399229
"85","connect",2.14887399002922e-05,0.00250520885008433,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,6.86520618480039
"86","consid",0.00152570053292075,2.4804048020637e-05,0.00196166709544636,0.00145737767584098,3.65150076681516e-05,-5.94275241745609
"87","control",0.00281502492693828,2.4804048020637e-05,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,-6.82642829948886
"88","cool",2.14887399002922e-05,0.00176108740946523,3.21584769745305e-05,0.000740634556574924,0.000766815161031184,6.35674182155328
"89","cooper",0.0010959257349149,2.4804048020637e-05,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,-5.4654306399229
"90","cop",0.00195547533092659,2.4804048020637e-05,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,-6.3007999381501
"91","cost",0.00066615093690906,0.00225716836987796,3.21584769745305e-05,0.000262805810397554,3.65150076681516e-05,1.76059303186041
"92","couldn",0.00066615093690906,0.00101696596884612,3.21584769745305e-05,0.000262805810397554,0.000401665084349668,0.610350396279803
"93","counselor",2.14887399002922e-05,0.0104425042166882,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,8.92467112511499
"94","cover",0.00131081313391783,0.00399345173132255,0.000353743246719835,0.000262805810397554,3.65150076681516e-05,1.60717424260033
"95","coway",2.14887399002922e-05,0.00151304692925886,3.21584769745305e-05,2.38914373088685e-05,3.65150076681516e-05,6.13773203961148
