"","x"
"robot",483
"think",192
"peopl",156
"realli",136
"human",119
"technolog",113
"work",109
"actual",103
"differ",102
"need",100
"use",100
"learn",94
"time",94
"now",92
"social",88
"someth",83
"vector",79
"don",73
"design",70
"home",68
"littl",68
"creat",65
"person",65
"first",64
"engag",63
"children",62
"mean",62
"clean",60
"live",60
"talk",60
"brain",57
"job",54
"question",53
"start",53
"help",52
"interact",52
"play",52
"abl",51
"tell",50
"comput",47
"tri",47
"feel",46
"machin",46
"move",46
"let",45
"music",45
"world",44
"day",43
"ask",42
"build",42
"kid",42
"sensor",42
"smart",42
"featur",41
"part",41
"set",41
"child",40
"real",40
"futur",39
"year",39
"arm",38
"system",38
"connect",37
"basic",36
"better",36
"research",36
"video",36
"base",35
"good",35
"open",35
"control",34
"hey",34
"import",34
"interest",34
"today",34
"room",33
"show",33
"anoth",32
"call",32
"hand",32
"map",32
"understand",32
"develop",31
"life",31
"thank",31
"watch",31
"area",30
"experi",30
"happen",30
"alway",29
"give",29
"intellig",29
"may",29
"turn",29
"didn",28
"enough",28
"made",28
"cool",27
"find",27
"adult",26
"agent",26
"alexa",26
"guy",26
"long",26
"might",26
"model",26
"name",26
"everi",25
"floor",25
"game",25
"idea",25
"point",25
"seem",25
"space",25
"charg",24
"conver",24
"data",24
"place",24
"project",24
"test",24
"vacuum",24
"yeah",24
"bit",23
"definit",23
"digit",23
"function",23
"hard",23
"love",23
"mayb",23
"program",23
"roomba",23
"studi",23
"built",22
"easi",22
"includ",22
"meet",22
"nice",22
"anyth",21
"bot",21
"check",21
"daniel",21
"exampl",21
"eye",21
"inaud",21
"jibo",21
"pretti",21
"quit",21
"side",21
"sort",21
"support",21
"touch",21
"artifici",20
"behavior",20
"best",20
"care",20
"close",20
"effect",20
"emot",20
"end",20
"month",20
"opportun",20
"process",20
"product",20
"second",20
"sen",20
"small",20
"thought",20
"togeth",20
"whole",20
"advanc",19
"app",19
"assist",19
"big",19
"chang",19
"done",19
"ear",19
"face",19
"fact",19
"friend",19
"hous",19
"keep",19
"level",19
"light",19
"mani",19
"older",19
"power",19
"beep",18
"burger",18
"complet",18
"devic",18
"edg",18
"educ",18
"elliq",18
"ever",18
"hospit",18
"matter",18
"mile",18
"pick",18
"provid",18
"word",18
"becom",17
"benefit",17
"clear",17
"compani",17
"compar",17
"continu",17
"doesn",17
"head",17
"high",17
"line",17
"okay",17
"physic",17
"singl",17
"spirit",17
"stuff",17
"almost",16
"anim",16
"away",16
"brien",16
"buddi",16
"collabor",16
"download",16
"far",16
"generat",16
"languag",16
"old",16
"order",16
"reason",16
"replac",16
"restaur",16
"role",16
"san",16
"simul",16
"sound",16
"stori",16
"top",16
"vac",16
"yet",16
"answer",15
"challeng",15
"code",15
"color",15
"cost",15
"exact",15
"expect",15
"francisco",15
"imagin",15
"isn",15
"laser",15
"perfect",15
"plan",15
"scan",15
"school",15
"softwar",15
"step",15
"term",15
"without",15
"allow",14
"alreadi",14
"awesom",14
"camera",14
"capabl",14
"companion",14
"cour",14
"custom",14
"distanc",14
"environ",14
"excit",14
"field",14
"four",14
"group",14
"hope",14
"impact",14
"last",14
"lola",14
"mind",14
"pepper",14
"senior",14
"specif",14
"task",14
"tool",14
"voic",14
"yes",14
"across",13
"algorithm",13
"applic",13
"bad",13
"bring",13
"case",13
"collect",13
"comment",13
"engin",13
"everyth",13
"insid",13
"miss",13
"mode",13
"movement",13
"never",13
"object",13
"one",13
"oper",13
"possibl",13
"reinforc",13
"rememb",13
"rover",13
"share",13
"skill",13
"student",13
"train",13
"vision",13
"visit",13
"along",12
"anki",12
"appreci",12
"assembl",12
"attent",12
"autonom",12
"believ",12
"danc",12
"deep",12
"dog",12
"either",12
"fun",12
"handl",12
"hear",12
"issu",12
"million",12
"mindset",12
"navig",12
"notic",12
"obvious",12
"probabl",12
"quick",12
"reach",12
"relat",12
"rudi",12
"scienc",12
"send",12
"sometim",12
"though",12
"thousand",12
"util",12
"add",11
"age",11
"countri",11
"creativ",11
"dark",11
"drive",11
"effici",11
"expert",11
"express",11
"fascin",11
"full",11
