"","V1"
"Youtube Corpus--sVeB35yhc.txt",4
"Youtube Corpus-5SVASO52Ek.txt",3
"Youtube Corpus-awA51z8Y2k.txt",4
"Youtube Corpus-LUt89E-OY0.txt",4
"Youtube Corpus005cd2s9B-U.txt",5
"Youtube Corpus1P1wEVPaKHI.txt",1
"Youtube Corpus2a2UpRO9tvA.txt",2
"Youtube Corpus2zo1xCA3hLM.txt",4
"Youtube Corpus3X279Tg-c4I.txt",4
"Youtube Corpus4N_qa0zx3CM.txt",3
"Youtube Corpus4Q-7E4u5T9I.txt",3
"Youtube Corpus5Oxm3-of17o.txt",2
"Youtube Corpus6hbNrrrdEus.txt",1
"Youtube Corpus8iv_wDp58tw.txt",4
"Youtube Corpus8YFNfVP0_00.txt",3
"Youtube Corpus912Ju7j_grw.txt",4
"Youtube Corpus9gxJ7EVD26s.txt",5
"Youtube Corpus9j8G_4FocrA.txt",5
"Youtube Corpus9RlM-aBbUBc.txt",1
"Youtube Corpusa84UlLe6zDg.txt",4
"Youtube CorpusAI6eJEorklQ.txt",5
"Youtube CorpusBoa8srjKzCI.txt",5
"Youtube CorpusBpErjAPvDtY.txt",5
"Youtube CorpusbuiNWADqakM.txt",2
"Youtube CorpuscUXUDKb4H7c.txt",5
"Youtube Corpuscw0A9FUTEKE.txt",1
"Youtube CorpusdWwsco4xzEk.txt",3
"Youtube CorpusEeaoflXwQcs.txt",1
"Youtube CorpusEMFp01mk56k.txt",5
"Youtube CorpusEmmNb0zhvxc.txt",5
"Youtube CorpusFBsP-bmDLOo.txt",2
"Youtube Corpusfn4SaN-lUns.txt",5
"Youtube Corpusg-gGeAe-PJA.txt",1
"Youtube CorpusgDpL8QWs2Bg.txt",1
"Youtube CorpusGi5dOvlMCgE.txt",2
"Youtube CorpusGQpts5I1q-Y.txt",5
"Youtube Corpush5a9ApTANZg.txt",5
"Youtube CorpusHF8jNIO-h9M.txt",4
"Youtube Corpusi5xnD2XLxyo.txt",4
"Youtube CorpusjG5M964kN9I.txt",3
"Youtube CorpusJKaoLxw0qJI.txt",2
"Youtube CorpusjnMcAbCJw28.txt",5
"Youtube CorpusJQnsAIbt6rw.txt",4
"Youtube CorpusK2rY7JkwL2k.txt",3
"Youtube CorpusKKd8dYEE-Bo.txt",4
"Youtube CorpusLSN-DDjj66c.txt",4
"Youtube CorpusM9bwrdpZpgI.txt",3
"Youtube CorpusmQhjOhHpAUM.txt",4
"Youtube CorpusnFpBHDz-sWk.txt",1
"Youtube CorpusnMjg6qqvbkE.txt",4
"Youtube Corpusnt6JoeMjwIA.txt",1
"Youtube Corpusoaf2So_8y-M.txt",3
"Youtube CorpusOoIOFNZyoj8.txt",4
"Youtube CorpusOR3Oq0j5nHQ.txt",5
"Youtube CorpusOVuoPI2l41E.txt",4
"Youtube Corpusp7vZf10sdrE.txt",1
"Youtube CorpuspiDWLauBJ-8.txt",2
"Youtube CorpusQ9p3t1s7O0Y.txt",3
"Youtube CorpusQ9QBH0vJ2QI.txt",5
"Youtube CorpusQjaVBVXuDyo.txt",5
"Youtube CorpusqyY3LYj-MOY.txt",1
"Youtube CorpusrAkuhQwNSkg.txt",4
"Youtube CorpusRkc6lyxOPvE.txt",5
"Youtube CorpusS7m465BbZF8.txt",5
"Youtube CorpusSG85TQK8G74.txt",4
"Youtube CorpusSVlpfku8Fwo.txt",1
"Youtube CorpusSZ0aCaaSPT8.txt",1
"Youtube CorpusUhfH-tmwprg.txt",5
"Youtube CorpusUuf88P4OGGs.txt",5
"Youtube CorpusuxOqjzHwAi8.txt",4
"Youtube CorpusVm9SghxJ3Dw.txt",4
"Youtube CorpusVqbGh7MaTik.txt",4
"Youtube Corpusvy8gskp3qG8.txt",5
"Youtube Corpusw9dKsrrsuWI.txt",1
"Youtube CorpuswtVOD1buaRk.txt",5
"Youtube CorpusWvoc80pho-s.txt",4
"Youtube CorpusXnEsKm3Mlx8.txt",5
"Youtube CorpusydjSBcZ6YNg.txt",5
"Youtube CorpusyNBYF2ry6lc.txt",2
"Youtube CorpusYRNvSMGovDs.txt",2
