"","V1"
"Youtube Corpus-cqvNWZBku4.txt",5
"Youtube Corpus-qnMLjxJZm0.txt",5
"Youtube Corpus_kNvExbheNA.txt",5
"Youtube Corpus_U21fT8VLp0.txt",4
"Youtube Corpus0TVUV9C12XY.txt",3
"Youtube Corpus1RM1xkhFSYM.txt",5
"Youtube Corpus28vwvhYhVqM.txt",5
"Youtube Corpus2g7wIZLbt0I.txt",1
"Youtube Corpus2KMk1lJGPlk.txt",5
"Youtube Corpus4PkzGNeAAeA.txt",3
"Youtube Corpus5dZ_lvDgevk.txt",3
"Youtube Corpus5McOKTjeZCo.txt",5
"Youtube Corpus6eiErYh_FeY.txt",3
"Youtube Corpus6MW-naoRtPY.txt",3
"Youtube Corpus6nGCGYWMObE.txt",1
"Youtube Corpus7j38uJoB8fk.txt",1
"Youtube Corpus7R52wiUgxZI.txt",1
"Youtube Corpus89A4jGvaaKk.txt",3
"Youtube Corpus8psgEDhT1MM.txt",3
"Youtube Corpusa0_lo_GDcFw.txt",5
"Youtube CorpusA1ahQg7podA.txt",5
"Youtube CorpusA27zA0WV3vY.txt",3
"Youtube CorpusaIsgJJYrlXk.txt",2
"Youtube Corpusakp0zeI6_6c.txt",4
"Youtube CorpusAwweXu2Tx14.txt",5
"Youtube CorpusbmjamLZ3v8A.txt",5
"Youtube CorpusbumQ8QGMjpc.txt",4
"Youtube CorpusbZTAxxOhiD8.txt",5
"Youtube CorpuscB_-o07uiuc.txt",5
"Youtube CorpusclFqS2rMG3g.txt",5
"Youtube CorpuscmrsEWNoaIA.txt",5
"Youtube Corpusd4rBh6DBHyw.txt",3
"Youtube CorpusdEv99vxKjVI.txt",5
"Youtube CorpusEc7Wu2JMvPw.txt",3
"Youtube Corpuseey91kzfOZs.txt",2
"Youtube CorpusEQJrYkSLafU.txt",3
"Youtube CorpuseRXqD-7FANg.txt",3
"Youtube CorpusETNgVsOCkSQ.txt",5
"Youtube CorpusExrXs7PCQpU.txt",3
"Youtube CorpuseYmKC0oQtDE.txt",5
"Youtube CorpusF0Yn-q36BUQ.txt",5
