"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","think","realli","block","secur","blockchain"
"2","money","data","transact","compani","data"
"3","bank","think","use","busi","network"
"4","exchang","peopl","key","process","use"
"5","market","work","hash","risk","transact"
"6","bitcoin","question","bitcoin","manag","chain"
"7","currenc","digit","function","actual","applic"
"8","central","actual","don","case","contract"
"9","question","need","work","need","record"
"10","don","time","time","bank","technolog"
"11","ledger","use","now","work","system"
"12","year","now","actual","good","user"
"13","littl","talk","proof","custom","now"
"14","now","system","number","inform","creat"
"15","financ","world","peopl","suppli","develop"
"16","talk","year","send","use","decentr"
"17","crypto","mani","public","servic","need"
"18","valu","technolog","realli","talk","smart"
"19","someth","don","everi","today","mean"
"20","system","build","node","might","distribut"
"21","sort","differ","someth","attack","node"
"22","time","vote","messag","part","first"
"23","dollar","start","document","provid","store"
"24","mean","learn","privat","differ","trust"
"25","technolog","someth","differ","time","base"
"26","call","challeng","chang","happen","let"
"27","realli","libra","tri","financ","servic"
"28","might","inaud","inform","abl","app"
"29","mayb","first","bit","system","type"
"30","secur","sort","valid","give","ledger"
"31","use","provid","call","mayb","code"
"32","trade","project","happen","document","build"
"33","bit","thank","might","understand","cryptocurr"
"34","read","problem","sort","cost","platform"
"35","hundr","solut","case","product","connect"
"36","peopl","access","data","account","solut"
"37","issu","help","idea","industri","databa"
"38","day","tri","talk","help","differ"
"39","econom","import","let","let","bitcoin"
"40","law","abl","verifi","multipl","video"
"41","big","mean","comput","requir","ident"
"42","transact","educ","signatur","cyber","allow"
"43","payment","impact","basic","import","storag"
"44","give","countri","person","start","content"
"45","point","servic","creat","across","devic"
"46","move","ecosystem","mine","point","iot"
"47","govern","point","start","certain","privat"
"48","probabl","call","valu","exampl","integr"
"49","anybodi","creat","filter","now","token"
"50","side","healthcar","chain","may","access"
"51","cost","understand","blockchain","oper","call"
"52","start","govern","littl","particip","solv"
"53","buy","idea","need","set","ethereum"
"54","public","interest","exampl","share","layer"
"55","clear","excit","problem","technolog","public"
"56","differ","today","prove","board","event"
"57","digit","cour","address","level","world"
"58","somebodi","record","algorithm","framework","internet"
"59","account","answer","digit","chang","basic"
"60","interest","person","doesn","cloud","built"
"61","need","issu","everyon","within","high"
"62","decentr","present","encrypt","insur","power"
"63","good","human","full","specif","anoth"
"64","stock","becom","hey","end","domain"
"65","four","intellig","secur","entiti","provid"
"66","share","big","set","respon","consid"
"67","class","end","think","cour","product"
"68","actual","give","add","organ","file"
"69","price","futur","anyth","aspect","requir"
"70","second","implement","concept","chain","logic"
"71","paper","exampl","miner","focus","parti"
"72","anoth","everyon","cryptograph","thank","state"
"73","regul","real","letter","asset","without"
"74","thought","move","someon","bring","alreadi"
"75","basic","student","sign","involv","control"
"76","countri","done","first","reduc","protocol"
"77","first","place","interest","control","support"
"78","million","social","particular","show","model"
"79","percent","health","keep","day","second"
"80","ten","part","mani","protect","consensus"
"81","thousand","global","cryptographi","instanc","final"
"82","tri","team","exact","problem","immut"
"83","yes","univ","suppo","regul","enterpri"
"84","sell","facebook","whole","trade","name"
"85","cash","guy","code","benefit","particip"
"86","half","hospit","everyth","continu","central"
"87","work","opportun","whatev","keep","deploy"
"88","coin","keep","client","type","interact"
"89","part","possibl","singl","togeth","wallet"
"90","token","side","alway","area","advantag"
"91","bunch","experi","cipher","audit","tradit"
"92","rememb","platform","generat","done","transfer"
"93","investor","onlin","version","privaci","complet"
"94","pay","machin","abl","larg","link"
"95","legal","open","instead","peopl","secur"
"96","tax","yeah","match","step","write"
"97","databa","built","probabl","access","third"
"98","blockchain","day","copi","big","asset"
"99","fund","million","input","execut","channel"
"100","permiss","trust","coin","loan","cloud"
