"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","access",0.00476142005677513,0.00249438481246967,0.00234853376283357,7.1767416157716e-06,7.34381540585596e-06,-0.932707861312072
"2","accord",0.00159467987649713,1.12868091061976e-05,7.09526816566033e-06,7.1767416157716e-06,7.34381540585596e-06,-7.1424853500359
"3","action",1.13097863581357e-05,0.00249438481246967,0.00476092493915808,7.1767416157716e-06,7.34381540585596e-06,7.78496856175432
"4","activ",0.00114228842217171,0.00181717626609781,0.00021995331313547,7.1767416157716e-06,0.00103547797222569,0.669771397725715
"5","add",1.13097863581357e-05,0.0041874061783993,0.000574716721418486,0.00108368798398151,0.000888601664108571,8.5323413789837
"6","adjust",1.13097863581357e-05,0.00181717626609781,7.09526816566033e-06,7.1767416157716e-06,7.34381540585596e-06,7.32798288047751
"7","advanc",0.00114228842217171,1.12868091061976e-05,0.00021995331313547,7.1767416157716e-06,7.34381540585596e-06,-6.6611454803889
"8","alarm",1.13097863581357e-05,0.00599329563539092,7.09526816566033e-06,7.1767416157716e-06,7.34381540585596e-06,9.04963405316705
"9","alert",0.000802994831427634,0.00204291244822176,7.09526816566033e-06,7.1767416157716e-06,7.34381540585596e-06,1.34716476994142
"10","alexa",1.13097863581357e-05,0.00384880190521338,7.09526816566033e-06,0.00345201271718614,7.34381540585596e-06,8.41069393138707
"11","along",0.00114228842217171,1.12868091061976e-05,0.000361858676448676,7.1767416157716e-06,0.00110891612628425,-6.6611454803889
"12","alright",1.13097863581357e-05,0.00215578053928374,0.000290905994792073,7.1767416157716e-06,7.34381540585596e-06,7.57449483039864
"13","alway",1.13097863581357e-05,0.00170430817503584,7.09526816566033e-06,0.000294246406246636,0.00279799366963112,7.23547074168797
"14","analyz",0.00114228842217171,1.12868091061976e-05,7.80479498222636e-05,7.1767416157716e-06,7.34381540585596e-06,-6.6611454803889
"15","anoth",0.00159467987649713,0.00305872526777955,7.09526816566033e-06,7.1767416157716e-06,0.00279799366963112,0.939663691317971
"16","answer",0.00159467987649713,1.12868091061976e-05,7.09526816566033e-06,0.000868385735508364,7.34381540585596e-06,-7.1424853500359
"17","anyth",0.00102919055859035,0.000237022991230149,7.80479498222636e-05,7.1767416157716e-06,0.00279799366963112,-2.11841121505704
"18","anywh",1.13097863581357e-05,0.00181717626609781,7.09526816566033e-06,0.00022247899008892,0.00169642135875273,7.32798288047751
"19","anywherecar",0.00136848414933442,1.12868091061976e-05,7.09526816566033e-06,7.1767416157716e-06,7.34381540585596e-06,-6.9217972349117
"20","apart",1.13097863581357e-05,0.00147857199291188,7.09526816566033e-06,7.1767416157716e-06,7.34381540585596e-06,7.03048900390034
"21","app",1.13097863581357e-05,0.0156999514667208,0.0111466662882524,7.1767416157716e-06,0.00132923058845993,10.4389727069051
"22","applic",0.00114228842217171,1.12868091061976e-05,0.00476092493915808,7.1767416157716e-06,7.34381540585596e-06,-6.6611454803889
"23","appoint",0.00261256064872935,1.12868091061976e-05,7.09526816566033e-06,7.1767416157716e-06,7.34381540585596e-06,-7.85468303905316
"24","aretha",0.00102919055859035,1.12868091061976e-05,7.09526816566033e-06,7.1767416157716e-06,7.34381540585596e-06,-6.5107286378358
"25","arrest",0.00148158201291578,1.12868091061976e-05,7.09526816566033e-06,7.1767416157716e-06,7.34381540585596e-06,-7.03635699917456
"26","ask",0.00261256064872935,1.12868091061976e-05,7.09526816566033e-06,0.00574857003423306,7.34381540585596e-06,-7.85468303905316
"27","assault",0.00125538628575306,1.12868091061976e-05,7.09526816566033e-06,7.1767416157716e-06,7.34381540585596e-06,-6.79734986398721
"28","attack",0.00204707133082256,1.12868091061976e-05,7.09526816566033e-06,7.1767416157716e-06,7.34381540585596e-06,-7.50277988472031
"29","audio",0.000124407649939493,0.0032844614499035,7.09526816566033e-06,7.1767416157716e-06,7.34381540585596e-06,4.72250972663388
"30","august",1.13097863581357e-05,0.00159144008397386,7.09526816566033e-06,7.89441577734877e-05,7.34381540585596e-06,7.13661735476169
"31","auto",1.13097863581357e-05,0.00102709962866398,7.09526816566033e-06,0.000366013822404352,7.34381540585596e-06,6.50486064256159
"32","autom",1.13097863581357e-05,0.00226864863034571,7.09526816566033e-06,0.00345201271718614,7.34381540585596e-06,7.64811769354182
