"","V1"
"Youtube Corpus-2zzo2hHasQ.txt",5
"Youtube Corpus-MubH0k8_d4.txt",3
"Youtube Corpus_fe9TdRozF8.txt",1
"Youtube Corpus_Xs_pAMkNlE.txt",2
"Youtube Corpus0RU19NziXVc.txt",1
"Youtube Corpus1zr0umHGFyc.txt",5
"Youtube Corpus3ey76WVYkCI.txt",3
"Youtube Corpus4_MvIf_ULgc.txt",5
"Youtube Corpus42maRyNUfqM.txt",1
"Youtube Corpus4550xV00jlA.txt",3
"Youtube Corpus51FpOjNtg0Q.txt",4
"Youtube Corpus5TMYkNxLKE8.txt",4
"Youtube Corpus5vwvyi5UmP8.txt",1
"Youtube Corpus5yUNqKAUwiM.txt",1
"Youtube Corpus6LxJS5_iPLU.txt",1
"Youtube Corpus6T0_4O9868o.txt",5
"Youtube Corpus71QEE892nJg.txt",4
"Youtube Corpus7ppDHMqDXHs.txt",4
"Youtube Corpus7sn8df97-JU.txt",2
"Youtube Corpus8_x22hdXYcw.txt",2
"Youtube Corpus98p1hmeqcJk.txt",3
"Youtube Corpus9FIxF_NixtU.txt",5
"Youtube Corpus9mUPuV-DUEE.txt",4
"Youtube CorpusaahtxFGiSko.txt",5
"Youtube CorpusABr_HkO0eGk.txt",5
"Youtube CorpusAc-CeOWfIjk.txt",4
"Youtube CorpusaCo-7TKAgzg.txt",4
"Youtube CorpusADVzemlKN2s.txt",4
"Youtube CorpusAiv95e2-Yn0.txt",5
"Youtube CorpusajmWGxAr9Wk.txt",2
"Youtube CorpusAqp81W-U3Hg.txt",1
"Youtube CorpusaRswG2oowEA.txt",5
"Youtube CorpusAwgNWo3QEvE.txt",2
"Youtube CorpusbDGStKtgDGs.txt",4
"Youtube CorpusbH_VHvUd984.txt",2
"Youtube CorpusBl6Tw1rl-A0.txt",4
"Youtube CorpusbMafI3YC3iE.txt",2
"Youtube CorpusbMy3ZpNApcY.txt",5
"Youtube CorpusbNqb4WRmHmc.txt",5
"Youtube CorpusbSiTtA_EwOk.txt",1
"Youtube Corpusc7iITyFfhzY.txt",2
"Youtube CorpusCE25KC7cTQ8.txt",4
"Youtube CorpusCP0-IpFKtdo.txt",1
"Youtube CorpusczlvzetIdfc.txt",5
"Youtube CorpusD8XAGFcVAzQ.txt",5
"Youtube CorpusdaKZZ5AWar8.txt",1
"Youtube CorpusDX9GhhKbFfM.txt",5
"Youtube CorpusELjwIu04NKM.txt",5
"Youtube CorpusEmctbDnsNAc.txt",3
"Youtube Corpusfa8ozFRw4oM.txt",5
"Youtube CorpusFzmtQ3wR7q8.txt",5
"Youtube CorpusgbHamihDaZA.txt",5
