"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abl",0.00125038256471384,0.00296343242227559,0.00571065190837772,0.00141713167834352,0.000150635316863872,1.2448995921455
"2","access",0.00159267730867737,0.000527080135289209,2.09873278514433e-06,2.94621970549588e-06,6.78686592463599e-05,-1.59535976735874
"3","across",0.00171348721831156,0.000765938202640815,0.000778629863288546,2.94621970549588e-06,1.65533315235024e-06,-1.16163552760909
"4","actual",0.00354577084776341,0.016657961617101,0.00464029818795411,0.00230099758999228,0.00157422182788508,2.23204066597348
"5","add",0.00255915658575087,0.00070224271801372,0.00241564143570112,2.94621970549588e-06,0.00265018837691274,-1.86562675914061
"6","ahead",0.00354577084776341,1.59238711567737e-06,0.000274933994853907,2.94621970549588e-06,0.000928641898468486,-11.1206924835244
"7","allow",0.000364443227396466,0.00167359885857691,0.000757642535437103,0.000710038949024507,0.000531361941904428,2.1991877771858
"8","along",0.000243633317762278,0.00111626336808984,0.000274933994853907,2.94621970549588e-06,0.000266508637528389,2.19589410704286
"9","alreadi",0.00121011259483578,0.00117995885271693,0.00132430038742607,0.000827887737244342,0.000514808610380925,-0.0364047380985222
"10","alway",0.000706737971359997,0.0011958827238737,0.0010934397810602,3.24084167604546e-05,0.00114383520827402,0.758828587516541
"11","anoth",0.0016732172484335,0.00261310725682656,0.00317118523835308,2.94621970549588e-06,0.00266674170843624,0.643141567050198
"12","answer",0.000887952835811279,0.00468321050720714,0.000463819945516897,2.94621970549588e-06,1.65533315235024e-06,2.39894293363637
"13","appli",2.01349849390313e-06,0.00231055370484786,0.00281440066487855,0.000209181599090207,0.00190528845835513,10.1643185143736
"14","approxim",0.00010268842318906,0.00199207628171239,2.09873278514433e-06,2.94621970549588e-06,0.000316168632098896,4.27792744250115
"15","architectur",0.000304038272579372,0.00235832531831818,0.00210083151792947,2.94621970549588e-06,1.65533315235024e-06,2.9554378962706
"16","area",0.0012906525345919,0.000527080135289209,0.00054776925692267,0.000975198722519136,1.65533315235024e-06,-1.29200642950469
"17","ask",0.00106916770026256,0.00278826983955107,0.000841591846842876,2.94621970549588e-06,0.00061412859952194,1.38288202793623
"18","assign",0.00116984262495772,0.000367841423721472,2.09873278514433e-06,6.18706138154135e-05,0.000365828626669403,-1.66915860168164
"19","attent",2.01349849390313e-06,0.00664184665949031,2.09873278514433e-06,2.94621970549588e-06,1.65533315235024e-06,11.6876643071961
"20","attribut",0.00177389217312865,1.59238711567737e-06,2.09873278514433e-06,2.94621970549588e-06,1.65533315235024e-06,-10.1215114986136
"21","bad",0.000525523106908716,0.0011958827238737,2.09873278514433e-06,3.24084167604546e-05,1.65533315235024e-06,1.18624981125122
"22","bar",0.00100876274544547,1.59238711567737e-06,2.09873278514433e-06,2.94621970549588e-06,1.65533315235024e-06,-9.30718008288838
"23","base",0.00108930268520159,0.00321821436078396,0.00275143868132422,0.00265454395465179,6.78686592463599e-05,1.56285553285975
"24","basic",0.00602237399526425,0.00592527245743549,0.00121936374816886,3.24084167604546e-05,1.65533315235024e-06,-0.0234508096867485
"25","becom",0.0036061758025805,1.59238711567737e-06,0.000128022699893804,0.000798425540189383,0.00266674170843624,-11.1450629116791
"26","best",0.00181416214300672,0.00102072014114919,0.000274933994853907,0.000945736525464177,3.47619961993551e-05,-0.829716038887967
"27","better",0.00058592806172581,0.0051927743842239,0.000253946667002464,0.00277239274287162,1.82086646758527e-05,3.14771009314701
"28","bias",0.0016732172484335,1.59238711567737e-06,2.09873278514433e-06,0.00115197190484889,0.00380892158355791,-10.0372179564635
"29","big",0.000686602986420966,0.00203984789518271,0.000232959339151021,0.00106358531368401,0.000829321909327471,1.5709135416243
"30","bigger",2.01349849390313e-06,0.00124365433734403,4.40733884880309e-05,2.94621970549588e-06,1.65533315235024e-06,9.27066544844881
"31","bit",0.000324173257518403,0.00390294082052523,0.00270946402562133,0.00153498046656335,0.000249955306004886,3.58972460105905
"32","block",0.000505388121969685,0.0011958827238737,0.00100949046965442,2.94621970549588e-06,1.65533315235024e-06,1.24261225387033
"33","blue",0.0010288977303845,1.59238711567737e-06,0.00145022435453473,2.94621970549588e-06,0.00129281519198554,-9.33569277063079
"34","book",0.00165308226349447,0.000638547233386625,2.09873278514433e-06,2.94621970549588e-06,1.65533315235024e-06,-1.37229327501605
"35","box",0.00189470208276284,1.59238711567737e-06,0.000149010027745248,0.00188852683122286,0.000316168632098896,-10.2165642024217
"36","build",0.00282091138995828,0.00141881692006854,0.00199589487867226,0.00277239274287162,0.000498255278857423,-0.991472908602066
"37","bunch",0.000767142926177092,0.00117995885271693,0.00067369322403133,2.94621970549588e-06,0.000283061969051892,0.621169255119341
"38","call",0.00568007925130072,0.00178506595667433,0.00650817036673257,2.94621970549588e-06,0.00463658815973303,-1.66993367747331
"39","care",0.000666468001481935,0.00140289304891176,2.09873278514433e-06,0.000975198722519136,0.000581021936474935,1.07379751242002
"40","case",0.00145173241410415,0.00231055370484786,0.00380080507389638,0.00106358531368401,0.00428896819773948,0.670463065132753
"41","certain",0.00106916770026256,0.00165767498742014,0.000904553830397206,2.94621970549588e-06,0.000746555251709959,0.632673012802093
"42","chang",0.00378739066703178,1.59238711567737e-06,0.00300328661554153,0.00280185493992658,0.00276606169757725,-11.2157974232164
"43","charact",0.00104903271532353,0.000813709816111136,0.000652705896179886,2.94621970549588e-06,1.65533315235024e-06,-0.366473371034057
"44","check",0.00276050643514119,1.59238711567737e-06,0.00107245245320875,0.000827887737244342,0.000581021936474935,-10.7595261454724
"45","class",0.00594183405550813,0.000351917552564699,0.00117738909246597,2.94621970549588e-06,0.00481867480649156,-4.07759893573375
"46","classif",0.00112957265507965,0.000463384650662114,0.00386376705745071,2.94621970549588e-06,0.0016900951485496,-1.28549490739368
"47","clear",0.000867817850872247,0.0015621317604795,0.000316908650556794,2.94621970549588e-06,1.65533315235024e-06,0.84805197743697
"48","close",0.000525523106908716,0.00151436014700918,2.09873278514433e-06,2.94621970549588e-06,0.00054791527342793,1.52688224459751
"49","color",0.00334442099837309,0.000320069810251151,0.00163911030519772,2.94621970549588e-06,1.65533315235024e-06,-3.38529795647662
"50","column",0.00364644577245856,0.000383765294878246,0.000778629863288546,2.94621970549588e-06,1.65533315235024e-06,-3.24819478441338
"51","combin",0.000787277911116123,0.00110033949693306,0.00105146512535731,2.94621970549588e-06,0.000994855224562496,0.483003813387735
"52","common",0.000223498332823247,0.00132327369312789,0.000316908650556794,0.000297568190255084,0.000332721963622399,2.56577551072707
"53","complex",2.01349849390313e-06,0.00106849175461951,2.09873278514433e-06,0.00209476221060757,0.00190528845835513,9.05165566650701
"54","comput",2.01349849390313e-06,0.00718325827882061,0.00260452738636411,0.000238643796145166,0.0071361412197819,11.8007182810262
"55","concept",0.00197524202251897,0.00105256788346274,0.000589743912625557,2.94621970549588e-06,0.00013408198534037,-0.908116154404717
"56","condit",0.00215645688697025,0.00135512143544144,2.09873278514433e-06,2.94621970549588e-06,1.65533315235024e-06,-0.670240732757464
"57","context",2.01349849390313e-06,0.00173729434320401,0.00029592132270535,2.94621970549588e-06,1.65533315235024e-06,9.75292209663044
"58","continu",0.000787277911116123,0.00121180659503048,2.09873278514433e-06,2.94621970549588e-06,0.000812768577803969,0.622214556503022
"59","cost",0.00171348721831156,0.000256374325624056,2.09873278514433e-06,0.0027134683487617,0.00096174856151549,-2.74061173326452
"60","coupl",6.24184533109969e-05,0.00159397950279305,2.09873278514433e-06,0.000238643796145166,1.82086646758527e-05,4.67451665875595
"61","cour",0.000726872956299029,0.00282011758186462,2.09873278514433e-06,0.000768963343134425,0.00106106855065651,1.95598018017157
"62","court",0.00133092250446997,1.59238711567737e-06,2.09873278514433e-06,2.94621970549588e-06,1.65533315235024e-06,-9.70701975120086
"63","creat",0.00819695236867963,1.59238711567737e-06,0.00172305961660349,0.00203583781649765,0.00096174856151549,-12.3296807958332
"64","cross",0.00157254232373834,1.59238711567737e-06,0.00262551471421556,3.24084167604546e-05,0.00107762188218001,-9.94769202783515
"65","current",2.21484834329344e-05,0.00116403498156016,0.000883566502545763,2.94621970549588e-06,0.000398935289716408,5.71578268762197
"66","data",0.00845870717288704,0.00396663630515233,0.00971923152800339,0.0112575054946998,0.00766584782853397,-1.09252105393885
"67","day",0.00151213736892125,0.000415613037191794,0.000505794601219784,0.00153498046656335,0.000316168632098896,-1.86327639063756
"68","deci",0.000686602986420966,0.00102072014114919,2.09873278514433e-06,6.18706138154135e-05,0.00159077515940858,0.572039327901399
"69","deep",0.000706737971359997,0.00146658853353886,0.00105146512535731,0.00984332003606173,0.00367649493136989,1.05321683609361
"70","depend",0.00058592806172581,0.00133919756428467,0.000316908650556794,2.94621970549588e-06,0.00205426844206665,1.19257335765369
"71","descent",0.000465118152091622,0.0011958827238737,2.09873278514433e-06,2.94621970549588e-06,0.00202116177901965,1.36240676640504
"72","dhe",0.00118997760989675,1.59238711567737e-06,2.09873278514433e-06,2.94621970549588e-06,1.65533315235024e-06,-9.5455276098707
"73","dictionari",0.00137119247434803,1.75162582724511e-05,2.09873278514433e-06,2.94621970549588e-06,1.65533315235024e-06,-6.29059265906794
"74","didn",0.00104903271532353,0.00121180659503048,0.000694680551882773,0.000739501146079465,3.47619961993551e-05,0.208099791531866
"75","differ",0.00449211513989788,0.00874379765218444,0.00640323372747535,0.00289024153109146,0.00478556814344455,0.960865108006954
"76","dimen",0.00179402715806769,0.000558927877602757,0.00100949046965442,2.94621970549588e-06,0.000746555251709959,-1.68246769091053
"77","dimens",0.00173362220325059,0.00117995885271693,0.000778629863288546,2.94621970549588e-06,0.00119349520284452,-0.555052984784181
"78","direct",0.000344308242457435,0.00218316273559367,0.00113541443676308,2.94621970549588e-06,0.00140868851265006,2.66464705120016
"79","distribut",0.00173362220325059,0.00463543889373682,2.09873278514433e-06,2.94621970549588e-06,0.00054791527342793,1.41891640703275
"80","doesn",0.00090808782075031,0.00218316273559367,0.000820604518991433,6.18706138154135e-05,0.00145834850722056,1.26551594283068
"81","dog",0.0012906525345919,0.000128983356369867,0.00226873014074102,2.94621970549588e-06,1.65533315235024e-06,-3.32284383342729
"82","don",0.00678750342294744,0.00524054599769423,0.00455634887654834,2.94621970549588e-06,0.00177286180616711,-0.373163890553031
"83","done",0.00243834667611669,0.000527080135289209,0.00298229928769009,0.000739501146079465,0.00125970852893853,-2.20980903258028
"84","dot",0.00344509592306825,4.93640005859985e-05,0.000610731240477,2.94621970549588e-06,0.00162388182245559,-6.12494102379571
"85","download",0.0010288977303845,0.000160831098683414,2.09873278514433e-06,2.94621970549588e-06,1.65533315235024e-06,-2.677481287879
"86","either",0.000626198031603872,0.00106849175461951,2.09873278514433e-06,3.24084167604546e-05,0.000945195229991988,0.77088489637641
"87","element",0.00308266619416569,1.59238711567737e-06,0.000400857961962567,2.94621970549588e-06,0.000945195229991988,-10.918771857193
"88","emb",2.01349849390313e-06,0.00133919756428467,2.09873278514433e-06,2.94621970549588e-06,1.65533315235024e-06,9.37744870056197
"89","encod",2.01349849390313e-06,0.0018646853124582,0.000568756584774113,2.94621970549588e-06,1.65533315235024e-06,9.85501207080804
"90","end",0.00106916770026256,0.00274049822608075,0.00262551471421556,6.18706138154135e-05,0.00140868851265006,1.35795004154288
"91","enough",0.000686602986420966,0.00167359885857691,0.000337895978408237,0.000503803569639795,1.65533315235024e-06,1.28540573524484
"92","equal",0.00549886438684944,1.59238711567737e-06,2.09873278514433e-06,2.94621970549588e-06,0.00518284810000861,-11.7537268884585
"93","essenti",2.01349849390313e-06,0.00251756402988592,2.09873278514433e-06,0.000209181599090207,0.00152456183331457,10.2881083626652
"94","evalu",0.00139132745928706,0.000479308521818888,2.09873278514433e-06,0.000474341372584836,1.65533315235024e-06,-1.53743551332173
"95","everi",0.00197524202251897,0.00237424918947496,0.002646502042067,2.94621970549588e-06,0.00154111516483808,0.265441926371033
"96","everyth",0.00058592806172581,0.00205577176633948,0.000988503141802979,2.94621970549588e-06,0.000349275295145901,1.81088465270574
"97","exact",0.000807412896055154,0.00192838079708529,0.00121936374816886,2.94621970549588e-06,0.000696895257139452,1.25601143354624
"98","exampl",0.000666468001481935,0.00638706472098193,0.00581558854763494,0.00456958676322411,0.00347785495308786,3.26054555431412
"99","execut",0.00123024757977481,1.59238711567737e-06,2.09873278514433e-06,0.000327030387310042,0.000183741979910877,-9.5935418595119
"100","expect",0.000525523106908716,0.00102072014114919,0.000442832617665454,0.000209181599090207,0.000150635316863872,0.957761260355687
"101","extra",0.00118997760989675,0.000511156264132436,0.000149010027745248,2.94621970549588e-06,1.65533315235024e-06,-1.2190981227484
"102","extract",0.00239807670623862,0.000128983356369867,0.00153417366594051,2.94621970549588e-06,1.65533315235024e-06,-4.21662098467266
"103","eye",0.00116984262495772,1.59238711567737e-06,0.000253946667002464,0.00138766948128856,1.65533315235024e-06,-9.5209076430977
"104","fact",0.000163093378006153,0.00173729434320401,0.00086257917469432,2.94621970549588e-06,1.82086646758527e-05,3.41307209374581
"105","fal",0.00110943767014062,3.34401294292248e-05,2.09873278514433e-06,2.94621970549588e-06,0.000100975322293365,-5.05210437548557
"106","far",0.000364443227396466,0.00178506595667433,0.000463819945516897,2.94621970549588e-06,0.000581021936474935,2.29221138602905
"107","featur",0.00233767175142153,1.59238711567737e-06,0.00743161279219607,0.00212422440766253,0.00586153469247221,-10.5196655465587
"108","fight",0.00108930268520159,1.59238711567737e-06,2.09873278514433e-06,3.24084167604546e-05,1.65533315235024e-06,-9.41799807351999
"109","final",0.00217659187190928,1.59238711567737e-06,0.00193293289511793,0.000533265766694754,0.00336198163242334,-10.4166640974278
"110","find",0.00233767175142153,1.59238711567737e-06,0.00243662876355257,0.00303755251636625,0.00273295503453025,-10.5196655465587
"111","fire",0.00139132745928706,1.59238711567737e-06,0.000149010027745248,2.94621970549588e-06,0.000150635316863872,-9.77105519008143
"112","first",0.00517670462782494,0.00264495499914011,0.00526991802349741,0.00230099758999228,0.00688784124692936,-0.968790826564449
"113","fix",0.000525523106908716,0.00148251240469563,2.09873278514433e-06,2.94621970549588e-06,0.000216848642957882,1.49621807129574
"114","focus",0.000203363347884216,0.00151436014700918,0.000169997355596691,0.00100466091957409,1.65533315235024e-06,2.8965767584156
"115","follow",0.000344308242457435,0.00137104530659822,0.000379870634111124,2.94621970549588e-06,0.000945195229991988,1.99350362281778
"116","form",2.01349849390313e-06,0.00100479626999242,2.09873278514433e-06,0.000268105993200125,0.00152456183331457,8.96298290528938
"117","forward",0.00139132745928706,0.000495232392975662,0.00079961719113999,0.00015025720498029,0.0017232018115966,-1.49028441995083
"118","four",0.00191483706770187,0.000128983356369867,0.00434647559803391,2.94621970549588e-06,0.00111072854522701,-3.89196481766911
"119","function",0.00916343164575313,0.000781862073797589,2.30860606365876e-05,2.94621970549588e-06,0.0259572791620041,-3.55090194634667
"120","gate",0.00183429712794575,0.000495232392975662,6.50607163394743e-05,2.94621970549588e-06,6.78686592463599e-05,-1.88904976336462
"121","general",0.000364443227396466,0.00380739759358459,4.40733884880309e-05,0.000268105993200125,0.000862428572374476,3.38503923793525
"122","generat",0.000122823408128091,0.00375962598011427,0.000610731240477,0.00350894766924559,1.82086646758527e-05,4.93593169897259
"123","give",0.00827749230843575,0.00345707242813557,0.00411561499166803,2.94621970549588e-06,0.00347785495308786,-1.25964293564196
"124","given",0.0055391343567275,0.00259718338566979,2.09873278514433e-06,2.94621970549588e-06,0.00271640170300675,-1.0927126472975
"125","goe",0.00127051754965287,0.00103664401230597,0.00035888330625968,2.94621970549588e-06,0.001011408556086,-0.293495751510084
"126","good",0.00282091138995828,0.00576603374586775,0.00377981774604494,0.00188852683122286,1.65533315235024e-06,1.03141793135219
"127","gradient",2.01349849390313e-06,0.00205577176633948,0.000190984683448134,2.94621970549588e-06,0.00654022128493581,9.99575999561402
"128","graph",0.000404713197274529,0.00200800015286916,2.09873278514433e-06,2.94621970549588e-06,0.0024184417355837,2.31078757945612
"129","greater",0.00267996649538506,1.59238711567737e-06,2.09873278514433e-06,2.94621970549588e-06,0.000746555251709959,-10.7168081456051
"130","green",0.00127051754965287,1.59238711567737e-06,0.000778629863288546,2.94621970549588e-06,0.0017066484800731,-9.64000948467572
"131","guess",4.22834683719657e-05,0.00148251240469563,0.000967515813951536,2.94621970549588e-06,1.65533315235024e-06,5.13180664508686
"132","hand",2.01349849390313e-06,0.00117995885271693,0.000694680551882773,0.000120795007925331,0.00119349520284452,9.19481644261266
"133","happen",0.00282091138995828,0.00132327369312789,0.00310822325479875,2.94621970549588e-06,0.00225290842034868,-1.09204986335364
"134","hard",0.000444983167152591,0.00194430466824207,8.60480441909174e-05,0.000651114554914589,1.65533315235024e-06,2.1274316359028
"135","head",0.00177389217312865,0.000957024656522099,2.09873278514433e-06,2.94621970549588e-06,1.65533315235024e-06,-0.890290317902398
"136","help",0.00114970764001868,0.000941100785365325,0.00119837642031741,0.00141713167834352,0.000779661914756964,-0.288845904878481
"137","hope",0.000444983167152591,0.00237424918947496,0.00048480727336834,0.000503803569639795,5.13153277228575e-05,2.41564869319884
"138","human",0.00042484818221356,0.00137104530659822,0.000883566502545763,0.00448120017205923,1.65533315235024e-06,1.69025694899649
"139","hyper",0.00110943767014062,3.34401294292248e-05,0.000128022699893804,2.94621970549588e-06,1.65533315235024e-06,-5.05210437548557
"140","idea",2.01349849390313e-06,0.00527239374000777,0.00132430038742607,0.000562727963749713,0.000647235262568945,11.3545380057038
"141","implement",0.00104903271532353,1.59238711567737e-06,0.000883566502545763,3.24084167604546e-05,0.00159077515940858,-9.36365285197168
"142","import",0.00344509592306825,0.0018009898278311,0.00207984419007803,0.000268105993200125,0.00135902851807955,-0.935754120192764
"143","improv",0.000283903287640341,0.00133919756428467,2.09873278514433e-06,0.00238938418115716,1.65533315235024e-06,2.23789734816318
"144","index",0.00179402715806769,1.75162582724511e-05,0.00048480727336834,2.94621970549588e-06,1.65533315235024e-06,-6.67836329257779
"145","inform",0.000686602986420966,0.00164175111626337,0.00142923702668329,0.00238938418115716,0.00218669509425467,1.25768739865077
"146","initi",0.00272023646526312,0.0011958827238737,2.30860606365876e-05,2.94621970549588e-06,0.00134247518655605,-1.18565615150458
"147","input",0.0016732172484335,4.93640005859985e-05,0.00850196651261968,2.94621970549588e-06,0.0213554529984705,-5.08302164607664
"148","insid",0.00630426378441069,1.59238711567737e-06,0.000274933994853907,3.24084167604546e-05,0.00188873512683163,-11.9509210828318
"149","instal",0.00110943767014062,1.59238711567737e-06,2.09873278514433e-06,2.94621970549588e-06,1.65533315235024e-06,-9.44442179826433
"150","instanc",0.00143159742916512,8.12117428995458e-05,4.40733884880309e-05,0.00144659387539848,0.000514808610380925,-4.13979369734109
"151","interest",0.000867817850872247,0.00409402727440652,0.00180700892800927,0.000798425540189383,1.82086646758527e-05,2.23805654605139
"152","introduc",0.00131078751953094,0.000479308521818888,2.09873278514433e-06,0.000592190160804672,0.000862428572374476,-1.4514073460991
"153","iri",0.00173362220325059,1.59238711567737e-06,2.09873278514433e-06,2.94621970549588e-06,1.65533315235024e-06,-10.08838271709
"154","keep",0.00145173241410415,0.00164175111626337,0.00151318633808906,2.94621970549588e-06,0.000746555251709959,0.177459878434116
"155","key",0.00171348721831156,0.000988872398835647,0.000883566502545763,2.94621970549588e-06,1.65533315235024e-06,-0.793079153158651
"156","label",0.001995377007458,0.00070224271801372,0.00197490755082081,0.00126982069306872,0.000597575267998437,-1.50661969132214
"157","languag",0.000444983167152591,0.00598896794206259,2.09873278514433e-06,2.94621970549588e-06,1.65533315235024e-06,3.7504847419557
"158","larg",0.000646333016542904,0.00234240144716141,2.09873278514433e-06,2.94621970549588e-06,0.000597575267998437,1.85763875443936
"159","larger",2.01349849390313e-06,0.00114811111040338,0.000253946667002464,2.94621970549588e-06,0.000100975322293365,9.15534215954765
"160","last",0.00143159742916512,0.00189653305477175,0.00193293289511793,9.13328108703722e-05,0.00116038853979752,0.405738658551529
"161","layer",0.0016128122936164,1.59238711567737e-06,0.0193943896675188,3.24084167604546e-05,0.0151314003456336,-9.98417172210188
"162","learn",0.0023175367664825,0.00726287763460448,0.00369586843463916,0.0281098822101362,0.00975156760049527,1.64794904703235
"163","least",0.000364443227396466,0.00137104530659822,0.00073665520758566,2.94621970549588e-06,1.65533315235024e-06,1.91151025062047
"164","lectur",2.01349849390313e-06,0.00210354337980981,2.09873278514433e-06,2.94621970549588e-06,0.000564468604951433,10.0289014615537
"165","left",0.000666468001481935,0.00113218723924661,0.00180700892800927,3.24084167604546e-05,1.65533315235024e-06,0.764505053119027
"166","length",0.00074700794123806,0.00100479626999242,2.09873278514433e-06,2.94621970549588e-06,0.000283061969051892,0.427707528668575
"167","less",0.00306253120922666,0.000925176914208552,0.00103047779750587,2.94621970549588e-06,0.00096174856151549,-1.72692337401314
"168","let",0.0220095520368551,1.59238711567737e-06,0.0118179643131477,2.94621970549588e-06,0.00966880094287777,-13.7546510582715
"169","level",0.000525523106908716,0.00113218723924661,0.00067369322403133,0.00215368660471749,0.000680341925615949,1.10728646335636
"170","librari",0.0010288977303845,1.59238711567737e-06,0.00126133840387174,2.94621970549588e-06,5.13153277228575e-05,-9.33569277063079
"171","line",0.00477400492904431,4.93640005859985e-05,0.00119837642031741,0.000798425540189383,0.00397445489879293,-6.5955969267883
"172","linear",0.00219672685684831,1.59238711567737e-06,2.09873278514433e-06,2.94621970549588e-06,0.00864249438842062,-10.4299486760168
"173","list",0.00433103526038563,9.71356140563196e-05,2.09873278514433e-06,3.24084167604546e-05,1.65533315235024e-06,-5.47856776155334
"174","littl",0.00185443211288478,0.00224685822022077,0.004682272843657,0.000680576751969548,0.000332721963622399,0.276931636812758
"175","live",0.00151213736892125,1.59238711567737e-06,2.09873278514433e-06,0.000739501146079465,1.82086646758527e-05,-9.89118238720744
"176","long",0.000364443227396466,0.0014984362758524,0.000379870634111124,0.000710038949024507,1.65533315235024e-06,2.03969173595216
"177","longer",2.01349849390313e-06,0.00116403498156016,2.09873278514433e-06,3.24084167604546e-05,1.65533315235024e-06,9.17521430625927
