"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abl",0.00469778189623825,0.00202722536141484,0.000887060612559219,6.66844491864498e-05,0.00115838247683235,-1.21247325654412
"2","absolut",0.00106154622124735,9.17296543626624e-06,0.000204706295205973,6.06222265331361e-06,9.57340889944092e-06,-6.85456327061005
"3","accel",5.86489624998534e-06,0.00129338812651354,9.74791881933208e-06,0.000127306675719586,9.57340889944092e-06,7.78483396887195
"4","across",0.000885599333747786,0.00303625155940413,0.00117949817713918,6.06222265331361e-06,9.57340889944092e-06,1.7775652839553
"5","actual",0.00897915615872756,9.17296543626624e-06,0.0130719591367243,6.06222265331361e-06,0.000201041586888259,-9.93497595102663
"6","addit",6.45138587498387e-05,0.00257760328759081,9.74791881933208e-06,0.000915395620650355,9.57340889944092e-06,5.32027731805679
"7","adt",5.86489624998534e-06,0.00129338812651354,9.74791881933208e-06,6.06222265331361e-06,9.57340889944092e-06,7.78483396887195
"8","advantag",5.86489624998534e-06,0.00129338812651354,9.74791881933208e-06,0.00127912897984917,0.00010530749789385,7.78483396887195
"9","allow",5.86489624998534e-06,0.00193549570705218,9.74791881933208e-06,0.0040071291738403,0.0037432028796814,8.36638180518034
"10","alreadi",0.00153073792124617,0.0028527922506788,0.000594623047979256,6.06222265331361e-06,0.000679712031860305,0.898147390033874
"11","alway",0.00258641924624353,0.000376091582886916,0.0012769773653325,6.06222265331361e-06,9.57340889944092e-06,-2.78180022446628
"12","amount",0.00211722754624471,9.17296543626624e-06,9.74791881933208e-06,6.66844491864498e-05,9.57340889944092e-06,-7.85057241041401
"13","analyt",5.86489624998534e-06,0.00413700741175607,9.74791881933208e-06,6.06222265331361e-06,9.57340889944092e-06,9.46226623972854
"14","anchor",5.86489624998534e-06,0.00303625155940413,9.74791881933208e-06,6.06222265331361e-06,9.57340889944092e-06,9.01597002328037
"15","anoth",0.00223452547124441,9.17296543626624e-06,0.00566354083403193,0.000187928902252722,9.57340889944092e-06,-7.92836457102017
"16","anyth",0.00153073792124617,0.000100902619798929,0.000399664671592615,6.06222265331361e-06,9.57340889944092e-06,-3.92319176145943
"17","api",5.86489624998534e-06,0.00129338812651354,0.000302185483399294,6.06222265331361e-06,9.57340889944092e-06,7.78483396887195
"18","app",5.86489624998534e-06,0.00184376605268951,0.000204706295205973,6.06222265331361e-06,9.57340889944092e-06,8.29633430765208
"19","applic",5.86489624998534e-06,0.0028527922506788,0.000204706295205973,0.0026734401901113,9.57340889944092e-06,8.92605338660376
"20","architectur",5.86489624998534e-06,0.00367835913994276,9.74791881933208e-06,6.06222265331361e-06,9.57340889944092e-06,9.29274104292807
"21","area",0.00235182339624412,9.17296543626624e-06,0.000984539800752539,0.000248551128785858,0.00297733016772612,-8.00217580998176
"22","ask",0.00229317443374427,9.17296543626624e-06,0.000594623047979256,6.06222265331361e-06,9.57340889944092e-06,-7.9657421808342
"23","asset",0.00182398273374544,0.00257760328759081,9.74791881933208e-06,0.0048558403453042,9.57340889944092e-06,0.49893816656348
"24","atlas",6.45138587498387e-05,0.00156857708960153,9.74791881933208e-06,6.06222265331361e-06,9.57340889944092e-06,4.60370351272176
"25","attribut",5.86489624998534e-06,0.00129338812651354,9.74791881933208e-06,6.06222265331361e-06,9.57340889944092e-06,7.78483396887195
"26","automat",0.000181811783749545,0.00166030674396419,0.000887060612559219,6.06222265331361e-06,9.57340889944092e-06,3.19093219316949
"27","avail",0.000651003483748372,0.00239414397886549,0.000302185483399294,0.00146099565944858,0.000201041586888259,1.87877274669293
"28","azur",5.86489624998534e-06,0.00743927496881192,9.74791881933208e-06,6.06222265331361e-06,9.57340889944092e-06,10.3088407206904
"29","backbon",5.86489624998534e-06,0.00101819916342555,9.74791881933208e-06,6.06222265331361e-06,9.57340889944092e-06,7.43969848282326
"30","base",0.000240460746249399,0.00477911499229471,0.000497143859785936,0.0040071291738403,0.00106264838783794,4.31287017413358
"31","basic",0.00217587650874456,9.17296543626624e-06,0.00322656112919892,6.06222265331361e-06,9.57340889944092e-06,-7.88999276014765
"32","becom",0.00170668480874573,9.17296543626624e-06,0.000107227107012653,0.000491040034918403,0.00221145745577085,-7.53959272643513
"33","behaviour",0.00100289725874749,0.000100902619798929,9.74791881933208e-06,6.06222265331361e-06,9.57340889944092e-06,-3.31313827977544
"34","believ",0.00141343999624647,9.17296543626624e-06,9.74791881933208e-06,6.06222265331361e-06,9.57340889944092e-06,-7.26760671975681
"35","bentley",0.00135479103374661,0.000100902619798929,9.74791881933208e-06,6.06222265331361e-06,9.57340889944092e-06,-3.7470348063056
"36","best",0.0011201951837472,0.00230241432450283,9.74791881933208e-06,0.000915395620650355,9.57340889944092e-06,1.03939734238818
"37","better",0.00129614207124676,0.00147684743523886,9.74791881933208e-06,0.00164286233904799,9.57340889944092e-06,0.18829693519634
"38","big",0.00352480264624119,0.00175203639832685,9.74791881933208e-06,6.06222265331361e-06,9.57340889944092e-06,-1.00850973620228
"39","bike",5.86489624998534e-06,0.00230241432450283,9.74791881933208e-06,6.06222265331361e-06,9.57340889944092e-06,8.61682617042393
"40","bit",0.0028796640587428,9.17296543626624e-06,0.00468874895209873,6.06222265331361e-06,9.57340889944092e-06,-8.29429659784154
"41","blade",0.00123749310874691,9.17296543626624e-06,9.74791881933208e-06,6.06222265331361e-06,9.57340889944092e-06,-7.07581657223403
"42","bob",0.00106154622124735,9.17296543626624e-06,9.74791881933208e-06,6.06222265331361e-06,9.57340889944092e-06,-6.85456327061005
"43","bodi",0.000240460746249399,0.00110992881778821,9.74791881933208e-06,6.06222265331361e-06,9.57340889944092e-06,2.20659384912967
"44","book",0.00158938688374603,9.17296543626624e-06,9.74791881933208e-06,6.06222265331361e-06,9.57340889944092e-06,-7.43686642488072
"45","bring",0.00252777028374368,0.00092646950906289,0.000984539800752539,0.000127306675719586,9.57340889944092e-06,-1.44804995986415
"46","build",0.0036421005712409,0.012025757686945,0.00186185249449243,6.06222265331361e-06,0.0117848663552118,1.72328512847443
"47","built",0.00194128065874515,0.00459565568356939,0.000399664671592615,0.000612284487984675,0.000871180209849123,1.24326200286115
"48","busi",0.00440453708373899,9.17296543626624e-06,0.000107227107012653,0.0063713960086326,9.57340889944092e-06,-8.90738648104112
"49","call",0.00475643085873811,9.17296543626624e-06,0.00546858245764529,6.06222265331361e-06,9.57340889944092e-06,-9.01827548774412
"50","can",0.00176533377124559,9.17296543626624e-06,0.000302185483399294,6.06222265331361e-06,9.57340889944092e-06,-7.58833706028655
"51","capabl",0.000357758671249106,0.00294452190504146,9.74791881933208e-06,0.00188535124518053,0.00010530749789385,3.04097476603257
"52","capit",0.00123749310874691,9.17296543626624e-06,9.74791881933208e-06,6.06222265331361e-06,9.57340889944092e-06,-7.07581657223403
"53","captur",0.00276236613374309,9.17296543626624e-06,9.74791881933208e-06,6.06222265331361e-06,9.57340889944092e-06,-8.23430063313963
"54","car",0.000709652446248226,0.00266933294195347,9.74791881933208e-06,6.66844491864498e-05,0.00192425518878762,1.91129472210684
"55","case",0.00305561094624236,0.00679716738827328,0.0031290819410056,0.0020065956982468,9.57340889944092e-06,1.15347278650048
"56","center",5.86489624998534e-06,0.00166030674396419,9.74791881933208e-06,0.00036979558185213,0.00134985065482117,8.14512850355636
