"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","learn","realli","data","model","peopl"
"2","now","actual","realli","edg","think"
"3","machin","game","use","devic","technolog"
"4","search","don","product","use","world"
"5","first","think","time","train","year"
"6","node","hear","custom","cloud","work"
"7","call","good","process","develop","compani"
"8","cour","play","googl","comput","mani"
"9","start","tri","industri","applic","now"
"10","problem","move","help","data","learn"
"11","car","music","servic","azur","narrat"
"12","let","time","model","network","use"
"13","state","someth","talk","let","comput"
"14","graph","human","tool","need","start"
"15","open","mayb","case","camera","algorithm"
"16","space","pretti","solut","power","person"
"17","deep","aid","cloud","connect","today"
"18","use","now","provid","now","human"
"19","cost","abl","inspect","machin","time"
"20","intellig","alphago","manag","build","job"
"21","goal","littl","system","show","scale"
"22","littl","work","across","work","build"
"23","need","peopl","work","code","team"
"24","keep","tell","bring","hardwar","data"
"25","add","feel","iot","contain","research"
"26","level","first","manufactur","deploy","everi"
"27","edg","use","real","perform","futur"
"28","generat","probabl","busi","learn","problem"
"29","time","real","effici","system","challeng"
"30","direct","differ","focus","iot","power"
"31","solut","hand","actual","imag","drive"
"32","techniqu","big","detect","accel","intellig"
"33","expand","intellig","platform","detect","someth"
"34","inform","happen","visual","time","need"
"35","list","better","valu","support","innov"
"36","basic","doesn","abl","tensorflow","abl"
"37","creat","mean","learn","case","develop"
"38","artifici","design","machin","stack","million"
"39","optim","give","market","custom","user"
"40","find","might","improv","product","robot"
"41","word","yeah","anomali","differ","impact"
"42","algorithm","find","set","exampl","basic"
"43","understand","chang","analyt","talk","day"
"44","path","sort","start","high","system"
"45","everi","cool","done","workload","exampl"
"46","idea","excit","avail","process","happen"
"47","mean","thought","oper","light","money"
"48","number","video","differ","smart","don"
"49","togeth","player","need","video","field"
"50","give","world","technolog","base","organ"
"51","bit","ever","insight","allow","part"
"52","guy","need","predict","sensor","differ"
"53","someth","made","qualiti","requir","last"
"54","today","creat","partner","demo","program"
"55","input","alway","thank","modul","autonom"
"56","set","enough","understand","provid","give"
"57","term","win","better","microsoft","inform"
"58","appl","year","cost","infer","machin"
"59","complet","insid","key","servic","better"
"60","close","interest","exampl","object","chang"
"61","output","artifici","increa","local","everyon"
"62","head","point","risk","low","experi"
"63","layer","featur","analyz","stream","famili"
"64","everyth","live","compani","today","googl"
"65","given","moment","energi","platform","place"
"66","import","particular","vision","capabl","appli"
"67","cut","day","year","intel","cancer"
"68","differ","hey","amount","solut","first"
"69","explor","hour","integr","vision","solv"
"70","question","match","interest","first","call"
"71","type","sound","scale","enabl","china"
"72","bird","ear","base","send","forward"
"73","help","understand","end","softwar","mean"
"74","may","turn","imag","flow","tri"
"75","done","amaz","may","offer","fast"
"76","usual","bit","allow","oper","engin"
"77","approach","far","control","scenario","meet"
"78","limit","love","factori","server","ask"
"79","rememb","man","challeng","small","autom"
"80","successor","anoth","action","optim","built"
"81","four","away","specif","second","number"
"82","order","profess","opportun","design","possibl"
"83","recip","top","within","result","predict"
"84","simpl","batteri","area","access","continu"
"85","solv","best","chang","board","effort"
"86","alreadi","network","question","part","huge"
"87","race","okay","scienc","api","share"
"88","receiv","start","strategi","environ","social"
"89","top","yes","think","gpu","becom"
"90","train","didn","day","secur","busi"
"91","breadth","hard","high","type","clear"
"92","depth","long","produc","hub","imagin"
"93","simul","mind","autom","includ","month"
"94","domain","phone","infrastructur","call","scientist"
"95","lunch","board","portfolio","end","artifici"
"96","map","happi","center","rust","big"
"97","method","bad","featur","bit","creat"
"98","pick","everyth","long","coral","behavior"
"99","associ","face","trevor","mani","ear"
"100","brain","quit","environ","order","medic"
