"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abl",2.14321842824933e-06,0.00244626709480068,0.00569047983932763,0.00261968556073975,0.00181404564974248,10.1565873260558
"2","accur",0.00109518461683541,1.49071730335203e-06,8.46917623145856e-05,7.8917786914276e-05,0.000433230692754864,-9.5209516783955
"3","accuraci",0.00229538693665504,1.49071730335203e-06,4.03294106259931e-06,1.9248240710799e-06,0.00202116789329062,-10.5885149622081
"4","action",0.00160955703961525,0.000463613081342481,4.03294106259931e-06,0.00198449361728338,1.72601869623452e-06,-1.79567052484155
"5","activ",0.000795134036880503,0.00119406455998497,0.000931609385460441,0.000925840378189433,8.80269535079604e-05,0.58661085833003
"6","actual",0.00636750195032877,0.00539788735543769,0.00242379757862219,0.00529519101954081,0.00604279145551705,-0.238332625817114
"7","adapt",0.00135237082822533,0.000120748101571514,4.03294106259931e-06,0.00279291972713694,0.00562854696842076,-3.4854183895558
"8","add",0.00120234553824788,1.49071730335203e-06,0.00145589172359835,0.00134930167382701,0.000502271440604244,-9.65562915806667
"9","addit",0.00100945587970544,1.63978903368723e-05,0.000770291742956468,0.00079110269321384,0.000692133497190042,-5.94392382843336
"10","agent",2.14321842824933e-06,0.00168600127009114,4.03294106259931e-06,1.9248240710799e-06,1.72601869623452e-06,9.61961101653194
"11","algorithm",0.00780345829725583,0.0040860561284879,4.43623516885924e-05,1.9248240710799e-06,1.72601869623452e-06,-0.933404610076618
"12","alreadi",0.000409354719795623,0.00219284515323083,4.03294106259931e-06,0.00107982630387583,0.000778434432001768,2.4213805057612
"13","alway",0.000323625982665649,0.00192451603862747,0.00395631518240993,0.000752606211792242,0.000122547327432651,2.57209634852424
"14","analysi",0.00285262372799986,1.49071730335203e-06,4.03294106259931e-06,0.00059862028610585,0.000485011253641899,-10.9020670533698
"15","anoth",0.00126664209109536,0.00214812363413027,4.03294106259931e-06,0.00113757102600822,0.0015551428453073,0.762068102539338
