"","x"
"use",1200
"materi",763
"think",668
"realli",629
"water",626
"work",537
"need",531
"time",498
"now",494
"system",480
"differ",473
"actual",469
"thank",434
"energi",415
"harlow",391
"peopl",390
"devic",370
"talk",365
"temperatur",362
"chang",360
"develop",345
"technolog",345
"luke",341
"question",340
"product",338
"research",325
"process",323
"environ",320
"exampl",318
"wast",312
"robot",310
"don",308
"organ",308
"point",302
"year",301
"first",300
"design",298
"base",290
"abl",287
"health",281
"start",273
"part",268
"plastic",268
"build",266
"good",262
"human",260
"tri",256
"scienc",248
"area",237
"model",236
"help",234
"call",229
"interest",228
"compani",227
"mean",219
"someth",218
"high",217
"creat",215
"plant",213
"scale",213
"littl",210
"problem",210
"mani",209
"sensor",209
"engin",207
"happen",206
"applic",205
"produc",205
"activ",203
"show",203
"natur",202
"industri",201
"import",200
"give",199
"may",198
"measur",195
"electron",185
"increa",184
"data",180
"today",180
"function",178
"anoth",175
"innov",173
"let",173
"idea",170
"mechan",170
"world",170
"sort",167
"challeng",166
"structur",166
"might",165
"amount",164
"cour",164
"type",163
"understand",163
"day",160
"level",159
"present",159
"case",158
"togeth",158
"properti",157
"specif",157
"number",156
"term",156
"bodi",155
"cell",155
"surfac",155
"direct",154
"bio",153
"made",153
"carbon",152
"mayb",151
"biolog",148
"includ",148
"reduc",148
"low",147
"manufactur",146
"soft",146
"particular",145
"end",144
"light",144
"heat",143
"cost",142
"move",142
"per",142
"climat",141
"sen",140
"space",139
"batteri",137
"control",135
"effect",135
"group",134
"current",133
"generat",133
"relat",133
"studi",133
"allow",132
"alreadi",132
"requir",132
"form",131
"respon",131
"recycl",130
"focus",129
"test",129
"becom",128
"order",127
"polym",127
"impact",126
"pressur",126
"state",126
"within",126
"bit",125
"done",125
"insid",125
"project",125
"small",125
"food",124
"effici",123
"live",123
"approach",122
"valu",122
"solut",121
"find",120
"result",120
"general",118
"power",118
"sampl",118
"life",117
"care",116
"field",116
"print",116
"soil",116
"tissu",116
"last",115
"oxygen",115
"sustain",115
"big",114
"forc",113
"fund",113
"futur",113
"provid",113
"disea",112
"issu",112
"topic",112
"imag",111
"countri",110
"heart",110
"possibl",110
"unit",110
"ask",109
"fire",109
"integr",109
"learn",109
"market",109
"drug",108
"turn",108
"biodegrad",107
"manag",107
"keep",106
"rate",106
"support",106
"basic",105
"inform",105
"tell",105
"appli",104
"electr",104
"potenti",104
"resourc",102
"better",101
"connect",101
"emiss",101
"gas",101
"set",101
"grow",100
"lead",100
"student",100
"improv",99
"air",98
"bring",98
"caus",98
"experi",98
"hope",98
"implant",98
"patient",98
"close",97
"consid",97
"govern",97
"less",97
"limit",97
"probabl",97
"communiti",96
"left",96
"long",96
"metal",96
"open",96
"slide",96
"compon",95
"definit",95
"place",95
"pretti",95
"sourc",95
"total",94
"advanc",93
"discuss",93
"opportun",93
"avail",92
"everi",92
"flow",92
"perform",92
"consum",91
"interact",91
"singl",91
"continu",90
"main",90
"side",90
"across",89
"complet",89
"oper",89
"similar",89
"certain",88
"hard",88
"without",88
"hand",87
"involv",87
"minut",87
"rang",87
"ecolog",86
"larg",86
"line",86
"skin",86
"thought",86
"compar",85
"follow",85
"medic",85
"method",85
"second",85
"share",85
"univ",85
"collect",84
"concept",84
"speci",84
"degr",83
"global",83
"meet",83
"size",83
"condit",82
"figur",82
"lab",82
"person",82
"scientist",82
"found",81
"higher",81
"protect",81
"sever",81
"common",80
"doesn",80
"equal",80
"comput",79
"entir",79
"excit",79
"physic",79
"usual",79
"whole",79
"anim",78
"crop",78
"defin",78
"given",78
"huge",78
"identifi",78
"mention",78
"monitor",78
"servic",78
"book",77
"fiber",77
"howev",77
"non",77
"shape",77
"standard",77
"week",77
"answer",76
"especi",76
"garden",76
"nano",76
"shown",76
"addit",75
"coupl",75
"liquid",75
"practic",75
"public",75
"abil",74
"combin",74
"final",74
"land",74
"occur",74
"contain",73
"enough",73
"zero",73
"antibiot",72
"chemic",72
"fact",72
"plea",72
"reason",72
"either",71
"enabl",71
"normal",71
"quit",71
"solid",71
"conduct",70
"essenti",70
"exist",70
"fabric",70
"factor",70
"option",70
"pollut",70
"stress",70
"virus",70
"volum",70
"color",69
"demand",69
"institut",69
"lower",69
"silicon",69
"social",69
"transfer",69
"four",68
"key",68
"major",68
"membran",68
"often",68
"percent",68
"typic",68
"address",67
"contact",67
"counti",67
"cycl",67
"green",67
"molecul",67
"plan",67
"region",67
"signif",67
"top",67
"video",67
"word",67
"growth",66
"matter",66
"million",66
"period",66
"posit",66
"program",66
"access",65
"achiev",65
"affect",65
"commerci",65
"deliv",65
"real",65
"suppli",65
"alway",64
"best",64
"facil",64
"refer",64
"sinc",64
"site",64
"target",64
"thermal",64
"vaccin",64
"begin",63
"class",63
"depend",63
"network",63
"protein",63
"resist",63
"stage",63
"thermomet",63
"toward",63
"array",62
"away",62
"collabor",62
"ecosystem",62
"intern",62
"layer",62
"locat",62
"medicin",62
"professor",62
"remov",62
"feel",61
"hear",61
"individu",61
"particl",61
"risk",61
"sector",61
"africa",59
"biofilm",59
"busi",59
"concentr",59
"everyon",59
"introduc",59
"price",59
"rather",59
"transport",59
"treatment",59
"yes",59
"atmosph",58
"center",58
"deliveri",58
"element",58
"irrig",58
"net",58
"recent",58
"simpl",58
"advantag",57
"clinic",57
"due",57
"hous",57
"name",57
"popul",57
"principl",57
"team",57
"compound",56
"constant",56
"depart",56
"extens",56
"fish",56
"interfac",56
"almost",55
"bacteria",55
"clear",55
"columbia",55
"erin",55
"explor",55
"join",55
"replac",55
"report",55
"acid",54
"bioplast",53
"ear",53
"econom",53
"everyth",53
"flexibl",53
"fuel",53
"glass",53
"goe",53
"pictur",53
"qualiti",53
"quick",53
"separ",53
"citi",52
"composit",52
"conver",52
"detect",52
"drive",52
"greenhous",52
"hour",52
"invest",52
"load",52
"nation",52
"observ",52
"wearabl",52
"charact",51
"extrem",51
"strategi",51
"strong",51
"techniqu",51
"thousand",51
"upon",51
"agricultur",50
"dissolv",50
"dna",50
"home",50
"knowledg",50
"local",50
"machin",50
"sensit",50
"strength",50
"bend",49
"benefit",49
"car",49
"chat",49
"consumpt",49
"face",49
"law",49
"micro",49
"mold",49
"sea",49
"step",49
"success",49
"ultim",49
"various",49
"welcom",49
"action",48
"actuat",48
"add",48
"capac",48
"celsius",48
"earth",48
"full",48
"healthcar",48
"inject",48
"ocean",48
"partner",48
"read",48
"room",48
"transform",48
"wonder",48
"amaz",47
"anyth",47
"cool",47
"foam",47
"forward",47
"initi",47
"leav",47
"love",47
"moment",47
"must",47
"object",47
"phase",47
"play",47
"scientif",47
"third",47
"tool",47
"analysi",46
"artifici",46
"complex",46
"concern",46
"crisi",46
"far",46
"flower",46
"instead",46
"invent",46
"least",46
"nih",46
"outsid",46
"perspect",46
"self",46
"took",46
"wave",46
"weight",46
"bod",45
"brain",45
"capabl",45
"compost",45
"context",45
"degrad",45
"imagin",45
"indic",45
"known",45
"list",45
"money",45
"orient",45
"platform",45
"ratio",45
"regul",45
"seri",45
"short",45
"simul",45
"sometim",45
"tube",45
"zone",45
"antigen",44
"averag",44
"behavior",44
"charg",44
"effort",44
"fantast",44
"infect",44
"longer",44
"meter",44
"offer",44
"packag",44
"previous",44
"propo",44
"speak",44
"substrat",44
"beyond",43
"blood",43
"construct",43
"graphen",43
"old",43
"paper",43
"planet",43
"vision",43
"contribut",42
"demonstr",42
"didn",42
"faculti",42
"free",42
"mind",42
"music",42
"nice",42
"piec",42
"renew",42
"reservoir",42
"saw",42
"seed",42
"shield",42
"signal",42
"sound",42
"thin",42
"treat",42
"yield",42
"associ",41
"believ",41
"convent",41
"cover",41
"drip",41
"establish",41
"expect",41
"fluid",41
"guy",41
"hundr",41
"minus",41
"mit",41
"relea",41
"save",41
"screen",41
"speaker",41
"strain",41
"train",41
"uniqu",41
"aspect",40
"bacteriophag",40
"bone",40
"bottom",40
"cat",40
"clean",40
"cut",40
"decid",40
"deriv",40
"easi",40
"economi",40
"fundament",40
"hospit",40
"member",40
"minim",40
"multipl",40
"new",40
"pandem",40
"past",40
"prevent",40
"reach",40
"role",40
"school",40
"shear",40
"squar",40
"stori",40
"tradit",40
"billion",39
"earlier",39
"exact",39
"extract",39
"length",39
"mix",39
"oxid",39
"reflect",39
"societi",39
"taken",39
"absolut",38
"account",38
"calcul",38
"communic",38
"difficult",38
"encourag",38
"ground",38
"hold",38
"maintain",38
"month",38
"perfect",38
"reli",38
"stuff",38
"therefor",38
"trade",38
"went",38
"yet",38
"along",37
"assist",37
"burn",37
"creativ",37
"crystal",37
"describ",37
"dispo",37
"everybodi",37
"fall",37
"genet",37
"implement",37
"morn",37
"nanoparticl",37
"pull",37
"realiz",37
"repr",37
"startup",37
"textil",37
"thick",37
"avoid",36
"block",36
"came",36
"cross",36
"determin",36
"diffus",36
"display",36
"diver",36
"emerg",36
"expand",36
"extend",36
"extern",36
"fast",36
"goal",36
"head",36
"inspir",36
"linear",36
"loss",36
"origin",36
"paramet",36
"purpo",36
"select",36
"situat",36
"smaller",36
"stimul",36
"tini",36
"track",36
"view",36
"adapt",35
"box",35
"coat",35
"drop",35
"film",35
"gene",35
"instal",35
"joint",35
"metabol",35
"metaphor",35
"microscop",35
"mobil",35
"modifi",35
"never",35
"optim",35
"plus",35
"polici",35
"publish",35
"rapid",35
"solv",35
"store",35
"surgeri",35
"though",35
"watch",35
"academ",34
"audienc",34
"babi",34
"camera",34
"colleagu",34
"critic",34
"distribut",34
"dynam",34
"educ",34
"enhanc",34
"etc",34
"fill",34
"floor",34
"forest",34
"instrument",34
"larger",34
"led",34
"link",34
"listen",34
"offic",34
