"","x"
"use",1768
"think",1590
"realli",1502
"work",1498
"time",1413
"now",1353
"actual",1307
"materi",1199
"differ",1026
"energi",1018
"need",1013
"year",945
"question",942
"peopl",849
"start",793
"research",785
"electron",770
"don",764
"talk",759
"first",754
"technolog",743
"exampl",723
"data",714
"comput",703
"mean",699
"mani",632
"someth",632
"thank",611
"system",607
"bit",605
"good",603
"power",598
"littl",594
"engin",588
"high",565
"devic",564
"tri",563
"call",536
"might",528
"process",520
"let",516
"design",513
"cour",503
"interest",503
"chang",498
"student",497
"learn",491
"sort",490
"import",487
"cell",483
"point",483
"world",475
"develop",469
"happen",465
"build",464
"today",463
"carbon",456
"creat",446
"part",444
"type",438
"mayb",436
"give",432
"abl",431
"made",429
"show",423
"basic",420
"compani",413
"light",406
"industri",405
"problem",395
"solar",394
"control",392
"effici",384
"experi",384
"day",381
"anoth",379
"area",376
"ask",370
"electr",370
"number",369
"water",369
"applic",367
"end",366
"help",364
"scienc",363
"scale",362
"center",357
"small",356
"term",352
"univ",351
"base",346
"big",346
"model",346
"everi",341
"understand",334
"long",330
"product",328
"find",327
"move",325
"togeth",325
"program",320
"project",319
"cost",318
"state",313
"done",312
"surfac",312
"idea",311
"level",311
"transistor",311
"game",310
"place",306
"digit",304
"graphen",303
"lab",303
"semiconductor",302
"organ",301
"paper",300
"measur",292
"batteri",291
"challeng",290
"last",290
"oper",290
"structur",288
"silicon",285
"physic",284
"alreadi",283
"conduct",282
"environ",282
"group",281
"second",281
"set",281
"case",280
"field",279
"better",276
"futur",276
"charg",273
"current",273
"atom",272
"layer",272
"generat",271
"turn",271
"cool",267
"team",267
"space",264
"order",262
"possibl",262
"probabl",262
"allow",261
"innov",261
"pretti",261
"answer",259
"life",259
"machin",257
"may",255
"memori",255
"hope",254
"network",252
"person",248
"certain",247
"heat",247
"whole",247
"hendrik",245
"larg",245
"side",245
"yrj",245
"market",244
"didn",243
"result",243
"perform",242
"singl",241
"specif",241
"direct",240
"live",240
"quantum",240
"becom",238
"connect",237
"fact",236
"improv",234
"produc",234
"professor",233
"studi",233
"impact",232
"reason",231
"tell",231
"provid",229
"temperatur",229
"share",228
"alway",226
"excit",222
"stuff",222
"top",222
"mention",221
"mit",219
"play",219
"molecul",217
"particular",215
"quit",215
"requir",214
"focus",212
"inform",212
"mechan",212
"form",211
"low",211
"custom",210
"increa",210
"sen",210
"effect",209
"real",209
"came",207
"everyth",207
"reduc",204
"bring",203
"doesn",202
"keep",202
"open",202
"yes",202
"read",201
"less",200
"per",200
"four",199
"hand",198
"continu",197
"metal",197
"hard",196
"amount",195
"best",195
"present",195
"appli",194
"servic",193
"activ",192
"human",192
"manufactur",192
"approach",191
"coupl",191
"size",191
"thought",189
"enough",188
"natur",188
"opportun",188
"particl",187
"posit",187
"matter",185
"without",185
"name",184
"test",184
"compon",179
"depend",179
"across",177
"class",177
"busi",175
"quick",175
"includ",174
"lead",174
"later",173
"exact",172
"howev",172
"crystal",170
"manag",170
"line",169
"relat",169
"tool",169
"video",169
"anyth",166
"sinc",166
"mind",165
"sourc",165
"degr",164
"either",164
"band",163
"function",163
"close",162
"communiti",162
"avail",161
"definit",161
"interact",160
"within",160
"write",160
"chemic",158
"often",158
"discuss",157
"ear",157
"issu",157
"major",157
"follow",156
"imag",156
"insid",156
"far",154
"believ",152
"goe",152
"higher",152
"nanotub",152
"voltag",152
"sensor",151
"almost",150
"found",150
"internet",150
"key",150
"renew",150
"biolog",149
"combin",149
"element",149
"access",148
"solut",148
"nanomet",147
"sustain",147
"built",146
"away",145
"feel",145
"figur",145
"grow",145
"guy",145
"print",145
"properti",145
"forward",144
"potenti",144
"support",144
"collabor",143
"drive",143
"especi",143
"hardwar",143
"left",143
"limit",143
"stori",143
"complex",142
"rate",142
"went",142
"friend",141
"job",141
"train",141
"clear",140
"general",140
"million",140
"simpl",140
"integr",139
"liquid",139
"plea",139
"though",139
"compar",138
"countri",138
"never",138
"star",138
"final",137
"half",136
"music",136
"complet",135
"involv",135
"recent",135
"school",135
"similar",135
"typic",135
"word",135
"hour",134
"lithium",134
"transfer",134
"earth",133
"easi",133
"join",133
"period",133
"flow",132
"pictur",132
"everyon",131
"exist",131
"love",131
"step",131
"topic",131
"chemistri",130
"consid",130
"begin",129
"care",129
"rememb",129
"thermal",129
"given",128
"nano",128
"success",128
"introduc",127
"sever",127
"phase",126
"rather",126
"standard",126
"brain",125
"month",125
"piec",124
"art",123
"instead",123
"nanotechnolog",123
"resourc",123
"speed",123
"everybodi",122
"invest",122
"moment",122
"total",122
"valu",122
"gap",121
"huge",121
"least",121
"meet",121
"add",120
"essenti",120
"ever",120
"gas",120
"minut",120
"normal",120
"separ",120
"achiev",119
"addit",119
"expect",119
"free",119
"law",119
"rang",119
"respon",119
"circuit",118
"hear",118
"knowledg",118
"percent",118
"sampl",118
"strong",118
"switch",118
"week",118
"advanc",117
"chip",117
"colleg",117
"entir",117
"factor",117
"resist",117
"room",117
"shape",117
"enabl",116
"took",116
"well",116
"core",115
"home",115
"nice",115
"phone",115
"practic",115
"scientist",115
"fund",114
"store",114
"unit",114
"concept",113
"demand",113
"graph",113
"solv",113
"along",112
"bodi",112
"faculti",112
"growth",112
"multipl",112
"near",112
"non",112
"planet",112
"seem",112
"site",112
"various",112
"head",111
"hundr",111
"select",111
"smaller",111
"util",111
"depart",110
"electrod",110
"extrem",110
"forc",110
"global",110
"goal",110
"imagin",110
"known",110
"method",110
"object",110
"short",110
"sometim",110
"special",110
"super",110
"architectur",109
"billion",109
"book",109
"common",109
"conver",109
"deal",109
"faster",108
"slide",108
"zero",108
"abil",107
"educ",107
"wast",107
"air",106
"screen",106
"titan",106
"languag",105
"mass",105
"signal",105
"lower",104
"panel",104
"processor",104
"toward",104
"view",104
"amazon",103
"earlier",103
"event",103
"institut",103
"interfac",103
"negat",103
"region",103
"saw",103
"storag",103
"thousand",103
"weight",103
"whatev",103
"car",102
"densiti",102
"detect",102
"guess",102
"fast",101
"pattern",101
"public",101
"realiz",101
"techniqu",101
"welcom",101
"wonder",101
"cancer",100
"color",100
"econom",100
"intern",100
"main",100
"remov",100
"equip",99
"fabric",99
"graduat",99
"nation",99
"outsid",99
"scientif",99
"block",98
"channel",98
"code",98
"explor",98
"instanc",98
"laboratori",98
"membran",98
"reach",98
"red",98
"sector",98
"sound",98
"cloud",97
"past",97
"platform",97
"publish",97
"difficult",96
"fun",96
"origin",96
"wasn",96
"bell",95
"emiss",95
"individu",95
"perspect",95
"yet",95
"disk",94
"ion",94
"isn",94
"offic",94
"qualiti",94
"transform",94
"usual",94
"amaz",93
"board",93
"clean",93
"contact",93
"full",93
"address",92
"mobil",92
"nuclear",92
"obvious",92
"angl",91
"defin",91
"latenc",91
"money",91
"signif",91
"spend",91
"communic",90
"contain",90
"filter",90
"fundament",90
"insul",90
"led",90
"send",90
"absorb",89
"associ",89
"collect",89
"decad",89
"link",89
"longer",89
"one",89
"break",88
"calcul",88
"cover",88
"radiat",88
"stay",88
"touch",88
"caus",87
"detail",87
"happi",87
"knew",87
"locat",87
"someon",87
"thick",87
"absolut",86
"beyond",86
"conductor",86
"consum",86
"contribut",86
"featur",86
"larger",86
"record",86
"stop",86
"antimatt",85
"career",85
"folk",85
"googl",85
"modern",85
"old",85
"polici",85
"predict",85
"third",85
"advantag",84
"bunch",84
"pass",84
"dollar",83
"face",83
"initi",83
"micro",83
"microscop",83
"repr",83
"thin",83
"bottom",82
"charact",82
"expen",82
"infrastructur",82
"leav",82
"uniqu",82
"wide",82
"critic",81
"deep",81
"diamond",81
"distribut",81
"local",81
"price",81
"search",81
"speak",81
"suppli",81
"bad",80
"check",80
"colleagu",80
"optim",80
"skill",80
"wind",80
"blue",79
"consumpt",79
"cut",79
"foundat",79
"inaud",79
"member",79
"neural",79
"perhap",79
"post",79
"award",78
"deliv",78
"map",78
"must",78
"noth",78
"notic",78
"patient",78
"phd",78
"push",78
"simpli",78
"teach",78
"watch",78
"plastic",77
"describ",76
"forth",76
"identifi",76
"packag",76
"plan",76
"report",76
"sensit",76
"technic",76
"wait",76
"buy",75
"citi",75
"display",75
"glass",75
"green",75
"hous",75
"list",75
"pressur",75
"rotat",75
"save",75
"simul",75
"sit",75
"soon",75
"user",75
"virtual",75
"climat",74
"doubl",74
"hold",74
"metric",74
"molecular",74
"softwar",74
"strategi",74
"versus",74
